ID,1032245.P,1039868.P,1042353.P,1042745.P,1043773.P,1045386.P,1045549.P,1046191.P,1046287.P,1046349.P,1046499.P,1047291.P,1047831.P,1047912.P,1048720.P,1049983.P,1050700.P,1051316.P,1054390.P,1056166.P,272577.P,451368.P,477022.P,515975.P,522638.P,548142.P,649867.P,685749.P,843725.P,99272.P,1032245.T,1039868.T,1042353.T,1042745.T,1043773.T,1045386.T,1045549.T,1046191.T,1046287.T,1046349.T,1046499.T,1047291.T,1047831.T,1047912.T,1048720.T,1049983.T,1050700.T,1051316.T,1054390.T,1056166.T,272577.T,451368.T,477022.T,515975.T,522638.T,548142.T,649867.T,685749.T,843725.T,99272.T
chr10:101672915-101676436,0,2,2,2,6,4,6,2,2,6,7,0,2,10,4,3,7,4,6,6,3,2,5,0,0,5,4,4,4,0,4,2,5,4,3,5,0,4,4,2,5,3,3,4,5,2,4,4,8,6,7,3,2,2,0,0,2,7,6,0
chr9:112250929-112252788,4,5,0,0,0,3,2,4,3,3,0,4,3,2,3,2,0,2,2,2,3,0,2,0,4,0,3,7,3,0,0,0,0,0,8,0,0,0,5,0,2,0,0,0,0,2,0,2,0,0,0,2,2,0,0,2,0,0,2,2
chr21:37420299-37472880,9,9,0,10,3,5,16,4,10,0,12,8,14,10,0,2,3,5,6,5,2,3,10,6,12,14,7,5,7,4,5,4,3,5,10,11,5,2,6,5,10,0,5,7,5,0,6,5,10,8,5,7,2,0,3,4,0,8,2,5
chr11:108176246-108177090,8,4,3,2,0,5,5,3,0,4,6,6,3,10,0,0,3,3,4,0,0,0,0,0,5,4,0,5,3,0,0,0,2,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,2,0
chr4:102304317-102315830,24,17,11,12,21,50,17,10,13,37,32,27,25,27,21,15,18,18,18,11,18,8,25,10,31,17,31,15,18,16,10,21,5,0,16,25,4,8,18,9,0,30,7,0,7,0,6,0,15,6,3,5,9,0,7,3,13,13,6,17
chr10:126970702-127000307,8,6,4,0,5,5,8,2,6,5,2,0,0,6,8,2,6,5,4,0,5,0,5,2,7,0,2,3,3,2,7,2,0,5,4,2,3,6,0,2,4,2,2,3,7,0,2,0,4,4,5,3,3,2,0,0,2,5,4,3
chr11:61437625-61438113,6,3,8,4,7,7,4,6,7,8,11,9,3,7,4,9,8,6,7,4,4,10,7,5,7,3,13,9,7,7,6,2,4,4,5,0,0,4,6,3,4,5,8,6,5,4,9,6,3,9,3,5,6,5,5,10,6,17,6,3
chr5:65988635-66014725,0,3,3,3,3,6,8,3,5,9,9,6,7,11,4,3,4,0,2,0,4,2,9,5,3,3,3,3,3,8,3,0,3,0,3,0,2,0,3,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,6,2,5
chr2:207724800-207742342,2,3,5,4,4,10,6,7,5,3,2,3,4,7,6,4,6,0,5,3,3,3,4,2,4,4,6,5,4,2,2,0,0,0,7,0,0,3,3,2,0,0,4,3,4,0,3,3,0,3,3,0,2,2,2,5,3,0,0,3
chr2:199323803-199328910,17,11,10,8,9,11,18,17,14,6,20,8,12,15,10,3,6,11,15,2,6,5,11,5,12,14,13,3,6,12,11,0,3,0,17,5,3,2,8,2,13,9,2,0,11,0,3,0,10,3,3,3,4,3,7,3,0,0,5,2
chr11:119284969-119285566,5,0,0,0,7,4,8,3,3,3,7,6,2,10,3,2,0,0,9,0,2,2,0,0,2,6,4,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0,0,0,3,0,0,4,4,3,0,4,0
chr1:117460489-117502970,3,3,3,3,5,4,6,2,2,3,5,2,0,6,0,4,3,0,4,2,0,0,2,0,8,5,4,5,4,4,0,0,2,6,0,0,0,3,3,4,0,5,2,3,0,0,4,0,0,3,2,2,3,2,2,0,0,4,3,2
chr18:13681605-13682105,0,0,0,2,6,5,3,3,3,6,6,8,3,4,2,2,5,2,2,5,0,2,2,0,5,3,7,0,6,0,5,0,2,6,2,0,0,0,6,3,6,0,4,2,0,3,5,2,3,2,2,2,2,0,0,3,4,5,2,2
chr15:44615363-44620403,0,7,2,0,10,9,4,6,4,2,7,7,6,7,3,4,4,0,2,3,8,2,6,4,8,6,6,4,3,5,6,0,0,3,2,2,0,3,2,2,0,4,3,2,2,3,0,0,0,2,0,0,0,2,0,4,0,4,0,4
chr19:19640085-19640571,5,6,6,0,4,6,9,5,0,4,11,9,2,10,4,2,5,0,3,7,6,4,11,6,5,6,9,3,8,2,4,4,0,2,3,5,4,4,8,3,5,5,3,3,5,0,4,2,3,5,0,3,3,3,2,8,4,3,6,0
chr10:5773842-5800705,2,4,4,3,3,0,3,3,2,6,9,4,8,5,2,2,5,0,6,3,5,2,4,3,5,3,0,4,4,3,4,0,5,10,7,5,4,3,3,0,5,4,5,7,3,0,10,0,4,0,0,2,5,0,6,2,2,5,4,2
chr3:125313308-125331238,12,4,8,0,7,11,11,9,6,7,12,6,5,12,8,6,13,5,8,7,6,7,10,0,12,9,7,9,6,3,8,2,6,7,5,10,3,12,11,8,8,11,8,14,3,6,26,3,5,4,0,7,5,4,6,8,8,18,9,7
chr12:27714780-27724186,10,4,4,5,9,15,8,5,4,7,14,8,6,7,7,8,7,9,6,9,2,0,10,4,8,6,7,12,5,6,10,8,7,0,10,7,2,0,5,3,3,12,6,7,8,9,9,9,8,5,6,5,0,11,9,4,6,23,7,0
chr1:8541214-8614686,5,5,3,3,6,11,7,4,4,4,10,6,12,10,2,4,7,0,5,2,4,5,5,3,7,7,12,9,3,6,3,2,3,2,13,2,2,2,4,3,7,4,6,9,8,0,4,2,5,0,3,2,0,2,5,0,10,8,5,2
chr10:94030683-94032252,15,7,19,14,10,21,21,11,15,18,27,18,23,25,10,20,15,7,19,13,6,9,27,19,17,20,25,13,15,14,7,0,0,2,6,3,0,4,6,5,8,3,5,8,0,2,11,2,11,0,11,5,0,0,0,3,3,4,3,10
chr2:64551443-64553409,4,3,0,5,3,6,3,6,6,3,4,3,4,3,3,2,3,0,4,3,0,5,6,3,7,3,5,2,2,2,3,7,0,3,7,4,3,2,3,3,2,0,5,2,0,0,2,0,0,2,4,2,2,5,3,4,2,4,2,2
chr1:219193082-219241308,2,0,0,0,0,7,5,0,2,4,4,5,3,5,2,2,3,0,0,0,0,3,0,5,6,0,6,4,4,3,3,0,3,0,0,2,0,0,0,2,0,0,0,3,0,2,0,0,2,0,0,0,3,0,3,0,4,2,2,3
chr22:45729425-45740538,9,8,16,10,15,34,27,17,26,20,23,12,22,28,15,8,7,12,13,11,16,15,20,9,32,14,8,3,11,9,14,8,9,22,15,18,7,8,10,20,15,17,17,24,11,6,16,14,9,6,7,5,18,4,17,10,7,13,14,13
chr3:67495798-67498295,2,2,0,8,0,7,5,2,5,6,6,5,6,5,5,4,2,5,6,3,2,4,5,3,4,10,9,5,0,0,4,2,0,0,3,0,0,0,4,5,2,2,2,3,0,2,4,0,6,0,0,2,0,0,2,3,2,3,0,0
chr6:116698704-116705160,7,9,11,5,5,11,8,7,7,8,10,9,4,18,2,15,6,2,7,3,4,0,5,2,4,7,6,4,9,4,3,0,10,0,2,5,2,0,3,2,5,5,4,5,2,0,2,0,2,2,0,0,0,0,3,0,0,8,2,2
chr12:124419957-124430787,0,2,0,2,4,3,3,3,0,3,4,3,0,2,2,0,0,3,0,2,4,2,2,0,2,3,0,4,3,0,5,0,0,4,0,2,0,0,2,0,0,2,0,3,2,2,2,2,3,3,0,3,3,0,2,6,3,2,3,0
chr2:168691034-168717978,7,5,5,2,3,8,3,4,3,5,8,5,6,12,0,2,5,3,7,6,4,5,3,4,3,0,4,4,4,10,0,5,3,2,2,0,3,2,3,4,2,3,4,3,0,0,5,2,0,0,0,3,3,0,3,0,0,3,0,6
chr6:7181124-7189322,0,6,4,8,4,9,8,8,10,7,9,3,4,6,2,5,2,5,4,7,8,0,9,3,9,5,6,4,7,0,7,6,3,4,7,7,0,4,2,3,8,4,7,11,3,3,3,6,2,3,0,3,4,3,0,0,2,4,2,3
chr5:123545417-123557564,78,97,69,79,79,137,128,67,68,110,102,105,87,176,60,73,73,45,69,43,79,64,138,67,106,95,120,75,78,81,51,26,56,83,75,49,17,18,46,36,36,31,45,32,29,34,32,21,42,24,12,33,44,38,31,20,23,36,48,77
chr9:20923660-20933103,4,2,3,0,3,0,3,2,2,4,3,6,3,5,0,0,2,0,0,2,0,2,3,0,2,6,3,0,0,0,5,0,5,3,6,0,0,5,6,3,2,0,0,2,3,0,4,0,0,0,0,0,4,0,0,0,0,3,3,5
chr1:245915530-245929937,5,0,3,0,2,0,2,3,3,3,5,4,0,6,4,3,0,0,4,3,2,3,5,3,0,3,2,0,0,2,3,0,0,0,0,5,0,2,0,2,0,0,5,0,3,3,0,0,0,3,3,4,0,0,0,0,0,0,0,0
chr7:22960256-22991139,0,0,0,2,5,4,2,3,2,2,5,0,5,7,0,0,3,2,4,0,0,3,5,0,0,3,2,4,3,2,0,0,3,4,3,2,0,0,3,4,2,2,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
chr5:176943335-176958154,11,28,23,21,21,25,35,15,22,31,34,29,21,54,14,18,6,15,17,24,17,18,28,15,20,17,23,19,20,17,20,6,30,39,14,12,6,10,22,13,18,15,10,10,13,8,22,15,16,16,9,6,19,3,24,8,11,12,9,16
chr18:58696366-58700591,0,0,0,3,0,7,0,3,2,4,4,6,2,7,0,4,7,0,5,0,2,3,8,3,3,0,5,3,3,3,0,0,0,4,2,3,0,3,0,0,2,0,2,2,2,0,0,2,0,0,0,0,0,2,0,6,0,2,0,0
chr6:99439769-99465136,4,2,0,0,0,4,6,5,3,3,2,0,7,4,3,0,2,0,3,2,2,2,5,5,3,0,4,2,0,4,6,0,6,2,3,3,0,0,0,5,3,3,3,0,0,5,5,2,3,0,0,4,0,2,0,0,2,0,4,2
chr1:42265115-42278672,10,3,6,5,8,15,11,6,8,8,8,8,10,16,8,5,3,0,9,0,7,6,13,0,7,6,10,7,4,4,13,2,2,3,4,0,4,4,12,5,8,5,3,8,6,2,6,0,7,3,3,2,8,0,10,3,0,10,11,4
chr18:44949881-44953340,12,2,4,9,5,10,5,5,5,5,16,9,12,10,6,4,9,5,10,10,6,2,6,4,7,9,10,6,10,4,0,0,0,4,0,2,3,0,10,2,5,0,0,0,6,0,3,0,0,7,0,0,3,2,0,2,0,4,0,5
chr10:126970702-127061776,2,3,3,0,3,4,0,6,2,4,4,0,0,3,2,0,3,0,7,0,0,0,0,2,6,0,0,2,5,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,0,2,0,0,2,4,0
chr6:43055545-43056445,0,2,3,2,0,2,6,5,6,5,13,8,3,2,0,5,4,5,6,0,3,2,0,4,6,11,4,4,2,2,14,3,2,2,3,3,0,0,3,9,5,9,4,4,2,0,5,2,3,4,0,3,2,2,6,4,2,7,2,0
chr11:68551121-68564432,7,0,0,0,2,3,6,5,3,2,5,6,0,7,3,4,7,3,4,0,5,0,0,0,3,3,4,3,3,0,0,2,0,3,6,4,3,2,3,3,3,2,0,0,0,2,0,0,0,0,2,2,2,0,0,2,0,2,3,0
chr10:91994535-92008275,0,5,2,3,3,4,5,0,2,3,6,4,5,10,3,2,4,2,3,3,2,2,7,3,10,4,4,2,4,6,0,2,6,0,2,3,3,0,2,0,7,0,3,0,0,4,2,0,3,4,3,0,0,0,4,2,0,5,3,0
chr15:89871475-89889140,2,0,11,3,4,4,7,7,6,3,11,2,9,3,3,7,4,3,5,2,5,2,6,2,5,0,5,2,2,6,2,0,5,0,3,4,0,0,5,2,5,0,2,6,2,0,8,3,2,0,4,3,4,0,5,2,2,2,0,0
chr7:140355668-140369682,4,0,0,2,0,3,4,0,4,4,2,2,0,2,3,0,0,2,0,4,3,2,0,0,0,3,2,2,0,3,2,0,4,2,4,0,4,0,5,3,3,3,4,3,0,5,5,2,0,5,4,2,5,2,0,4,0,0,5,0
chr1:13715541-13742157,2,7,0,3,2,6,2,2,3,3,2,5,6,5,0,4,6,0,0,2,2,3,3,2,4,4,2,2,7,0,2,0,0,0,0,3,0,0,5,0,2,0,7,0,3,0,2,0,3,0,2,0,2,0,0,4,0,0,0,0
chr16:31722626-31723353,14,9,5,11,13,20,10,14,12,19,20,13,21,23,5,14,8,10,16,14,13,12,12,10,15,15,11,5,10,10,9,3,3,4,12,8,5,6,4,4,5,2,2,2,10,4,3,3,6,5,7,4,5,7,4,6,5,5,5,9
chr20:56381433-56386533,0,0,4,3,0,7,5,3,2,2,4,2,4,6,0,3,0,2,0,0,0,4,2,0,3,0,0,2,0,0,0,5,10,15,14,8,0,3,3,8,4,12,4,8,4,3,10,3,5,2,3,2,0,2,6,6,4,3,0,4
chr2:24564295-24593721,6,3,0,0,0,6,7,0,6,7,4,12,0,12,3,4,6,3,2,4,0,0,2,2,7,2,8,2,4,0,3,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,2,0,2,0,0,2,2
chr15:58912563-58916999,16,14,8,8,8,16,15,9,10,17,18,11,14,18,6,8,12,6,19,8,17,17,12,2,14,13,21,19,14,10,12,7,9,7,12,5,0,5,7,5,10,4,10,15,9,4,14,11,11,9,11,10,7,2,13,13,10,17,8,3
chr6:154787861-154792976,0,5,0,0,3,7,7,3,4,0,6,0,2,8,0,0,3,0,6,3,2,2,5,0,2,0,0,7,2,0,0,0,2,0,0,3,0,2,4,0,0,3,0,0,3,0,3,2,0,4,0,0,0,0,4,2,4,2,0,3
chr17:47618350-47619164,5,3,3,3,0,4,4,3,8,4,9,9,6,5,0,3,5,3,4,3,3,5,3,2,5,6,9,0,0,2,3,2,0,0,2,2,0,5,3,2,7,6,0,3,3,2,3,5,2,4,0,8,3,0,3,6,0,3,0,3
chr4:177353308-177353728,3,3,3,0,0,4,6,2,2,5,0,2,8,4,0,0,3,0,3,0,2,0,3,0,2,6,0,2,0,0,2,3,4,0,4,3,0,2,3,3,3,3,2,0,4,0,3,3,8,6,2,0,2,5,4,11,0,6,0,0
chr3:43299754-43303792,3,10,3,5,0,8,9,4,9,9,9,7,10,11,3,12,0,3,6,4,8,9,4,3,5,6,9,5,10,2,11,4,5,5,6,3,2,0,4,0,6,0,2,3,0,5,2,0,4,2,2,4,3,3,0,3,0,5,0,4
chr17:48112031-48113401,3,2,4,4,4,3,3,0,3,3,9,5,3,10,2,7,2,2,7,4,6,5,7,3,0,6,7,4,4,4,3,2,3,4,10,6,4,0,4,4,5,14,2,4,6,0,4,0,6,0,3,0,3,2,5,3,3,4,5,0
chr8:100259107-100264785,2,0,3,0,5,0,5,0,2,0,2,3,0,2,0,3,3,0,2,0,0,0,0,3,2,0,0,2,2,4,3,0,4,0,3,0,0,0,3,2,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,2
chr7:99493040-99494631,7,10,7,15,22,12,12,5,23,12,25,17,12,22,10,7,10,7,13,11,9,9,10,21,13,15,13,18,9,13,7,10,9,4,9,15,5,3,5,6,26,5,9,10,3,6,10,3,4,6,3,9,7,2,9,7,3,17,6,3
chr10:93381219-93389154,7,4,3,5,2,3,6,2,4,3,8,4,3,2,0,0,6,6,4,0,4,3,2,0,6,6,2,2,6,3,5,3,0,0,6,5,3,0,5,4,0,3,2,2,0,4,0,3,2,2,0,4,0,0,3,3,4,0,3,2
chr6:130955105-130956499,16,6,14,8,10,28,16,15,15,12,23,16,19,28,8,10,10,8,16,5,12,5,12,8,13,14,15,9,13,16,8,0,4,6,5,2,7,2,10,4,8,4,7,4,8,3,11,4,5,5,3,7,7,2,2,3,5,23,7,3
chr9:37126312-37126942,5,9,9,11,10,18,16,13,18,9,31,17,17,35,7,12,8,8,9,11,9,11,7,7,16,11,25,10,11,11,12,9,10,9,19,7,0,3,15,5,7,0,4,4,3,0,3,2,5,4,6,9,8,12,0,9,6,13,3,8
chr3:138570318-138572984,0,13,0,7,4,7,15,12,0,8,0,18,15,0,4,0,4,3,0,0,4,0,15,8,15,6,0,3,11,6,0,5,0,3,4,3,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,2,0,5,0,4
chr6:7176655-7189322,20,31,12,21,17,32,29,22,19,14,37,18,26,34,17,23,23,13,22,10,9,8,23,28,26,16,20,32,11,21,36,20,15,21,14,22,15,17,10,14,27,23,25,27,12,12,21,22,15,16,5,13,7,14,13,17,17,18,13,18
chr21:39206108-39229436,2,0,0,0,2,3,2,5,0,5,6,3,5,4,3,5,0,2,2,0,4,0,5,0,3,3,0,2,2,2,5,0,4,0,0,6,2,0,3,0,2,0,3,0,0,0,4,0,0,0,0,0,2,0,2,0,0,3,0,3
chr13:60439688-60467379,17,16,16,18,26,17,19,19,20,24,21,12,28,22,11,18,11,10,9,12,15,13,22,15,23,17,20,15,19,20,13,4,18,7,23,9,3,12,9,11,13,12,11,16,7,10,12,4,3,11,7,6,7,7,19,5,2,26,10,11
chr12:29293300-29297200,4,2,7,3,0,0,4,2,4,4,3,0,2,2,0,0,2,4,3,2,0,3,7,3,6,5,4,2,6,2,0,2,2,3,2,0,0,0,0,0,2,4,3,2,0,0,0,0,2,2,0,4,4,0,6,2,0,3,0,3
chr4:42543917-42556040,0,2,0,0,0,4,0,5,0,2,4,2,2,3,2,3,0,0,3,0,5,3,0,2,0,0,3,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,3,0,0,0,2
chr12:66145841-66153448,5,0,3,2,2,2,7,3,0,2,9,0,4,5,0,3,0,0,2,3,5,2,0,2,5,0,3,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
chr5:14316513-14336727,0,0,3,0,7,3,3,4,4,2,9,3,2,3,2,2,3,0,3,2,0,3,5,3,4,3,3,4,0,2,4,0,2,9,6,13,4,0,6,2,6,3,0,2,4,6,4,0,2,3,5,4,2,4,2,0,6,4,5,2
chr7:39987599-40002031,10,0,3,2,9,2,12,6,10,4,12,9,5,11,5,5,9,2,12,7,3,6,7,7,8,9,2,10,7,4,8,2,14,6,5,4,6,11,5,13,14,19,14,15,2,13,26,8,16,7,4,12,2,3,12,10,9,17,3,13
chr3:141512163-141540609,2,2,0,0,0,2,4,4,3,5,5,3,4,3,0,0,2,0,3,0,4,4,3,4,4,2,3,3,2,3,2,0,0,3,2,2,0,0,3,0,0,0,2,0,2,0,0,0,0,2,2,0,2,2,2,0,0,2,0,2
chr4:145845956-145849561,5,3,4,0,0,2,10,3,0,2,4,4,5,7,3,0,3,0,8,0,0,0,3,0,4,3,6,3,2,0,6,0,0,0,5,2,3,3,3,3,0,0,3,7,0,0,2,4,3,3,0,0,2,0,2,4,0,4,6,2
chr1:185214507-185231708,6,4,0,3,8,13,8,6,7,14,10,7,9,20,2,4,3,0,4,5,6,5,13,6,10,6,4,3,7,4,5,0,0,2,0,0,0,0,7,0,0,0,0,2,0,0,0,2,3,3,0,3,2,0,0,0,2,4,6,5
chr9:93471141-93498886,21,28,15,9,16,35,23,19,16,23,29,31,23,22,9,14,21,10,17,18,16,7,27,21,36,35,25,30,9,19,30,13,9,10,34,31,6,33,12,31,24,29,14,38,17,6,19,5,16,34,12,10,7,12,26,12,19,20,12,22
chr7:105062164-105081797,0,3,0,0,3,2,0,0,3,4,7,0,5,7,0,0,2,0,2,2,4,2,5,0,0,3,2,8,2,0,5,0,0,0,4,0,0,0,0,0,0,3,2,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
chr4:122927634-122979386,2,2,4,4,3,4,3,5,4,0,5,5,6,4,2,0,0,3,5,4,0,2,0,3,5,2,2,2,3,0,3,3,2,2,3,3,0,2,6,3,3,2,3,5,0,2,4,2,3,0,2,2,2,0,2,2,0,2,0,0
chr3:196487399-196488683,0,2,2,0,0,2,6,0,4,4,4,4,3,5,2,0,2,3,0,2,0,0,3,0,3,2,3,0,3,0,3,0,0,0,2,0,3,0,0,2,0,3,0,3,0,0,2,5,0,3,0,0,2,0,0,0,0,0,0,0
chr7:92294889-92327900,11,9,9,10,11,10,14,18,11,16,27,13,16,25,15,5,17,6,13,13,12,15,12,11,14,11,23,5,14,17,12,8,18,6,14,6,2,3,11,9,16,4,13,15,4,8,9,9,12,8,2,9,2,7,8,11,13,6,5,10
chr15:65752379-65761438,0,2,6,3,0,3,3,0,2,6,5,6,7,6,3,2,0,0,6,3,3,4,0,0,9,0,3,0,4,0,3,2,0,0,3,2,0,0,2,0,4,0,2,0,2,0,0,0,3,2,0,2,0,0,0,0,2,2,0,3
chr1:13778418-13782831,2,2,4,0,3,2,2,0,0,3,3,0,2,2,4,4,2,3,4,4,3,0,3,0,3,7,3,4,5,2,7,0,2,2,3,0,4,3,5,0,5,2,6,4,2,2,2,6,2,7,6,3,2,0,0,3,0,2,0,0
chr15:74926766-74929232,6,2,2,2,4,9,6,6,3,7,6,10,10,4,3,2,3,3,0,3,0,6,6,2,8,6,8,9,6,4,0,0,4,3,2,3,3,2,0,2,0,0,3,2,2,0,5,3,0,2,0,0,0,0,2,4,0,0,2,2
chr3:16301626-16302748,0,3,0,2,2,4,5,3,2,6,9,3,5,8,6,0,0,3,2,2,4,2,3,0,5,3,5,3,4,7,0,0,4,3,4,0,0,0,0,0,5,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,3,4
chr1:77631850-77641655,4,0,0,0,4,6,0,2,2,2,4,2,2,3,0,3,5,2,0,0,0,0,5,4,5,4,2,0,6,7,3,0,0,4,0,0,2,0,4,2,0,3,5,7,0,4,3,3,2,2,0,0,3,0,0,0,2,0,3,8
chr2:15461201-15478289,2,0,7,3,3,2,3,0,0,5,4,4,6,7,3,4,3,2,2,3,2,4,5,2,8,2,3,2,2,0,3,0,0,5,0,6,0,2,0,2,0,3,4,5,3,0,2,0,5,0,2,0,4,0,5,0,0,5,2,2
chr5:128138597-128152805,0,5,5,0,0,2,9,4,2,0,6,3,3,7,6,7,0,0,6,0,0,0,10,0,7,3,3,3,5,3,3,6,5,4,8,3,0,0,5,7,2,7,4,8,4,7,4,6,3,6,0,9,3,6,0,2,3,6,0,7
chr14:49825867-49831361,7,8,4,0,2,7,4,3,3,7,5,8,7,10,0,2,0,3,0,0,4,3,2,2,7,2,6,2,8,4,0,0,2,0,2,2,2,0,2,7,2,0,2,0,0,0,0,0,3,3,0,3,0,0,0,2,0,6,2,4
chr18:58934433-58953799,5,7,2,6,0,16,5,3,7,3,5,3,9,9,6,2,7,7,5,3,8,4,6,2,6,4,7,6,7,4,5,0,2,6,8,5,0,7,8,4,13,6,4,2,3,0,3,2,0,6,0,0,6,6,6,3,4,2,3,6
chr2:61522611-61533903,50,18,32,20,33,60,57,45,45,50,75,64,44,51,21,33,36,32,32,28,35,32,53,24,61,46,48,35,35,35,54,8,40,20,41,27,15,24,28,39,56,31,19,42,17,17,39,25,21,29,13,30,31,22,24,44,21,44,30,44
chr10:68468123-68470163,5,7,7,5,9,4,2,2,7,6,7,3,7,7,4,12,3,12,5,3,5,6,16,5,9,13,5,6,5,2,3,11,8,8,17,8,2,4,4,8,7,25,6,10,7,11,17,3,6,5,6,11,10,2,11,3,4,12,5,3
chr1:59321536-59378837,4,3,4,2,4,6,3,4,12,7,12,0,14,2,3,5,3,7,2,3,2,7,3,0,2,10,10,2,6,9,10,2,0,0,2,10,2,6,10,6,5,3,16,5,5,0,2,7,0,0,0,0,0,0,8,2,4,20,4,13
chr20:35721740-35725155,0,3,4,9,5,7,3,6,11,8,6,9,10,4,3,5,5,2,5,4,6,4,6,6,6,9,7,12,9,7,5,2,7,4,10,9,0,3,5,4,10,10,2,4,6,6,9,3,2,6,0,4,5,5,4,4,0,8,7,0
chr3:111913319-111920419,4,2,0,3,2,5,4,2,2,4,14,2,5,6,4,4,0,2,3,5,3,5,4,0,7,6,4,3,2,3,4,0,0,2,4,0,0,0,6,0,2,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,3,6,6,0
chr4:109491327-109494856,10,5,2,0,5,10,6,5,3,7,5,9,6,11,6,3,3,5,11,3,5,2,3,5,7,3,11,3,2,6,6,3,0,0,2,2,4,4,3,2,5,5,5,4,0,0,2,7,6,5,2,6,4,0,0,8,8,0,8,4
chr12:51055835-51056502,0,3,3,0,0,5,5,8,3,6,4,0,2,10,5,5,0,2,4,0,3,2,5,3,3,3,4,7,6,4,0,0,4,2,2,2,2,2,0,0,6,0,0,5,3,0,0,0,3,0,0,0,0,0,3,0,0,7,3,0
chr13:100257595-100273346,2,2,2,4,0,2,3,9,2,0,9,5,5,5,2,0,2,4,3,3,0,0,0,0,2,6,9,5,3,3,4,2,3,3,5,2,3,9,4,5,4,12,0,0,3,0,4,0,3,2,0,2,0,0,10,0,0,3,0,0
chr17:62010550-62063301,2,0,0,4,2,2,2,3,2,0,5,5,2,9,6,0,2,2,0,0,0,0,0,0,3,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3
chr1:180824753-180825344,2,2,2,0,0,4,2,2,3,2,2,4,0,3,0,0,0,4,3,0,3,2,0,2,0,3,3,3,2,0,4,0,2,0,0,2,0,0,0,3,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0
chr1:171523221-171532961,0,4,0,4,2,4,6,3,2,0,5,5,2,7,2,2,2,3,3,3,2,2,3,3,3,4,2,3,0,2,2,2,6,3,4,2,0,0,0,0,4,5,0,4,0,0,3,2,0,4,0,2,2,0,0,6,2,7,4,6
chr3:47425485-47428670,5,3,7,4,7,4,7,3,3,4,2,5,9,5,3,6,4,3,5,3,5,3,6,2,10,4,4,8,0,11,2,0,2,3,5,7,2,4,3,2,7,0,5,6,0,2,8,3,4,6,3,4,0,2,2,2,4,2,6,5
chr1:40189055-40202614,4,5,2,5,3,7,7,4,3,7,6,2,0,5,3,2,5,2,0,3,2,0,6,4,6,2,11,5,2,3,7,3,3,0,0,0,3,4,5,4,4,2,5,2,0,2,0,5,0,4,4,5,5,2,2,2,0,3,0,4
chr5:77046347-77048272,2,5,3,0,6,6,6,4,0,3,7,7,5,3,3,5,2,5,4,4,7,4,12,3,9,2,8,4,7,4,0,0,2,5,6,4,0,0,3,2,4,2,2,0,0,3,2,2,2,0,3,2,2,0,2,3,3,6,0,2
chr14:88574693-88578140,6,3,5,0,3,5,6,2,0,2,6,5,2,7,2,0,3,0,3,0,3,0,2,0,2,2,6,2,5,4,2,4,0,0,0,4,0,0,2,0,4,3,0,2,2,0,4,0,2,2,2,0,0,0,0,0,0,4,0,2
chr9:33948374-33956146,0,0,0,4,3,8,12,2,4,5,8,6,6,6,6,5,4,4,4,7,2,3,10,3,10,6,4,2,3,5,6,3,5,4,4,7,0,8,2,0,8,4,0,0,2,5,7,0,4,0,2,7,0,0,7,6,5,10,2,2
chr22:45793545-45807022,6,9,9,6,6,10,12,9,8,9,11,10,10,19,7,4,0,5,6,2,2,8,16,4,8,5,8,8,8,7,18,5,2,3,5,4,4,2,6,0,7,0,4,2,5,7,4,5,2,4,0,4,2,3,4,5,2,7,6,6
chr14:73147795-73173707,6,7,12,6,12,12,8,9,5,6,13,8,5,10,6,9,4,3,9,2,4,2,7,4,2,10,15,7,6,10,9,2,9,6,6,4,0,0,6,6,3,4,2,5,2,6,10,4,4,3,0,10,3,3,3,3,4,5,10,5
chr17:2394043-2395454,0,2,5,2,0,0,3,3,0,3,6,3,0,2,0,0,3,2,2,3,0,3,4,2,2,2,0,4,2,0,2,5,2,2,0,0,0,0,0,0,0,3,0,4,2,0,0,2,0,0,3,2,2,0,0,2,0,6,0,0
