rowname	Negative_sample	skin_derived	virus	lab_contamination
Gammanucleorhabdovirus	0	0	1	0
Gammanudivirus	0	0	1	0
Gammapapillomavirus	0	1	0	0
Gammapolyomavirus	0	0	1	0
Gammaretrovirus	1	1	1	0
Gammarhabdovirinae	0	0	1	0
Gammascleroulivirus	0	0	1	0
Gammatorquevirus	0	0	1	0
Gardnerella	1	1	0	0
Geitlerinema	1	1	0	0
Gemella	1	1	0	0
Geminialphasatellitinae	0	0	1	0
Geminiviridae	0	0	1	0
Gemmata	1	1	0	0
Gemmatimonas	1	1	0	0
Gemmatirosa	1	0	0	0
Gemmobacter	1	0	0	0
Gemycircularvirus	0	0	1	0
Gemycircularvirusblabi1	0	0	1	0
Gemycircularvirusbovas1	0	0	1	0
Gemycircularviruschicas1	0	0	1	0
Gemycircularviruschicas2	0	0	1	0
Gemycircularviruschickad1	0	0	1	0
Gemycircularvirusdraga1	0	0	1	0
Gemycircularvirusequas1	0	0	1	0
Gemycircularvirushypas1	0	0	1	0
Gemycircularvirusmonas1	0	0	1	0
Gemycircularvirusmosqi1	0	0	1	0
Gemycircularvirusporci1	0	0	1	0
Gemycircularvirusporci2	0	0	1	0
Gemycircularvirusptero1	0	0	1	0
Gemycircularvirusptero2	0	0	1	0
Gemycircularvirusratas1	0	0	1	0
Gemycircularvirussheas1	0	0	1	0
Gemyduguivirus	0	0	1	0
Gemyduguivirusdraga1	0	0	1	0
Gemygorvirus	0	0	1	0
Gemygorviruscania1	0	0	1	0
Gemygorvirusmalas1	0	0	1	0
Gemygorvirusptero1	0	0	1	0
Gemykibivirus	0	0	1	0
Gemykibivirushumas3	0	0	1	0
Gemykibivirusmonas1	0	0	1	0
Gemykibivirusrhina1	0	0	1	0
Gemykolovirus	0	0	1	0
Gemykolovirusptero1	0	0	1	0
Gemykolovirusptero2	0	0	1	0
Gemykrogvirus	0	0	1	0
Gemykrogvirusbovas1	0	0	1	0
Gemykroznavirus	0	0	1	0
Gemytondvirusostri1	0	0	1	0
Gemytripvirus	0	0	1	0
Geobacillus	1	1	0	0
Geobacter	1	1	0	0
Geodermatophilus	1	1	0	1
Geotalea	1	0	0	0
Geplafuvirales	0	0	1	0
Giardiavirus	0	0	1	0
Gimesia	1	1	0	0
Glaciecola	1	1	0	0
Glaesserella	1	0	0	0
Gloeobacter	1	1	0	0
Gloeothece	1	0	0	0
Glossinavirus	0	0	1	0
Gluconacetobacter	1	1	0	0
Gluconobacter	1	1	0	0
Glycocaulis	1	0	0	0
Gordonia	1	1	0	0
Gosmusatellite	0	0	1	0
Gottschalkia	1	1	0	0
Goukovirus	0	0	1	0
Grablovirus	0	0	1	0
Gracilaria	0	1	0	0
Gramella	1	1	0	0
Granulibacter	1	1	0	0
Granulicatella	1	1	0	0
Granulicella	1	1	0	0
Grapevineredblotchvirus	0	0	1	0
Grimontia	1	1	0	0
Grondvirus	0	0	1	0
Gruhelivirus	0	0	1	0
Grusopivirus	0	0	1	0
Gudongella	1	0	0	0
Guillardia	0	1	0	0
Guyparkeria	1	0	0	0
Gylbovirus	0	0	1	0
Gyrovirus	0	0	1	0
H1N1subtype	0	0	1	0
Hadakavirus	0	0	1	0
Haematobacter	1	0	0	0
Haematospirillum	1	0	0	0
Haemophilus	1	1	0	0
Hahella	1	1	0	0
Halalkalibacterium(exJoshietal.2022)	1	0	0	0
Halanaerobium	1	1	0	0
Haliangium	1	1	0	0
Halioglobus	1	0	0	0
Haliscomenobacter	1	1	0	0
Haloarcula	0	1	0	0
Halobacillus	1	1	0	0
Halobacteriovorax	1	0	0	0
Halolamina	1	0	0	0
Halomicrobium	0	1	0	0
Halomonas	1	1	0	0
Haloquadratum	0	1	0	0
Halorhabdus	0	1	0	0
Halorhodospira	1	1	0	0
Halorubrum	0	1	0	0
Halotalea	1	0	0	0
Haloterrigena	0	1	0	0
Halothece	1	0	0	0
Halothermothrix	1	0	0	0
Halothiobacillus	1	1	0	0
Hanalivirus	0	0	1	0
Hankyongella	1	0	0	0
Hanseniaspora	0	1	0	0
Hapavirus	0	0	1	0
Harkavirus	0	0	1	0
Hartmanivirus	0	0	1	0
Hartmannibacter	1	0	0	0
Hathewaya	1	0	0	0
Hedartevirus	0	0	1	0
Helicobacter	1	1	0	0
Heliobacterium	0	1	0	0
Heliosvirus	0	0	1	0
Hemiambidensovirus	0	0	1	0
Hemipivirus	0	0	1	0
Henipavirus	0	0	1	0
Hepacivirus	0	0	1	0
Hepadnaviridae	0	0	1	0
Hepandensovirus	0	0	1	0
Hepanhamaparvovirus	0	0	1	0
Hepatovirus	0	0	1	0
Hepatovirusahepa	0	0	1	0
Hepoptovirus	0	0	1	0
Herbaspirillum	1	1	0	1
Herbevirus	0	0	1	0
Herbinix	1	0	0	0
Herminiimonas	0	1	0	0
Herpetosiphon	0	1	0	0
Heterosigma	0	1	0	0
Hibecovirus	0	0	1	0
Higrevirus	0	0	1	0
Hirschia	1	1	0	0
Histophilus	0	1	0	0
Histoplasma	0	1	0	0
Hoeflea	1	0	0	1
Homo	1	0	0	1
Hoplichthysvirus	0	0	1	0
Horwuvirus	0	0	1	0
Hostuviroid	0	0	1	0
Hoyosella	1	0	0	0
Hpunalikevirus	0	1	0	0
Hubramonavirus	0	0	1	0
Huchismacovirus	0	0	1	0
Huelvavirus	1	0	0	0
Humanassociatedcyclovirus8	0	0	1	0
HumanmastadenovirusE	0	0	1	0
Humibacter	1	0	0	0
Hunnivirus	0	0	1	0
Hyaloperonospora	0	1	0	0
Hydrogenibacillus	1	0	0	0
Hydrogenobaculum	1	0	0	0
Hydrogenophilus	1	0	0	0
Hydrogenovibrio	1	0	0	0
Hydrotalea	0	0	0	1
Hymovirus	0	0	1	0
Hyphobacterium	1	0	0	0
Hyphomicrobium	1	1	0	0
Hyphomonas	1	1	0	0
Ichtadenovirus	0	0	1	0
Ichtchaphamaparvovirus	0	0	1	0
Ictavirus	0	0	1	0
Idaeovirus	0	0	1	0
Ideonella	1	0	0	0
Idiomarina	1	1	0	0
Idnoreovirus	0	0	1	0
Iflaviridae	0	0	1	0
Iflavirus	0	0	1	0
Iflavirusbrebrassicae	0	0	1	0
Iflavirusectobliquae	0	0	1	0
Iflavirussacbroodi	0	0	1	0
Igacovirus	0	0	1	0
Ignavibacterium	0	1	0	0
Ilarvirus	0	0	1	0
Illuinvirus	0	0	1	0
Iltovirus	0	0	1	0
Ilumatobacter	1	0	0	0
Ilyobacter	1	1	0	0
Immundisolibacter	1	0	0	0
Indioceanicola	1	0	0	0
InfluenzaAvirus	0	0	1	0
Inhella	1	0	0	0
Inovirus	0	1	0	0
Insemevirus	0	0	1	0
Inshuvirus	0	0	1	0
Intestinimonas	1	0	0	0
Intrasporangium	1	1	0	0
Iocasia	1	0	0	0
Iotapapillomavirus	0	0	1	0
Iotatorquevirus	0	0	1	0
Iridovirus	0	1	1	0
Isavirus	0	0	1	0
Isoptericola	1	1	0	0
Isosphaera	1	1	0	0
Iteradensovirus	0	0	1	0
Iteradensoviruslepidopteran1	0	0	1	0
Ixovirus	0	0	1	0
Janibacter	1	0	0	1
Jannaschia	1	1	0	0
Janthinobacterium	1	1	0	1
Jeilongvirus	0	0	1	0
Jeongeupia	1	0	0	0
Jerseylikevirus	0	1	0	0
Jonesia	1	1	0	0
Jonvirus	0	0	1	0
Kadilivirus	0	0	1	0
Kaftartevirus	0	0	1	0
Kangiella	1	1	0	0
Kappaarterivirus	0	0	1	0
Kappapapillomavirus	0	0	1	0
Kappatorquevirus	0	0	1	0
Karsalivirus	0	0	1	0
Kazachstania	0	1	0	0
Keisodnavirus	0	0	1	0
Ketobacter	1	0	0	0
Ketogulonicigenium	1	1	0	0
Khurdivirus	0	0	1	0
Kigiartevirus	0	0	1	0
Kineobactrum	1	0	0	0
Kineococcus	1	1	0	0
Kingella	1	0	0	1
Kinneretia	1	0	0	0
Kiritimatiella	1	0	0	0
Kitasatospora	1	1	0	0
Klebsiella	1	1	0	0
Klosneuvirinae	0	0	1	0
Kluyveromyces	0	1	0	0
Kobuvirus	0	0	1	0
Kobuvirusaichi	0	0	1	0
Kobuviruscebes	0	0	1	0
Kocuria	1	1	0	1
Kodimesavirinae	0	0	1	0
Koinonema	1	0	0	0
Kolmioviridae	0	0	1	0
Komagataeibacter	1	1	0	0
Komagataella	0	1	0	0
Kratosvirus	0	0	1	0
Kribbella	1	1	0	0
Kroppenstedtia	1	0	0	0
Ktedonosporobacter	1	0	0	0
Kukrinivirus	0	0	1	0
Kunsagivirus	0	0	1	0
Kusarnavirus	0	0	1	0
Kvaramitovirus	0	0	1	0
Kyrpidia	1	1	0	0
Kytococcus	1	1	0	0
Labilithrix	1	0	0	0
Labrenzia	1	1	0	0
Laccaria	0	1	0	0
Lachancea	0	1	0	0
Lachnoclostridium	1	1	0	0
Lacibacter	1	0	0	0
Lacimicrobium	1	0	0	0
Lacinutrix	0	1	0	0
Lactobacillus	1	1	0	0
Lactococcus	1	1	0	0
Lacunisphaera	1	0	0	0
Lagovirus	0	0	1	0
Lambavirus	0	0	1	0
Lambdaarterivirus	0	0	1	0
Lambdalikevirus	0	1	0	0
Lambdapapillomavirus	0	0	1	0
Lambdatorquevirus	0	0	1	0
Laribacter	1	1	0	0
Latilactobacillus	1	0	0	0
Laulavirus	0	0	1	0
Lautropia	1	0	0	0
Lawsonella	1	0	0	0
Leadbetterella	1	1	0	0
Lecanicillium	0	1	0	0
Leclercia	1	0	0	0
Ledantevirus	0	0	1	0
Legionella	1	1	0	0
Leifsonia	1	1	0	0
Leishmaniavirus	0	0	1	0
Lelliottia	1	0	0	0
Lentilitoribacter	1	0	0	0
Lentimonavirus	0	0	1	0
Lentinuvirus	0	0	1	0
Lentivirus	1	0	1	0
Lentiviruscapartenc	0	0	1	0
Lentiviruspum	0	0	1	0
Lepidopteranambidensovirus1	0	0	1	0
Leptodesmis	1	0	0	0
Leptolyngbya	1	1	0	0
Leptosira	0	1	0	0
Leptospira	1	1	0	0
Leptospirillum	1	0	0	0
Leptothermofonsia	1	0	0	0
Leptothrix	1	1	0	1
Leptotrichia	1	1	0	0
Leucobacter	1	0	0	0
Leuconostoc	1	1	0	0
Levilactobacillus	1	0	0	0
Liberibacter	1	0	0	0
Lichenicola	1	0	0	0
Limihaloglobus	1	0	0	0
Limnipivirus	0	0	1	0
Limnobacter	1	1	0	1
Limnohabitans	1	0	0	0
Lincruvirus	0	0	1	0
Liquorilactobacillus	1	0	0	0
Listeria	1	1	0	0
Litorilituus	1	0	0	0
Livupivirus	0	0	1	0
Loanvirus	0	0	1	0
Lodderomyces	0	1	0	0
Loigolactobacillus	1	0	0	0
Lonsdalea	1	0	0	0
Loriparvovirus	0	0	1	0
Lostrhavirus	0	0	1	0
Ludopivirus	0	0	1	0
Luminiphilus	0	1	0	0
Luteibacter	1	0	0	0
Luteimonas	1	0	0	0
Luteitalea	1	0	0	0
Luteithermobacter	1	0	0	0
Luteolibacter	1	0	0	0
Luteovirus	0	0	1	0
Lymphocryptovirus	0	0	1	0
Lymphocystivirus	0	0	1	0
Lyngbya	0	1	0	0
Lysinibacillus	1	1	0	0
Lysobacter	1	0	0	0
Lyssavirus	0	0	1	0
Macanavirus	0	0	1	0
Macavirus	0	0	1	0
Machlomovirus	0	0	1	0
Macluravirus	0	0	1	0
Macrococcus	1	1	0	0
Macronovirus	0	0	1	0
Macropopoxvirus	0	0	1	0
Maculavirus	0	0	1	0
Madalivirus	0	0	1	0
Mageeibacillus	1	1	0	0
Magnaporthe	0	1	0	0
Magnaporthiopsis	0	1	0	0
Magnetococcus	1	1	0	0
Magnetospira	1	0	0	0
Magnetospirillum	1	1	0	0
Magoulivirus	0	0	1	0
Mahella	1	1	0	0
Malacoplasma	1	0	0	0
Malagasivirus	0	0	1	0
Malassezia	0	1	0	0
Malawimonas	0	1	0	0
Maldovirus	0	0	1	0
Mamastrovirus	0	0	1	0
Mammalianorthoreovirus	0	0	1	0
Mammaliicoccus	1	0	0	0
Mammantavirinae	0	0	1	0
Mammarenavirus	0	0	1	0
Mannheimia	1	1	0	0
Manticavirus	0	0	1	0
Marafivirus	0	0	1	0
Mardivirus	0	0	1	0
Mardiviruscolumbidalpha1	0	0	1	0
Mardivirusgallidalpha2	0	0	1	0
Mardivirusgallidalpha3	0	0	1	0
Maribacter	0	1	0	0
Maricaulis	1	1	0	0
Marichromatium	1	0	0	0
Maridesulfovibrio	1	0	0	0
Marinicauda	1	0	0	0
Marinithermus	0	1	0	0
Marinobacter	1	1	0	0
Marinobacterium	1	0	0	0
Marinomonas	1	1	0	0
Mariprofundus	1	0	0	0
Maritimibacter	0	1	0	0
Marivirga	1	1	0	0
Marnaviridae	0	0	1	0
Marovirus	0	0	1	0
Marseilleviridae	0	0	1	0
Marsupivirus	0	0	1	0
Martelella	1	0	0	0
Marvinbryantia	0	1	0	0
Massilia	1	0	0	1
Mastadenovirus	0	0	1	0
Mastrevirus	0	0	1	0
Mavirus	0	0	1	0
Mazarbulvirus	0	0	1	0
Mechlorovirus	0	0	1	0
Megabirnavirus	0	0	1	0
Megalocytivirus	0	0	1	0
Megamimivirinae	0	0	1	0
Megasphaera	1	1	0	0
Megavirus	0	0	1	0
Megrivirus	0	0	1	0
Meiothermus	1	1	0	0
Melioribacter	0	1	0	0
Melissococcus	0	1	0	0
Melittangium	1	0	0	0
Menegrothvirus	0	0	1	0
Merbecovirus	0	0	1	0
Merhavirus	0	0	1	0
Mesomycoplasma	1	0	0	0
Mesoplasma	0	1	0	0
Mesorhizobium	1	1	0	1
Metaavulavirus	0	0	1	0
Metaavulavirusjapanense	0	0	1	0
Metaavulaviruspeixense	0	0	1	0
Metabacillus	1	0	0	0
Metalloincertoparvovirus	0	0	1	0
Metapneumovirus	0	0	1	0
Metapneumovirusavis	0	0	1	0
Metarhizium	0	1	0	0
Metaviridae	0	0	1	0
Metaxyviridae	0	0	1	0
Methanocella	0	1	0	0
Methanocorpusculum	1	0	0	0
Methanoculleus	0	1	0	0
Methanoregula	0	1	0	0
Methanosarcina	1	1	0	0
Methanosphaerula	0	1	0	0
Methanothermobacter	0	1	0	0
Methylibium	1	1	0	0
Methylobacillus	1	1	0	0
Methylobacter	1	0	0	0
Methylobacterium	1	1	0	1
Methylocaldum	1	0	0	0
Methyloceanibacter	1	0	0	0
Methylocella	1	1	0	0
Methylococcus	1	1	0	0
Methylocystis	1	1	0	0
Methylogaea	1	0	0	0
Methylomagnum	1	0	0	0
Methylomicrobium	0	1	0	0
Methylomonas	1	1	0	0
Methylophaga	1	1	0	0
Methylophilus	1	0	0	1
Methyloradius	1	0	0	0
Methylosinus	1	0	0	0
Methylotenera	1	1	0	0
Methyloversatilis	1	0	0	1
Methylovirgula	1	0	0	0
Methylovorus	1	1	0	0
Methylovulum	1	0	0	0
Meyerozyma	0	1	0	0
Micavibrio	1	1	0	0
Microbacterium	1	1	0	1
Microbulbifer	1	0	0	0
Micrococcus	1	1	0	1
Microcystis	1	1	0	0
Microlunatus	1	1	0	1
Micromonas	0	1	0	0
Micromonospora	1	1	0	0
Microscilla	0	1	0	0
Microsporum	0	1	0	0
Microterricola	1	0	0	0
Microvirga	1	0	0	0
Miltoncostaea	1	0	0	0
Milvetsatellite	0	0	1	0
Mimivirus	0	0	1	0
Minacovirus	0	0	1	0
Miniambidensovirus	0	0	1	0
Minovirus	0	0	1	0
Minunacovirus	0	0	1	0
Mischivirus	0	0	1	0
Mitartevirus	0	0	1	0
Mithrilvirus	0	0	1	0
Mitsuaria	1	0	0	0
Mivedwarsatellite	0	0	1	0
Mivirus	0	0	1	0
Mobatvirus	0	0	1	0
Mobiluncus	1	1	0	0
Mobuvirus	0	0	1	0
Modestobacter	1	1	0	0
Molluscipoxvirus	0	1	0	0
Moniliophthora	0	1	0	0
Monomastix	0	1	0	0
Monosiga	0	1	0	0
Moorella	0	1	0	0
Moraxella	1	1	0	0
Morbillivirus	0	0	1	0
Morbilliviruspecoris	0	0	1	0
Morganella	1	0	0	0
Moritella	1	1	0	0
Mortierella	0	1	0	0
Mosavirus	0	0	1	0
Moumouvirus	0	0	1	0
Mousrhavirus	0	0	1	0
Muarterivirus	0	0	1	0
Mucor	0	1	0	0
Mulcrilevirus	0	0	1	0
Mumpsorthorubulavirus	0	0	1	0
Murdochiella	1	0	0	0
Muricauda	1	1	0	0
Murinecoronavirus	0	0	1	0
Murinenorovirus	0	0	1	0
Muromegalovirus	0	0	1	0
Muromegalovirusmuridbeta1	0	0	1	0
Muromegalovirusmuridbeta2	0	0	1	0
Muromegalovirusmuridbeta8	0	0	1	0
Muscarsatellite	0	0	1	0
Muscavirus	0	0	1	0
Muscodensovirus	0	0	1	0
Mustelpoxvirus	0	0	1	0
Mutorquevirus	0	0	1	0
Myceliophthora	0	1	0	0
Mycetohabitans	1	0	0	0
Mycoavidus	1	0	0	0
Mycobacterium	1	1	0	0
Mycobacteroides	1	0	0	0
Mycolicibacillus	1	0	0	0
Mycoplasma	1	1	0	0
Mycoplasmopsis	1	0	0	0
Mykissvirus	0	0	1	0
Myotacovirus	0	0	1	0
Myroides	1	0	0	0
Myxococcus	1	1	0	0
N15likevirus	0	1	0	0
N4likevirus	0	1	0	0
Nacovirus	0	0	1	0
Nairoviridae	0	0	1	0
Nakamurella	1	1	0	0
Nakaseomyces	0	1	0	0
Namcalivirus	0	0	1	0
Nanoalphasatellitinae	0	0	1	0
Nanoviridae	0	0	1	0
Narmovirus	0	0	1	0
Narnaviridae	0	0	1	0
Natranaerobius	1	1	0	0
Natranaerofaba	1	0	0	0
Natronomonas	0	1	0	0
Nauglamirvirus	0	0	1	0
Naumovozyma	0	1	0	0
Nebovirus	0	0	1	0
Neisseria	1	1	0	0
Neorhizobium	1	0	0	0
Neorickettsia	1	0	0	0
Neosartorya	0	1	0	0
Neotabrizicola	1	0	0	0
Nephroselmis	0	1	0	0
Nepovirus	0	0	1	0
Neurospora	0	1	0	0
Nevskia	0	0	0	1
Niabella	1	0	0	0
Niallia	1	0	0	0
Niastella	1	1	0	1
Nigecruvirus	0	0	1	0
Nimaviridae	0	0	1	0
Nimphelosvirus	0	0	1	0
Nitratifractor	0	1	0	0
Nitratireductor	1	0	0	0
Nitrobacter	1	1	0	0
Nitrogeniibacter	1	0	0	0
Nitrosococcus	1	1	0	0
Nitrosomonas	1	1	0	0
Nitrosopumilus	0	1	0	0
Nitrosospira	1	1	0	0
Nitrospira	1	1	0	0
Niveibacterium	1	0	0	0
Nobecovirus	0	0	1	0
Nocardia	1	1	0	0
Nocardioides	1	1	0	0
Nocardiopsis	1	1	0	0
Nodaviridae	0	0	1	0
Nodularia	1	1	0	0
Nordella	1	0	0	0
Norovirus	0	0	1	0
NorovirusGII	0	0	1	0
NorovirusGIV	0	0	1	0
NorovirusGV	0	0	1	0
Norwalkvirus	0	0	1	0
Norwavirus	0	0	1	0
Nostoc	1	1	0	0
Novirhabdovirus	0	0	1	0
Novosphingobium	1	1	0	1
Novosphingopyxis	1	0	0	0
Nutorquevirus	0	0	1	0
Nyamiviridae	0	0	1	0
Nyavirus	0	0	1	0
Nyctacovirus	0	0	1	0
Oblavirus	0	0	1	0
Obscuruvirus	0	0	1	0
Oceanibulbus	0	1	0	0
Oceanicola	1	1	0	0
Oceanimonas	1	1	0	0
Oceanithermus	1	1	0	0
Oceanobacillus	1	1	0	0
Oceanusvirus	0	0	1	0
Ocetevirus	0	0	1	0
Ochrobactrum	0	1	0	1
Ochromonas	0	1	0	0
Odonatavirus	0	0	1	0
Odontella	0	1	0	0
Odoribacter	1	1	0	0
Oecophyllibacter	1	0	0	0
Oedogonium	0	1	0	0
Oenococcus	0	1	0	0
Ofalivirus	0	0	1	0
Ohlsrhavirus	0	0	1	0
Oligella	1	0	0	0
Oligotropha	0	1	0	0
Olivibacter	1	0	0	1
Ollusvirus	0	0	1	0
Olsenella	1	1	0	0
Oltmannsiellopsis	0	1	0	0
Omegapapillomavirus	0	0	1	0
Omegatorquevirus	0	0	1	0
Omikronpapillomavirus	0	0	1	0
Ophiovirus	0	0	1	0
Opitutus	0	1	0	0
Orbivirus	0	0	1	0
Orinovirus	0	0	1	0
Orivirus	0	0	1	0
Ornithobacterium	1	1	0	0
Orrella	1	0	0	0
Orthoavulavirus	0	0	1	0
Orthoavulavirusborisense	0	0	1	0
Orthoavulavirusjavaense	0	0	1	0
Orthoavulaviruskopaiticense	0	0	1	0
Orthoavulavirusoneillense	0	0	1	0
Orthobornavirus	0	0	1	0
Orthobunyavirus	0	0	1	0
Orthocurvulavirus	0	0	1	0
Orthodiscovirus	0	0	1	0
Orthoebolavirus	0	0	1	0
Orthoebolavirusrestonense	0	0	1	0
Orthoebolaviruszairense	0	0	1	0
Orthoflavivirus	0	0	1	0
Orthoflavivirusaroaense	0	0	1	0
Orthoflavivirusdenguei	0	0	1	0
Orthoflavivirusilheusense	0	0	1	0
Orthoflaviviruskokoberaorum	0	0	1	0
Orthoflaviviruskyasanurense	0	0	1	0
Orthoflavivirusmurrayense	0	0	1	0
Orthoflavivirusnilense	0	0	1	0
Orthoflavivirusphnompenhense	0	0	1	0
Orthoflaviviruspowassanense	0	0	1	0
Orthoflavivirusroyalense	0	0	1	0
Orthoflavivirustembusu	0	0	1	0
Orthohantavirus	0	0	1	0
Orthohepadnavirus	0	0	1	0
Orthohepevirinae	0	0	1	0
Orthomarburgvirus	0	0	1	0
Orthomyxoviridae	0	0	1	0
Orthonairovirus	0	0	1	0
Orthonoravirus	0	0	1	0
Orthoparamyxovirinae	0	0	1	0
Orthophasmavirus	0	0	1	0
Orthopneumovirus	0	0	1	0
Orthopneumovirusbovis	0	0	1	0
Orthopneumovirusmuris	0	0	1	0
Orthopoxvirus	0	1	1	0
Orthoreovirus	0	0	1	0
Orthoretrovirinae	0	0	1	0
Orthornavirae	0	0	1	0
Orthorubulavirus	0	0	1	0
Orthotospovirus	0	0	1	0
Orthotulasvirus	0	0	1	0
Oryzomicrobium	1	0	0	0
Oryzopoxvirus	0	0	1	0
Oscillatoria	1	1	0	0
Oscillibacter	0	1	0	0
Oscivirus	0	0	1	0
Ostreavirus	0	0	1	0
Ostreococcus	0	1	0	0
Ottowia	1	0	0	0
Owenweeksia	1	1	0	0
Oxalobacter	1	1	0	1
P22likevirus	0	1	0	0
P2likevirus	0	1	0	0
Paavivirinae	0	0	1	0
Pacuvirus	0	0	1	0
Paenalcaligenes	1	0	0	0
Paenarthrobacter	1	0	0	0
Paenibacillus	1	1	0	1
Paludibacter	1	1	0	0
Paludibacterium	1	0	0	0
Paludibaculum	1	0	0	0
Paludisphaera	1	0	0	0
Panacibacter	1	0	0	0
Pandoraea	1	0	0	0
Panicovirus	0	0	1	0
Pannonibacter	1	0	0	0
Pantoea	1	1	0	0
Papanivirus	0	0	1	0
Paraavulavirus	0	0	1	0
Parabacteroides	1	1	0	0
Paraburkholderia	1	0	0	0
Parachlamydia	0	1	0	0
Parachlorella	0	1	0	0
Paracoccidioides	0	1	0	0
Paracoccus	1	1	0	1
Parageobacillus	1	0	0	0
Paraglaciecola	1	0	0	0
Parahenipavirus	0	0	1	0
Paraliobacillus	1	0	0	0
Parapoxvirus	0	0	1	0
Pararhodospirillum	1	1	0	0
Pararubulavirus	0	0	1	0
Parasaccharibacter	1	0	0	0
Parasphingopyxis	1	0	0	0
Parasphingorhabdus	1	0	0	0
Parastagonospora	0	1	0	0
Parechovirus	0	0	1	0
ParechovirusB	0	0	1	0
Paremcibacter	1	0	0	0
Partitiviridae	0	0	1	0
Parvibaculum	1	1	0	0
Parvovirinae	0	0	1	0
Parvularcula	1	1	0	0
Pasivirus	0	0	1	0
Paslahepevirus	0	0	1	0
Paslahepevirusbalayani	0	0	1	0
Passerivirus	0	0	1	0
Pasteurella	1	1	0	0
Patatavirales	0	0	1	0
Patulibacter	0	0	0	1
Paucibacter	1	0	0	0
Paulinella	0	1	0	0
Pectobacterium	1	1	0	0
Pedacovirus	0	0	1	0
Pediococcus	1	1	0	0
Pedobacter	1	1	0	1
Pedomicrobium	0	0	0	1
Pedosphaera	0	1	0	0
Pefuambidensovirus	0	0	1	0
Pegivirus	0	0	1	0
Pegiviruscaballi	0	0	1	0
Peiartevirus	0	0	1	0
Pelagerythrobacter	1	0	0	0
Pelagibacterium	1	1	0	0
Pelamoviroid	0	0	1	0
Pelarspovirus	0	0	1	0
Pelistega	1	0	0	0
Pelmivirus	0	0	1	0
Pelobacter	1	1	0	0
Pelodictyon	0	1	0	0
Pelomonas	0	0	0	1
Pelotomaculum	0	1	0	0
Pemapivirus	0	0	1	0
Penicillimonavirus	0	0	1	0
Penoulivirus	0	0	1	0
Penstylhamaparvovirus	0	0	1	0
Peptoclostridium	1	1	0	0
Percavirus	0	0	1	0
Percavirusphocidgamma3	0	0	1	0
Perhabdovirus	0	0	1	0
Peribunyaviridae	0	0	1	0
Periweissella	1	0	0	0
Permutotetraviridae	0	0	1	0
Peropuvirus	0	0	1	0
Pestivirus	0	0	1	0
Pestivirusbovis	0	0	1	0
Pestivirusscrofae	0	0	1	0
Pestivirussuis	0	0	1	0
Pestivirustauri	0	0	1	0
Peteryoungia	1	0	0	0
Petrocella	1	0	0	0
Petromoalphasatellitinae	0	0	1	0
Petuvirus	0	0	1	0
Phaeobacter	1	1	0	0
Phaeodactylum	0	1	0	0
Phanerochaete	0	1	0	0
Phascolarctobacterium	1	0	0	0
Phasmaviridae	0	0	1	0
Phelinovirus	0	0	1	0
Phenuiviridae	0	0	1	0
Phenylobacterium	1	1	0	0
Phialvirus	0	0	1	0
Phietalikevirus	0	1	0	0
Phikmvlikevirus	0	1	0	0
Phikzlikevirus	0	1	0	0
Phipapillomavirus	0	0	1	0
Phlebovirus	0	0	1	0
Phnomibacter	1	0	0	0
Photobacterium	1	1	0	0
Photorhabdus	0	1	0	0
Phototrophicus	1	0	0	0
Phycisphaera	1	1	0	0
Phycodnaviridae	0	0	1	0
Phyllobacterium	1	0	0	1
Phyllomonavirus	0	0	1	0
Physarum	0	1	0	0
Phytophthora	0	1	0	0
Pidchovirus	0	0	1	0
Pigmentiphaga	1	0	0	0
Pikeienuella	1	0	0	0
Pimascovirales	0	0	1	0
Pimfabavirus	0	0	1	0
Pipapillomavirus	0	0	1	0
Pirellula	1	1	0	0
Pirellulimonas	1	0	0	0
Piscichuvirus	0	0	1	0
Piscihepevirus	0	0	1	0
Piscirickettsia	1	0	0	0
Planctomyces	1	0	0	0
Planctopirus	1	1	0	0
Planktomarina	1	0	0	0
Planococcus	1	0	0	0
Plasmodium	0	1	0	0
Plasmopamonavirus	0	0	1	0
Plesiocystis	0	1	0	0
Pleurocapsa	1	1	0	0
Pleurotus	0	1	0	0
Podospora	0	1	0	0
Poecivirus	0	0	1	0
Polaromonas	1	1	0	1
Polerovirus	0	0	1	0
Polyangium	1	0	0	0
Polycipiviridae	0	0	1	0
Polycladomyces	1	0	0	0
Polydnaviriformidae	0	0	1	0
Polymorphobacter	1	0	0	0
Polymorphum	1	1	0	0
Polymycoviridae	0	0	1	0
Polymycovirus	0	0	1	0
Polynucleobacter	1	1	0	0
Polyomaviridae	0	0	1	0
Polyomavirus	0	1	0	0
Pontunivirus	0	0	1	0
Porcinetype-Concovirus	0	0	1	0
Poriferisphaera	1	0	0	0
Porphyra	0	1	0	0
Porphyrobacter	1	0	0	0
Porphyromonas	1	1	0	0
Porprismacovirus	0	0	1	0
Poseidonibacter	1	0	0	0
Pospiviroid	0	0	1	0
Pospiviroidae	0	0	1	0
Potamipivirus	0	0	1	0
PotatovirusY	0	0	1	0
Potexvirus	1	0	1	0
Potyviridae	0	0	1	0
Potyvirus	0	0	1	0
Potyvirusbasellae	0	0	1	0
Potyvirusglycitessellati	0	0	1	0
Potyvirusmelozonati	0	0	1	0
Potyviruspapayanuli	0	0	1	0
