ID,CircRNACount-1032245-P,CircRNACount-1039868-P,CircRNACount-1042353-P,CircRNACount-1042745-P,CircRNACount-1043773-P,CircRNACount-1045386-P,CircRNACount-1045549-P,CircRNACount-1046191-P,CircRNACount-1046287-P,CircRNACount-1046349-P,CircRNACount-1046499-P,CircRNACount-1047291-P,CircRNACount-1047831-P,CircRNACount-1047912-P,CircRNACount-1048720-P,CircRNACount-1049983-P,CircRNACount-1050700-P,CircRNACount-1051316-P,CircRNACount-1054390-P,CircRNACount-1056166-P,CircRNACount-272577-P,CircRNACount-451368-P,CircRNACount-477022-P,CircRNACount-515975-P,CircRNACount-522638-P,CircRNACount-548142-P,CircRNACount-649867-P,CircRNACount-685749-P,CircRNACount-843725-P,CircRNACount-99272-P
chr22:24302195-24313466,0,0,1,1,1,2,2,1,1,6,2,4,1,4,2,0,0,2,4,4,4,1,2,0,1,3,7,4,3,0
chr11:129123446-129164427,0,1,2,1,2,1,2,4,1,2,4,1,3,5,3,1,2,0,3,1,0,1,0,2,2,2,3,1,1,2
chr1:31915895-31919658,11,18,5,9,21,22,18,15,19,27,45,17,18,36,13,11,7,9,11,12,12,8,13,5,18,18,17,14,17,1
chr8:127890589-127890998,0,4,6,4,3,2,3,0,1,2,4,2,0,5,0,6,0,3,0,2,3,3,2,1,5,5,6,7,1,2
chr12:1371833-1444750,1,1,2,0,3,5,2,2,3,0,8,4,2,1,3,1,1,2,1,2,2,1,2,1,3,2,3,2,2,0
chr17:47618350-47619164,4,3,3,3,1,4,3,3,6,4,6,6,3,4,1,1,5,2,1,3,1,4,1,2,4,4,7,1,1,2
chr11:65499718-65499934,7,8,6,10,9,10,8,8,6,9,21,4,4,9,4,4,11,9,19,10,8,3,10,12,13,10,13,6,2,2
chr5:139363759-139364743,7,5,2,4,7,5,4,5,6,7,6,10,4,2,7,5,9,1,6,4,7,4,1,2,4,7,5,6,5,3
chr1:109100237-109100306,1,1,0,0,0,1,1,5,2,2,10,4,2,2,3,2,1,3,2,3,7,4,8,1,4,10,8,1,8,1
chr3:170136419-170149244,1,2,6,1,6,4,1,2,3,2,9,1,1,3,3,4,1,4,3,1,6,1,1,0,5,2,2,2,3,2
chr11:65504693-65504913,3,4,4,0,1,1,2,0,2,2,2,0,4,5,2,0,3,0,1,0,2,0,1,0,2,1,3,1,2,3
chr11:65500851-65501193,5,1,2,2,2,2,2,5,4,0,1,1,4,1,0,0,0,2,5,3,1,1,2,0,3,2,0,0,0,2
chr1:32631827-32634792,3,0,2,0,4,2,0,2,0,3,9,6,3,2,1,1,1,0,3,1,1,0,1,2,1,2,0,2,2,0
chr12:32607957-32611283,6,7,4,4,5,4,8,12,8,2,16,7,3,5,9,1,5,5,6,8,5,6,5,7,5,6,10,0,7,4
chr8:17753717-17755961,3,0,2,1,1,1,1,0,3,2,4,3,2,4,3,0,2,0,0,1,2,0,3,2,3,5,1,0,2,2
chr14:49586808-49862639,6,2,3,1,0,2,1,3,2,4,11,6,2,5,0,1,0,6,0,7,20,9,8,9,3,2,20,0,7,4
chr1:206930072-206930246,3,5,3,5,1,2,3,3,3,7,14,8,2,6,5,2,0,4,6,2,3,2,1,2,3,6,4,0,3,1
chr9:20923660-20933103,4,2,1,0,2,1,2,2,2,2,3,5,2,4,0,0,2,1,1,2,0,2,3,1,2,1,3,1,0,0
chr1:206928703-206928809,0,1,2,3,2,2,4,1,1,2,4,1,5,7,1,1,2,0,6,7,4,2,1,1,1,1,4,1,2,1
chr15:25405461-25411971,34,15,24,25,19,43,35,34,23,37,61,41,31,68,24,21,19,15,33,19,34,19,31,21,42,36,45,31,25,21
chr13:45516143-45525051,3,0,0,2,2,1,0,0,1,0,7,3,2,4,2,1,2,0,1,3,3,1,2,2,2,1,3,3,1,2
chr7:44674411-44675268,3,1,2,0,1,0,3,2,2,1,1,3,3,1,0,0,0,0,3,0,2,3,2,2,5,2,3,2,0,0
chr12:22643763-22673660,1,4,4,5,1,2,3,2,1,2,2,2,5,5,1,2,0,0,1,0,0,0,1,3,2,0,0,1,1,3
chr5:36953618-36976402,6,7,5,6,2,7,13,6,7,8,1,13,10,9,4,3,7,6,11,6,7,6,4,5,8,6,8,9,1,6
chr2:120127688-120175004,0,6,7,3,3,7,7,1,5,1,12,5,10,5,1,5,2,2,1,3,0,3,5,4,5,7,5,4,2,7
chr11:65499651-65499869,4,3,3,2,5,6,9,9,7,14,9,1,4,4,2,6,1,5,7,8,3,6,2,4,6,2,5,3,3,2
chr14:49586765-49862640,2,7,5,6,0,10,1,3,3,8,0,7,4,13,3,5,2,3,5,5,4,6,17,16,10,4,6,1,11,5
chr11:65504865-65505057,1,2,3,2,3,2,6,2,1,3,5,1,3,7,2,2,4,1,2,3,7,1,0,3,2,5,5,1,4,1
chr14:23033368-23033674,1,0,0,2,2,2,1,2,1,1,1,2,1,5,1,2,3,0,2,2,3,3,2,2,3,1,2,2,1,0
chr14:49586735-49586866,7,9,6,9,10,10,17,9,10,16,32,18,10,1,9,2,10,13,15,11,1,1,16,3,11,2,12,13,6,10
chr14:49586675-49586878,27,12,16,13,11,8,12,29,19,13,80,28,8,15,18,10,6,25,45,30,49,28,19,15,16,39,34,16,24,13
chr11:65500574-65500680,3,1,0,1,1,0,2,0,2,6,2,2,2,4,2,2,2,0,3,4,1,2,1,1,3,0,2,1,2,1
chr5:36953618-36986301,2,2,2,2,1,2,2,1,3,3,0,3,1,1,0,0,1,1,4,0,2,2,6,0,3,4,4,3,3,5
chr14:20343147-20343277,3,3,5,4,1,3,7,2,4,5,4,2,7,6,3,1,4,1,4,2,6,2,6,4,2,1,6,1,7,1
chr9:18336332-18382646,2,0,1,1,0,4,2,2,1,2,4,2,2,2,2,0,4,1,1,0,0,0,2,1,4,4,0,1,1,2
chr2:168161787-168182090,1,0,1,2,0,3,6,0,1,4,4,2,1,0,0,4,0,1,3,2,1,0,4,3,6,2,3,4,2,0
chr19:8321500-8322286,3,0,3,2,2,0,2,2,3,4,4,3,1,1,4,3,1,2,7,0,3,1,4,2,4,4,5,1,3,2
chr8:140879471-140890769,5,7,2,3,1,7,5,4,2,4,13,5,0,3,5,1,2,0,2,4,1,1,1,2,4,3,4,2,5,2
chr9:77214329-77227485,1,1,6,5,4,4,2,1,1,4,6,0,4,1,0,1,2,1,3,1,2,1,2,1,2,1,7,1,2,1
chr2:84870225-84870785,5,1,8,1,4,5,13,3,1,3,7,6,3,4,5,2,2,4,5,6,6,1,3,4,5,6,7,2,3,4
chr7:80789306-80810701,3,8,3,1,3,6,5,8,1,4,8,6,5,3,3,3,5,4,4,3,2,4,10,3,3,2,6,0,8,5
GL000220.1:112554-113005,4,0,6,9,41,17,5,29,6,2,39,1,0,0,23,26,2,4,24,32,33,21,9,0,35,8,38,8,45,3
chr6:35312302-35312772,0,1,0,1,2,4,0,1,3,1,6,3,2,4,1,0,1,4,2,1,1,4,2,0,4,2,3,6,2,1
chrM:9719-9989,5,5,6,3,2,5,7,3,3,3,1,5,4,3,2,10,5,2,1,2,3,0,5,0,1,3,3,4,2,1
chr15:94367605-94385525,1,4,0,3,2,4,1,1,3,3,6,2,0,4,2,1,4,1,3,4,2,1,2,2,3,3,2,3,2,2
chr11:65422818-65423113,7,2,3,4,2,0,6,1,5,6,8,6,2,2,6,8,4,4,8,7,5,2,3,3,7,5,2,5,2,3
chr9:133019662-133019842,0,3,2,2,1,4,1,3,3,2,7,3,2,6,2,1,2,1,2,1,1,2,1,2,1,2,2,5,0,0
chrM:7175-7291,10,8,15,1,13,13,32,5,10,11,18,5,18,12,7,3,3,6,11,13,13,10,12,2,14,7,5,2,4,13
chr13:99238427-99244624,12,6,4,4,7,11,13,8,5,9,21,15,6,13,7,11,4,6,12,14,11,9,8,7,7,8,12,8,14,7
chr4:139116649-139139497,3,1,4,2,4,5,5,2,6,5,8,7,3,4,3,2,5,5,3,2,1,1,5,2,3,3,1,2,6,4
chr2:63856306-63857936,1,10,4,12,7,9,10,10,10,14,1,15,10,8,5,6,8,6,9,11,11,2,13,5,11,9,14,2,7,5
chr5:137985257-137988315,47,32,34,31,39,69,75,42,52,68,121,75,50,78,33,44,35,40,39,44,47,41,76,36,63,48,59,28,55,36
chr10:15833630-15847943,0,5,1,3,5,4,5,1,3,4,10,6,1,5,4,3,0,4,2,7,1,1,5,2,2,5,5,3,2,1
chr14:22906195-22911403,4,1,2,6,3,3,8,3,6,4,26,3,1,15,4,5,5,4,4,2,2,4,8,3,4,7,8,11,5,1
chr18:21765772-21819646,5,3,4,6,4,15,10,9,7,12,14,4,1,5,1,5,5,4,9,5,4,3,1,3,14,8,5,5,7,4
chr17:16381956-16382183,1,3,5,5,3,3,6,3,3,3,9,5,5,4,4,1,4,1,6,1,2,0,7,0,5,2,3,3,1,1
chr4:48369849-48383784,11,13,9,11,9,20,6,10,9,16,26,15,10,19,5,8,13,1,16,6,1,8,10,11,22,14,1,17,11,13
chr12:2820086-2821792,3,2,3,4,4,6,6,3,3,1,11,1,3,4,2,6,2,0,1,6,3,3,3,1,4,3,3,6,2,2
chr1:634139-634198,3,1,0,0,0,2,4,0,1,0,5,2,4,2,3,0,1,0,6,3,1,6,7,1,9,0,2,0,1,2
chr2:8908621-8958642,30,5,7,18,6,22,24,13,13,18,39,19,16,20,12,4,10,7,12,9,7,16,18,13,19,17,26,3,11,17
chr7:72890627-72891110,8,6,6,6,4,10,9,5,5,7,1,1,4,5,7,2,5,5,4,2,8,1,8,1,1,2,2,2,7,8
chr1:65364635-65366196,2,2,6,2,5,2,2,6,2,1,3,3,2,5,1,1,0,4,1,1,3,1,2,1,4,6,1,1,4,2
chrM:6931-7119,35,31,19,34,12,51,52,36,25,38,80,35,31,46,19,21,11,13,55,15,48,26,26,42,32,28,53,13,42,20
chr11:65499666-65499772,2,7,2,1,2,0,2,2,5,9,1,4,1,9,1,1,2,3,6,3,4,4,1,0,7,5,6,5,1,5
chr4:78826037-78851056,4,1,7,3,4,10,5,4,1,3,8,4,3,6,6,5,3,2,6,6,1,2,5,6,8,5,1,2,2,6
chr5:181242181-181243762,2,3,2,3,2,4,3,2,2,1,3,2,3,4,1,4,1,1,2,2,1,1,7,3,2,3,2,1,4,3
chr2:8943187-8958642,7,2,0,2,5,5,4,3,6,5,6,2,3,1,2,4,5,3,3,3,1,0,5,0,7,3,5,1,1,3
chr16:28487456-28489386,0,2,4,4,1,2,4,3,5,2,1,2,0,5,1,1,1,3,3,4,0,2,1,2,2,3,5,2,3,1
chr3:121844453-121872788,2,4,2,4,7,4,3,5,2,6,14,6,3,10,6,3,7,3,5,5,6,4,8,3,9,3,6,6,3,2
chr19:19640085-19640571,3,5,4,1,4,4,8,4,0,3,14,4,2,8,3,2,5,1,3,5,5,3,10,4,3,4,7,3,4,2
chr2:230442937-230450255,7,3,4,6,3,11,2,9,6,8,14,7,2,4,3,0,2,3,2,7,3,4,5,2,8,5,5,6,8,2
chr17:16101250-16101805,3,4,3,3,4,4,10,8,7,2,10,3,3,11,1,6,4,1,2,6,6,3,3,5,7,1,6,7,1,7
chr8:98706467-98707311,5,4,4,9,6,10,10,3,7,8,17,6,4,9,11,7,3,3,4,6,7,7,5,7,12,9,10,3,13,3
chr14:49586660-49586878,0,0,2,1,1,1,3,4,3,4,4,4,1,1,2,1,0,2,3,0,9,0,1,2,4,2,5,2,7,2
chr10:48401612-48410168,5,5,4,0,9,11,4,2,6,11,14,5,7,13,9,6,4,2,6,3,3,2,9,9,4,1,8,3,7,9
chr15:44711514-44715565,0,5,3,2,2,0,2,0,1,1,5,1,2,3,4,2,1,0,2,0,7,7,6,2,4,1,0,1,1,3
chr1:58527261-58539310,2,1,2,1,2,6,2,1,4,0,5,4,0,1,3,1,0,0,1,3,4,0,1,3,3,2,0,1,2,2
chr11:65499046-65499270,2,1,4,4,3,6,6,5,6,4,12,3,4,1,3,2,2,3,6,3,4,6,4,1,3,6,6,2,2,1
chr14:91481576-91485730,3,4,6,2,4,1,6,1,3,2,1,2,3,10,3,0,5,0,3,3,2,2,5,5,3,0,2,2,2,6
chr14:39276934-39279537,4,1,3,3,2,7,5,7,2,7,9,8,8,10,3,5,6,5,6,7,3,4,4,3,3,0,7,5,3,4
chr22:45729425-45740538,7,7,11,11,11,25,15,13,20,14,1,12,15,22,12,6,7,10,10,9,2,1,1,1,21,11,8,2,8,9
chr7:156966270-156967092,1,1,3,2,1,4,6,3,3,3,2,2,4,5,1,1,1,1,1,2,1,1,2,0,0,4,2,5,1,3
chr3:67495798-67508903,11,15,6,9,13,20,15,12,8,9,30,3,11,26,8,13,10,2,17,11,9,15,17,9,18,7,15,18,8,3
chr2:172570726-172596023,0,2,1,2,5,1,1,2,3,2,5,4,2,5,2,3,4,1,0,3,1,1,1,0,2,4,2,6,1,2
chr3:150544381-150545737,2,0,0,2,2,3,0,1,3,3,1,0,3,7,1,2,0,0,2,1,2,1,0,3,0,3,2,0,1,3
chr15:44711513-44715560,8,7,7,2,6,5,9,7,7,3,29,14,5,10,12,7,0,4,15,11,16,7,6,8,5,12,16,2,7,5
chr17:30484214-30492753,2,5,5,1,4,5,1,2,0,2,3,1,4,3,1,2,1,1,3,1,3,4,4,1,3,1,1,1,3,3
chr2:207724800-207742342,0,5,1,2,2,5,6,1,3,3,4,3,0,4,3,1,7,1,4,0,3,2,5,2,2,5,3,3,1,3
chr9:4117768-4118881,5,1,2,4,2,0,2,0,1,1,5,1,3,2,1,1,1,3,5,1,3,1,0,4,3,2,0,3,1,2
chr4:61934840-61948276,2,1,3,3,3,6,7,4,3,3,4,0,3,2,1,0,1,2,5,1,1,3,3,1,1,2,3,1,2,1
chrM:15954-16109,1,0,2,1,1,0,6,1,1,5,8,1,0,3,5,2,3,2,2,0,3,0,2,0,2,4,0,2,3,0
chr3:141553857-141559995,2,2,1,0,4,4,2,1,3,4,3,1,2,3,1,2,3,3,7,1,1,0,3,1,1,3,4,2,1,2
chrM:3445-3561,1,11,1,9,1,1,5,2,1,2,0,5,7,3,1,3,1,1,1,2,4,1,1,0,2,4,0,3,3,2
chr2:47377014-47379969,8,5,7,5,7,5,7,3,1,5,14,5,4,7,4,6,5,2,7,1,7,1,5,4,6,8,9,2,3,1
chr5:32135572-32143880,6,12,4,4,3,16,11,10,7,12,22,23,10,12,5,4,8,6,8,8,8,4,15,4,14,10,7,10,10,5
chr5:136147832-136154163,1,2,2,2,3,5,1,2,1,4,2,2,0,6,3,1,6,0,3,1,1,1,1,1,0,3,1,0,2,1
chr18:12999421-13019206,10,14,13,12,11,20,17,5,9,24,1,15,19,23,9,9,5,5,16,12,8,9,13,13,18,16,1,10,7,10
chr22:41135813-41140257,2,0,0,1,1,3,2,3,4,3,3,2,1,2,0,0,0,0,2,0,0,2,2,0,1,1,5,2,0,2
chr10:101939863-101957732,1,2,0,1,2,2,3,3,2,1,2,1,0,4,3,0,1,3,0,3,0,1,2,1,1,2,2,0,4,3
chrM:11776-11969,2,1,4,1,2,0,4,2,0,0,7,1,3,4,2,0,1,1,4,1,2,2,1,0,2,2,1,7,1,3
chr7:24623666-24668660,2,5,3,3,4,9,6,4,4,7,6,11,4,6,7,1,1,1,3,1,4,2,4,1,6,8,8,3,7,2
chr11:65499691-65499915,3,2,2,3,2,3,3,0,2,4,4,1,0,4,2,2,2,2,3,1,3,4,1,1,4,4,6,5,0,4
chrM:7702-7809,6,4,2,5,1,7,5,1,1,1,7,2,1,2,3,1,5,0,2,5,3,1,0,3,1,3,10,3,2,2
chr8:100287501-100288267,0,2,2,3,3,3,2,2,5,0,3,2,5,3,2,3,0,0,3,2,3,3,1,1,1,2,2,0,3,0
chr6:44113886-44116628,2,0,5,4,0,2,2,2,3,2,2,3,5,1,1,1,0,2,2,2,1,6,3,5,2,1,3,2,2,1
chr6:110887505-110890356,9,7,6,6,13,12,9,11,5,9,16,11,12,17,3,6,5,7,1,5,11,3,10,4,8,11,14,9,7,6
chr11:65499781-65499937,9,8,2,0,1,5,7,5,1,1,5,8,4,9,3,4,10,1,7,7,2,5,2,3,5,8,10,5,1,5
chr12:70278132-70311017,4,2,3,2,3,10,4,10,4,0,8,3,2,4,2,2,3,4,2,2,4,1,1,6,2,3,4,0,1,3
chrM:8439-8493,1,3,1,5,0,2,5,1,5,4,3,4,22,7,0,2,6,0,4,0,1,4,1,0,5,0,3,0,5,5
chrX:24172715-24179770,2,1,0,0,1,5,3,1,2,6,1,2,3,3,1,0,1,2,1,2,1,0,2,2,1,2,5,3,1,1
chrM:5912-6052,22,8,3,7,2,5,8,1,6,11,2,9,5,0,8,5,2,12,25,11,21,1,7,5,4,28,18,11,15,3
chr11:65500482-65500608,1,0,0,0,0,0,3,0,5,3,5,1,3,4,2,3,2,2,3,1,5,2,4,1,2,3,1,1,2,0
chr16:11020193-11061022,2,4,1,3,2,4,5,3,4,5,12,7,5,5,2,3,5,1,5,6,8,3,1,2,5,4,3,4,2,2
chr7:100992703-101003946,10,4,0,0,6,0,1,4,10,5,12,5,2,5,5,0,11,0,9,5,1,2,2,0,16,16,11,2,5,2
chr15:50583089-50592626,0,3,0,0,0,4,2,4,0,3,7,0,1,3,3,1,4,1,1,3,2,2,1,1,2,4,5,2,2,1
chr12:19462510-19473355,3,4,1,2,1,3,6,5,6,5,7,2,3,6,2,1,9,2,8,0,2,1,3,3,1,6,3,4,3,7
chr3:179203544-179204588,3,0,2,2,3,0,3,3,4,2,6,4,2,4,2,1,2,1,1,1,3,2,3,0,3,3,0,2,5,2
chrM:4042-4131,5,2,1,2,5,1,1,6,2,3,0,1,2,1,5,1,5,3,6,7,4,3,0,1,2,9,14,1,2,0
chr11:68759569-68761687,2,3,2,1,1,3,3,8,5,5,7,3,3,6,3,0,3,1,0,0,0,3,3,3,2,3,1,2,3,2
chr12:94169153-94186473,9,8,9,1,8,16,1,5,15,9,2,2,11,1,11,6,14,7,9,10,8,6,14,5,1,1,16,8,5,5
chr18:56756583-56758953,1,3,0,2,4,2,4,2,2,1,3,6,2,3,1,1,1,0,1,1,5,1,5,2,2,2,1,6,3,1
chr6:118940828-118941155,2,1,1,0,3,6,2,3,2,1,1,1,1,3,1,2,2,0,3,3,1,2,2,3,0,0,0,2,0,1
chr1:206933128-206934515,6,6,1,4,9,2,6,2,2,4,11,8,4,7,4,3,1,9,11,11,13,8,6,3,4,9,14,1,11,2
chr2:147972739-147975975,1,6,3,4,1,7,4,1,4,5,7,6,4,6,3,2,1,1,3,1,2,0,3,2,3,4,8,2,4,2
chr15:49235851-49292537,4,7,4,6,3,9,8,3,4,4,9,6,12,7,6,2,1,3,1,0,2,2,4,1,9,7,6,2,4,2
chr7:74356410-74357477,5,4,7,9,1,2,10,3,4,5,8,5,7,4,2,1,1,2,5,3,5,4,3,1,6,2,7,6,2,4
chr3:56660731-56673725,1,12,1,10,2,6,13,4,5,4,3,5,8,12,6,6,2,2,4,4,3,4,2,4,4,5,4,6,0,4
chr15:65178934-65180204,6,1,1,0,0,1,3,1,4,3,9,6,8,10,3,1,2,6,3,3,4,0,4,2,6,6,4,3,5,2
chr3:50065031-50066502,6,3,2,2,5,4,5,7,2,5,1,6,5,9,2,3,6,4,6,2,2,1,7,5,5,1,5,11,3,8
chr11:65500466-65500548,2,4,1,1,1,5,3,4,4,3,12,6,1,2,1,0,2,0,5,7,7,4,2,2,1,4,8,1,1,1
chrM:3751-3945,1,5,1,3,0,3,2,3,2,3,1,1,3,5,3,1,0,0,0,3,3,1,1,1,3,0,3,1,4,1
chr6:34606555-34646798,1,3,0,2,4,3,2,4,2,1,9,5,4,5,1,5,1,3,2,1,4,1,5,2,7,3,6,5,1,3
chrM:7109-7228,2,1,0,2,5,0,5,5,4,5,6,4,3,5,2,2,3,4,3,4,4,5,0,2,0,3,16,1,4,0
chr14:93293858-93296157,1,0,0,2,3,4,0,2,2,2,7,3,3,4,1,5,5,4,2,2,2,2,0,1,1,2,3,1,1,0
chr3:43299754-43303792,0,4,1,1,1,5,3,3,4,4,1,1,6,6,0,7,0,2,2,3,5,5,2,2,3,2,1,2,6,1
chr7:6814764-6823360,6,5,1,4,2,4,3,3,3,4,9,6,6,10,4,2,2,1,1,2,4,2,3,3,2,4,2,4,10,2
chr15:68141946-68173892,3,3,0,2,0,2,3,2,1,1,4,1,1,6,2,1,5,1,0,0,2,1,2,1,1,2,6,1,1,2
chr2:206279540-206297373,4,1,0,3,2,6,2,1,0,4,1,3,2,2,1,0,1,1,2,1,2,0,3,0,3,0,4,5,2,2
chr1:112653598-112659779,2,7,1,1,7,8,10,4,6,6,14,5,1,6,5,9,7,3,3,4,5,4,3,5,8,3,3,3,2,2
chr19:12526920-12528696,2,0,0,2,0,2,1,2,0,2,1,1,3,4,2,2,0,1,4,0,2,1,3,3,0,2,2,1,3,1
chr2:72718103-72733118,8,13,11,9,8,22,21,15,11,15,27,10,10,19,8,13,7,8,6,8,7,11,25,13,9,12,14,9,19,9
chr1:151315573-151316509,2,1,2,2,3,0,4,4,3,1,3,2,6,4,1,4,1,1,5,1,4,4,4,0,4,2,2,1,1,0
chr8:130152736-130169067,1,0,6,1,3,5,3,5,4,6,14,2,3,3,2,1,3,2,2,4,6,8,2,0,2,4,2,2,6,2
chr11:6941571-6955782,1,3,2,0,1,1,7,2,1,1,4,1,6,1,0,0,2,5,2,2,1,1,3,0,4,2,2,4,0,0
chrX:37386599-37426000,5,1,1,0,1,2,4,2,2,0,3,0,0,2,2,1,1,0,5,1,2,1,1,0,6,3,6,0,2,3
chr1:155438327-155439068,4,7,5,8,2,9,6,5,3,7,12,7,1,6,8,5,6,5,4,9,0,4,8,6,13,7,6,10,8,8
chr7:149018992-149021147,2,1,1,4,1,4,5,4,1,1,3,2,3,5,5,1,2,1,2,6,1,0,6,0,8,4,4,3,7,4
chr7:100812747-100813208,7,6,8,4,3,12,9,6,6,7,10,2,7,9,4,5,5,8,9,6,5,1,13,2,1,8,6,7,3,6
chr11:65500521-65500603,6,1,7,5,4,5,1,5,10,15,1,7,1,15,5,8,2,8,15,1,6,8,1,1,7,1,13,8,2,2
chr2:40428473-40430301,2,5,0,1,1,0,1,1,3,2,9,2,2,2,2,2,0,2,1,0,1,3,2,0,2,3,2,0,1,3
chrM:9051-9179,8,4,5,1,4,3,0,1,4,3,5,2,5,3,4,0,1,1,5,5,1,7,4,0,4,9,11,4,4,7
chrX:53645311-53654131,1,2,0,2,2,2,7,1,2,4,4,5,3,3,3,2,0,0,1,1,1,2,3,1,1,3,1,2,2,2
chr7:100023419-100024307,1,60,43,3,32,66,81,2,1,1,3,2,39,1,1,1,31,1,54,1,1,2,1,2,2,6,1,1,44,1
chr19:40583398-40583717,1,0,0,0,1,2,3,6,2,3,3,8,3,6,2,1,1,2,2,0,1,1,4,2,4,2,3,3,4,0
chr7:116110708-116112038,1,2,0,1,1,5,3,2,2,5,12,5,2,7,2,2,0,3,0,7,0,1,1,0,3,2,4,1,2,0
chr11:65500490-65500684,3,3,6,2,3,4,6,4,7,1,9,8,2,7,6,6,5,0,11,5,7,3,2,1,4,4,5,1,3,2
chr6:18236452-18258405,5,1,0,2,1,7,2,0,4,5,9,10,3,5,2,2,5,5,4,3,4,2,4,0,4,3,4,5,3,1
chr11:65499716-65499842,8,7,9,15,5,12,12,7,8,20,17,12,7,20,12,10,7,4,24,7,12,10,10,9,12,12,26,5,9,10
chr14:49586734-49586865,7,2,5,5,3,2,11,7,8,9,15,10,8,8,1,3,4,5,10,16,7,3,5,3,10,14,11,7,6,0
chr9:111386377-111391824,7,19,9,11,9,10,10,12,10,25,27,10,11,16,5,16,10,7,11,3,10,7,19,10,19,10,10,11,24,15
chr11:27467017-27467360,3,2,1,1,3,3,3,1,3,2,4,4,1,3,3,2,5,0,1,1,4,4,5,4,6,0,2,0,0,3
chr1:28742403-28743986,1,2,3,0,2,4,2,6,1,2,5,2,0,2,1,4,3,1,4,1,2,2,3,3,0,1,1,2,4,1
chr10:110124017-110130486,3,5,2,2,6,4,6,1,5,4,6,4,5,1,1,4,1,2,5,0,1,4,4,2,1,1,8,4,2,2
chr14:49586693-49586873,12,6,10,11,2,6,12,17,8,11,37,14,9,12,21,8,10,13,27,17,27,2,12,4,19,37,30,15,17,6
chr15:80120328-80122800,22,21,17,23,12,32,11,32,21,8,47,20,20,36,7,12,18,24,27,10,17,15,27,16,29,26,1,25,20,20
chr2:196912882-196922186,1,0,4,0,2,3,3,1,0,3,2,1,1,3,4,3,3,1,1,0,0,2,2,2,1,4,2,1,1,1
chr17:59839768-59839895,2,4,2,3,2,1,1,3,3,8,4,0,2,10,7,3,2,2,6,3,4,1,2,2,1,2,5,3,6,1
chr21:36130636-36130929,2,1,1,0,2,1,1,1,3,0,5,0,1,4,0,1,3,3,2,3,3,2,2,1,2,3,1,3,3,2
chr10:94245946-94246621,4,8,6,13,11,13,8,10,4,10,10,4,8,8,6,2,5,1,6,5,4,3,14,13,9,7,19,5,5,13
chr5:74745678-74750667,2,1,1,3,2,4,5,3,1,1,6,3,4,3,1,4,3,0,1,3,0,6,0,1,4,6,1,0,1,1
chr7:100991547-100991714,5,3,1,1,1,6,2,0,0,2,0,5,3,2,0,0,3,8,3,4,4,0,0,1,1,2,4,0,0,1
chr3:123931102-123949132,0,4,1,0,4,2,2,3,1,4,9,5,2,1,1,0,4,4,4,0,3,0,0,1,7,4,6,2,4,4
chr14:49586811-49862713,6,3,8,6,0,2,3,2,3,1,8,2,0,5,4,6,5,7,8,8,2,4,5,6,2,3,4,10,2,2
chrX:78014662-78020398,0,1,0,1,1,1,4,4,3,3,5,2,1,2,2,3,2,1,2,1,0,1,3,0,3,0,1,2,4,1
chr12:104909655-104928694,2,2,3,4,2,5,2,9,2,1,3,4,1,4,4,3,3,0,4,1,2,5,3,5,2,5,6,1,4,5
chr11:108227595-108229323,1,0,0,3,3,9,8,3,1,4,4,5,1,5,3,4,0,3,2,1,4,1,3,2,2,2,3,6,4,1
chr16:74459682-74463479,3,1,4,4,2,2,0,4,3,3,11,5,2,4,2,4,4,0,1,3,1,2,9,3,3,1,3,1,3,1
chr11:86007542-86031611,5,2,4,2,1,11,7,5,5,3,7,7,5,8,3,2,0,0,3,6,6,7,3,7,6,4,4,0,7,5
chr17:31155983-31169997,4,2,2,7,1,3,5,4,4,1,3,1,2,5,1,1,3,1,3,2,4,0,3,2,8,0,0,5,1,2
chr20:41533050-41551360,1,1,2,2,2,5,3,4,1,1,5,0,3,5,2,2,3,2,4,1,3,2,2,1,1,3,3,2,3,0
chr7:30550636-30562128,5,6,4,6,5,5,5,3,3,1,11,6,3,8,3,3,4,1,5,3,1,3,2,4,4,4,3,8,5,6
chrM:14865-14929,1,4,1,1,3,3,2,1,2,4,2,3,2,2,1,3,3,0,1,1,0,2,0,0,2,1,0,2,1,2
KI270905.1:4741397-4747949,4,2,2,1,0,4,1,3,1,2,7,2,4,2,0,1,4,3,2,1,2,1,2,2,4,3,5,1,1,0
chr11:65499734-65499826,0,4,2,3,3,0,5,1,1,8,5,2,1,6,3,2,2,1,2,1,1,1,2,0,2,2,4,2,2,3
chr1:167966629-167975015,1,1,1,0,1,2,3,2,8,4,5,1,3,4,0,0,1,0,0,1,0,5,2,3,2,2,1,1,3,3
chr10:96944113-96952196,4,5,4,1,3,4,5,4,0,5,4,3,4,4,3,0,2,1,2,0,2,3,3,1,3,2,1,3,3,4
chr12:29293300-29297200,2,0,6,2,0,0,4,1,3,4,5,0,1,2,1,0,2,2,3,2,0,2,7,2,4,1,3,2,4,1
chr22:21805850-21807846,2,0,0,0,1,5,0,2,2,4,4,0,1,2,2,1,0,1,0,1,3,4,2,0,4,4,0,2,2,3
chr15:101235082-101235577,1,1,4,4,3,3,3,2,2,1,6,3,1,6,1,1,2,0,3,1,4,4,3,1,3,2,2,7,5,3
