ID,CircRNACount-1032245-T,CircRNACount-1039868-T,CircRNACount-1042353-T,CircRNACount-1042745-T,CircRNACount-1043773-T,CircRNACount-1045386-T,CircRNACount-1045549-T,CircRNACount-1046191-T,CircRNACount-1046287-T,CircRNACount-1046349-T,CircRNACount-1046499-T,CircRNACount-1047291-T,CircRNACount-1047831-T,CircRNACount-1047912-T,CircRNACount-1048720-T,CircRNACount-1049983-T,CircRNACount-1050700-T,CircRNACount-1051316-T,CircRNACount-1054390-T,CircRNACount-1056166-T,CircRNACount-272577-T,CircRNACount-451368-T,CircRNACount-477022-T,CircRNACount-515975-T,CircRNACount-522638-T,CircRNACount-548142-T,CircRNACount-649867-T,CircRNACount-685749-T,CircRNACount-843725-T,CircRNACount-99272-T
chr5:134741063-134744052,3,2,6,1,1,3,1,2,6,0,1,0,3,5,2,3,3,1,1,3,1,3,0,1,5,5,2,2,3,4
chr16:85633914-85634132,14,9,0,3,12,6,3,8,8,7,11,0,4,2,3,0,10,5,9,8,1,6,3,8,2,10,8,13,7,10
chr7:131387120-131399433,4,3,1,5,9,4,0,0,2,1,3,1,5,2,2,0,4,0,6,6,3,3,4,1,2,0,2,2,3,4
chr4:1394590-1394865,1,3,0,0,5,0,3,1,5,0,4,4,0,2,3,4,0,8,0,1,1,3,0,4,3,3,5,0,15,7
chr11:2951259-2979237,3,0,1,2,3,2,1,2,1,1,0,3,3,2,2,1,4,0,1,0,1,2,0,2,1,2,1,2,0,5
chr7:30550636-30574881,6,3,5,3,3,2,0,1,0,1,6,1,0,1,4,1,2,6,5,2,1,0,2,1,2,0,5,2,2,1
chrX:148661908-148662768,3,1,2,0,8,0,4,2,2,0,0,0,0,4,2,1,2,1,0,1,3,0,1,3,0,2,2,5,3,4
chr16:21962460-21976243,1,1,3,0,1,4,2,3,2,2,1,1,1,15,0,2,3,1,2,4,2,1,1,0,1,3,2,2,3,3
chr1:35381259-35389082,4,0,0,2,4,3,3,3,2,1,0,0,1,2,1,1,4,3,2,0,0,4,4,1,0,1,0,1,3,2
chr11:65500446-65500608,3,0,3,1,3,2,0,1,5,1,3,3,1,2,0,2,2,2,8,2,1,0,2,3,2,2,1,1,5,4
chr20:21209594-21209838,0,2,0,13,0,18,0,0,5,9,0,0,2,0,5,3,3,5,4,0,6,1,8,1,6,5,4,15,12,1
chr14:49586739-49586870,1,11,9,6,6,3,5,18,8,7,13,7,6,3,6,6,11,13,5,24,1,7,6,6,5,23,3,3,18,1
chr11:65504857-65505049,3,5,6,2,1,5,3,4,1,2,0,2,0,0,1,1,0,1,3,2,2,1,2,0,2,3,1,1,3,1
chr3:31576396-31580096,15,6,7,9,7,5,7,11,6,7,9,12,4,13,6,4,12,8,1,8,7,9,6,2,14,6,5,8,3,5
chr21:29326059-29329693,9,2,2,7,1,4,1,3,4,2,0,0,2,4,1,3,2,0,1,1,4,2,0,2,1,1,1,4,0,3
chr8:94664697-94665196,0,3,4,3,10,1,1,3,0,1,1,4,5,8,2,1,10,1,6,3,2,1,0,0,3,1,2,2,6,2
chrM:5902-6189,11,4,6,2,8,5,4,10,7,4,7,0,6,0,7,9,9,17,3,5,4,8,5,2,12,4,9,2,3,3
chr7:77585543-77600806,2,3,3,0,4,3,1,3,4,1,3,2,2,3,1,3,4,2,0,0,4,1,0,1,0,4,1,1,4,2
chr13:26337567-26353880,0,3,1,4,10,4,0,2,2,2,1,8,3,2,2,6,6,2,6,5,2,2,4,0,6,0,1,2,1,1
chr11:65500459-65500538,1,5,1,5,4,2,3,8,3,5,8,4,6,2,1,3,2,4,9,3,1,9,1,2,0,17,8,3,23,1
chr12:46239679-46254936,2,0,3,2,8,0,2,0,2,3,0,4,1,5,2,1,3,1,2,1,1,2,5,2,2,2,4,3,2,4
chr11:65500511-65500593,6,3,4,5,1,3,3,6,7,3,4,10,4,4,4,4,4,4,9,5,0,3,4,3,2,1,6,2,23,3
chr2:27350314-27350632,1,3,2,2,1,0,0,1,2,2,8,0,3,1,6,1,0,1,1,1,2,1,2,1,2,4,3,7,3,1
chr4:102304317-102315830,7,15,3,0,12,19,2,5,13,5,1,22,6,0,5,1,4,1,11,4,3,2,9,0,6,3,7,7,6,13
chr16:11721577-11736233,0,1,4,1,2,0,0,0,1,3,1,1,2,2,0,2,3,2,2,2,3,0,2,0,1,2,3,0,5,2
chr6:160397979-160410846,3,0,1,6,3,0,0,3,1,13,3,15,8,1,1,1,5,8,3,7,1,1,3,0,3,3,2,0,1,3
chr11:65500208-65500412,6,13,6,14,31,16,10,7,5,9,18,3,9,9,10,23,3,12,13,14,20,9,10,11,2,7,3,11,29,12
chr14:99458279-99465813,31,13,15,42,41,34,7,11,19,15,26,14,22,44,17,24,22,16,23,24,8,22,15,15,20,13,19,34,23,20
chr7:76502388-77002252,0,5,0,2,6,5,3,1,4,0,4,3,2,3,2,3,0,3,7,6,0,5,5,5,1,2,3,3,6,4
chr14:22926133-22927660,7,3,5,3,6,7,3,1,6,6,4,5,3,5,4,2,3,3,3,4,0,1,7,2,3,3,3,12,2,2
chr11:86007542-86031611,2,2,1,9,3,6,3,1,4,5,0,8,2,6,0,1,4,0,4,1,1,3,5,3,4,2,0,3,5,2
chr9:110136127-110138539,2,0,0,1,2,4,0,4,5,2,3,2,1,2,0,2,3,0,2,2,0,0,6,1,0,3,2,2,1,2
chr22:41342529-41343576,3,1,0,0,2,2,1,4,4,2,2,4,2,0,3,2,2,0,3,1,0,2,1,1,4,4,2,2,2,2
chr5:146254943-146258593,6,1,2,4,3,1,2,2,3,3,3,1,2,1,5,2,2,2,1,2,1,3,1,1,0,3,0,5,1,3
chr1:213996469-214011715,2,3,3,13,4,4,8,2,1,17,1,4,3,0,4,2,10,2,1,2,2,0,4,0,2,4,5,2,6,14
chr17:82763965-82781721,6,3,3,4,3,12,1,2,8,3,7,1,9,14,4,3,6,4,3,4,2,4,7,2,3,5,3,3,4,4
chr17:1050050-1100735,33,8,9,14,28,11,22,21,59,5,41,7,18,47,23,23,10,36,30,14,17,39,33,4,20,23,95,43,22,18
chr12:46229153-46243314,18,15,13,14,34,14,7,3,12,9,12,18,3,14,9,10,12,8,15,10,7,9,23,5,10,9,8,26,12,20
chr1:155853276-155853806,5,8,8,8,3,3,2,2,3,2,6,8,7,3,2,3,6,4,2,4,6,8,4,7,5,4,3,3,2,7
chrM:3598-3677,2,0,0,3,0,1,1,5,2,1,1,3,1,2,0,0,2,2,2,2,1,3,0,5,4,7,1,0,7,1
chr21:41226266-41257326,2,1,0,1,3,3,2,1,4,1,4,1,5,0,3,2,1,3,1,4,1,3,0,0,2,1,1,2,2,7
chr14:103778745-103797518,3,6,3,8,11,0,7,2,2,4,3,4,3,5,1,4,6,7,10,7,3,0,5,1,1,4,1,3,3,4
chr4:105233897-105237351,5,9,2,1,6,5,7,5,5,2,5,3,12,7,2,8,7,5,5,2,10,7,4,5,0,5,0,5,3,4
chr4:51863437-51877854,1,1,0,1,6,2,2,1,1,4,3,3,2,4,2,2,7,1,3,3,1,3,2,1,4,2,4,9,2,4
chr14:20343176-20343398,5,1,2,4,2,2,3,4,6,0,7,0,2,3,1,2,0,2,8,4,2,3,2,4,2,1,0,1,5,1
chr13:100301460-100309908,2,2,5,7,12,6,0,9,3,0,7,6,4,3,5,3,5,1,3,2,1,5,6,0,10,1,2,1,0,3
chr11:65500635-65500759,14,1,1,5,1,4,3,11,2,1,7,4,2,0,1,2,7,5,6,4,2,4,2,7,3,1,9,3,9,0
chrM:5902-6119,25,9,5,1,9,2,5,32,6,10,24,24,16,0,11,11,25,43,14,19,8,25,5,20,16,11,11,12,13,7
chrM:11950-12016,6,2,2,4,4,3,2,8,4,1,4,7,5,8,4,5,6,16,7,6,2,10,3,5,21,11,0,2,20,2
chrM:11950-12012,11,5,5,7,9,14,4,10,11,5,13,9,16,9,5,14,6,23,10,15,9,19,7,11,36,10,1,10,18,2
chr2:121605701-121606180,9,1,2,8,2,4,3,3,2,4,3,4,4,0,2,0,6,1,4,3,2,4,4,1,0,3,0,7,6,3
chr12:32607957-32611283,3,1,1,4,9,2,1,1,2,2,7,3,3,1,1,2,5,3,4,4,3,7,2,1,2,4,3,9,2,2
chr10:110596398-110598290,7,1,3,3,4,2,1,2,8,1,3,3,2,6,3,4,1,2,2,4,1,1,0,2,5,2,1,6,2,1
chr11:65500521-65500603,9,5,5,4,9,1,3,5,5,8,7,6,3,3,4,2,4,6,12,6,1,8,1,7,4,1,8,1,17,1
chr14:49586693-49586873,21,11,11,8,8,5,15,14,8,8,27,1,4,5,6,5,7,14,16,25,3,17,10,4,4,21,4,14,13,3
chrM:15654-15827,8,3,3,2,1,2,2,5,2,6,5,6,2,4,4,2,12,0,4,4,0,7,2,2,5,4,8,0,4,1
chr2:199323803-199328910,10,0,2,0,16,5,3,1,6,2,11,7,1,0,11,0,3,1,8,1,0,3,1,3,5,3,0,1,3,1
chr11:65499745-65499854,7,3,4,11,5,8,0,5,2,3,8,8,7,5,2,2,3,4,6,8,1,6,0,9,2,4,6,3,10,2
chr1:89133300-89186374,0,3,0,3,0,3,3,2,3,0,0,6,0,0,3,10,2,0,1,0,1,0,0,5,10,29,0,1,3,6
chr7:131375424-131399433,0,3,3,12,5,12,2,3,2,4,5,5,2,10,4,3,5,2,2,3,2,5,0,1,5,0,3,5,1,8
chr11:65499699-65499845,5,5,6,7,10,8,4,4,2,9,2,7,3,6,3,4,4,6,9,6,6,2,5,7,2,9,4,0,13,5
chr5:73058433-73077493,1,3,3,0,3,1,2,5,5,4,4,1,3,0,0,2,0,3,4,2,0,1,0,1,1,3,1,5,4,5
chr10:68025546-68044563,4,1,3,2,1,1,2,1,2,4,3,0,3,4,3,0,3,0,2,1,1,1,2,1,2,1,4,1,0,1
chr7:74356410-74357477,5,4,8,1,12,7,2,3,4,7,7,5,9,16,6,1,5,3,4,2,5,4,2,2,7,3,3,12,5,4
chr5:177536358-177539147,7,7,0,5,2,1,2,3,1,4,6,5,3,6,3,4,6,9,3,6,2,5,8,3,12,8,3,10,5,5
chr19:49196440-49196874,2,2,0,5,1,0,2,3,2,4,1,4,1,0,1,1,2,1,2,1,2,5,0,0,1,0,2,3,2,1
chr15:42827928-42840433,3,2,2,1,2,6,1,0,4,1,4,2,2,2,3,0,1,2,2,6,0,1,1,3,4,5,2,1,1,6
chr4:51863437-51891851,7,2,2,3,18,2,1,6,6,5,6,1,4,6,2,2,6,7,3,3,4,4,3,6,8,4,5,5,4,6
chr1:32948222-32949774,9,9,4,6,8,6,1,4,17,6,11,11,2,9,8,9,9,7,11,11,5,3,3,5,7,10,5,17,9,6
chr21:36338775-36344707,9,4,9,7,12,12,5,8,13,8,9,1,3,9,4,1,5,9,11,14,2,7,4,5,11,6,2,2,8,10
chr11:65499751-65499845,3,2,1,0,3,5,1,1,2,3,3,2,0,0,3,1,1,1,2,2,0,1,2,5,0,3,1,0,8,4
chr11:72773365-72774499,4,2,2,2,0,3,2,2,4,2,0,4,7,3,1,0,4,2,3,5,0,6,2,3,1,0,2,0,3,3
chrX:85067127-85074391,2,0,1,1,4,5,2,3,3,1,0,2,6,3,0,1,0,1,3,1,1,0,1,0,8,2,2,2,3,1
chr11:130260856-130261929,17,10,8,28,9,14,13,12,15,7,7,8,22,16,11,21,14,6,10,10,42,10,15,13,11,10,6,9,14,20
chr14:30670256-30675065,3,2,2,2,8,3,1,2,5,1,3,3,2,1,0,0,3,2,3,1,0,0,4,1,0,1,1,3,2,1
chr6:13632370-13644729,5,2,6,6,6,9,1,2,6,8,4,2,2,5,4,2,9,7,2,3,1,9,2,6,1,4,2,9,5,6
chr1:16564807-16567351,7,0,3,0,2,0,3,6,3,7,6,2,3,7,5,4,10,5,7,2,3,4,5,2,5,2,0,2,5,7
chrX:2953143-2958435,5,1,15,5,4,1,4,3,2,5,6,7,3,5,4,1,6,7,3,0,1,2,11,2,2,4,8,12,1,1
chr11:65500595-65500639,3,0,1,3,1,1,1,3,2,2,1,0,2,2,2,0,1,10,2,2,2,1,3,3,0,2,1,1,1,0
chr11:65502726-65502925,33,32,36,35,60,32,19,27,31,20,16,24,30,23,20,27,20,27,33,28,20,26,28,37,19,23,29,13,98,33
chr20:35653528-35659014,2,5,6,5,6,2,1,4,2,1,4,4,10,27,6,2,8,1,4,5,7,1,7,2,4,2,9,11,8,7
chr17:82563354-82568201,1,4,1,3,1,1,4,2,8,1,1,2,5,2,4,3,4,2,0,7,1,2,3,2,4,4,6,7,2,0
chr19:1208910-1209293,0,2,2,0,4,2,2,1,5,0,5,8,0,2,3,1,2,1,3,0,0,1,0,3,2,1,2,0,4,0
chrM:7929-7975,4,1,2,0,0,3,0,4,3,1,4,0,1,0,2,0,4,5,1,4,0,4,0,1,3,3,2,1,5,0
chr9:35657756-35658019,7,4,4,2,3,10,2,13,0,2,11,3,5,3,5,6,6,6,12,3,1,7,3,1,3,0,6,1,7,0
chr10:7243558-7285954,5,3,2,1,4,2,3,0,7,2,3,1,0,2,3,2,1,1,0,2,0,1,3,2,0,3,0,1,2,1
chr4:82871944-82875822,1,5,2,3,5,5,1,3,4,5,7,7,2,2,7,2,3,3,0,4,2,1,3,2,4,2,1,4,2,4
chr5:50399107-50411383,20,10,3,17,4,9,3,4,4,5,1,0,5,14,7,1,3,0,6,1,3,2,6,8,12,6,2,3,2,16
chr8:140864312-140890769,5,5,6,7,5,14,1,10,7,5,2,17,3,2,5,2,8,3,10,7,3,4,10,3,9,3,3,3,10,6
chr4:82878730-82881940,4,3,2,1,4,5,3,0,6,3,2,1,3,2,4,4,0,1,3,1,2,3,0,3,3,2,4,7,4,1
chr6:47283938-47286595,134,21,4,27,31,40,20,27,11,16,23,21,37,18,21,11,33,20,21,37,28,33,20,15,12,51,16,10,26,30
chr15:85113873-85115487,1,3,8,3,11,9,5,2,5,10,10,16,6,4,7,1,6,3,7,5,8,7,5,1,6,8,4,1,9,6
chr21:8208487-8435723,0,2,0,2,4,2,2,2,0,3,2,1,0,2,3,1,4,1,2,0,0,1,0,0,0,3,0,3,2,1
chr14:102081061-102081179,1,4,3,7,3,9,3,6,6,4,15,8,4,11,1,1,13,3,7,7,2,10,3,9,1,4,1,3,10,4
chr6:27867300-27867587,2,3,7,2,12,1,7,6,2,5,40,4,11,1,7,9,12,5,16,16,6,16,15,1,0,10,1,16,2,7
chr17:12054889-12095694,4,3,1,3,1,4,2,2,4,1,2,5,4,4,6,1,2,1,2,2,0,5,2,1,2,5,1,3,2,3
chr16:53155926-53157541,4,0,2,2,2,1,1,2,4,2,3,1,0,0,1,0,0,0,1,3,1,2,13,2,2,0,0,3,3,2
chrM:8666-8818,6,2,3,1,3,6,4,8,6,3,4,4,3,4,1,1,17,0,5,1,5,6,3,0,14,4,3,1,9,2
chr9:77337255-77371149,2,2,2,2,0,1,4,2,0,6,4,0,4,13,0,0,5,3,1,1,1,4,3,1,5,0,1,1,1,0
chrM:3615-3784,2,2,2,1,2,3,1,1,3,4,2,3,1,1,5,2,4,1,6,1,3,7,3,1,5,3,1,3,11,1
chr11:65501760-65501949,5,3,1,0,0,3,3,2,2,4,3,2,2,3,4,1,2,2,4,3,2,9,1,0,2,5,3,3,11,0
chrM:9060-9172,14,3,5,1,16,2,3,4,3,7,4,6,5,8,6,7,1,9,8,9,2,1,6,2,25,6,0,6,3,3
chr18:12999421-13030608,9,2,4,14,6,4,4,4,9,10,8,3,11,14,6,9,5,5,5,4,1,11,4,8,6,4,2,2,5,1
chr13:60439688-60460540,2,0,4,3,13,3,1,1,3,4,3,2,4,3,1,1,2,1,3,4,2,3,2,2,1,1,1,3,2,2
chrX:65075474-65113813,3,4,8,3,7,9,0,5,3,3,6,1,4,8,1,1,2,1,6,0,3,1,4,0,5,0,4,1,6,5
chr22:45729425-45740538,7,6,8,14,2,1,4,6,8,17,1,14,16,18,8,6,1,12,7,4,7,3,16,3,15,8,6,1,13,8
chr7:27629371-27632445,3,0,1,2,3,0,3,2,3,1,0,1,1,2,0,0,3,0,3,2,1,3,1,1,2,4,2,1,2,1
chr10:84417771-84477664,2,0,1,2,0,2,3,2,3,0,2,3,3,2,0,0,3,2,1,2,0,2,0,1,1,0,0,3,0,2
chr3:65929626-65930063,2,2,4,2,3,4,2,5,5,1,1,2,3,7,3,0,7,5,5,2,2,3,6,4,2,1,4,3,6,0
chr2:224535528-224557856,6,0,6,4,5,5,2,3,0,3,4,7,8,3,2,0,7,2,0,2,5,3,4,0,7,1,2,1,3,4
chr14:49586808-49862639,0,2,6,3,8,1,1,1,2,2,2,0,1,1,0,2,0,0,6,4,3,1,4,2,0,10,0,22,6,3
chr11:65499718-65499833,3,5,5,8,6,9,4,3,5,7,5,8,2,5,3,1,1,6,11,10,7,3,4,10,3,8,4,5,13,3
chr11:65499629-65499695,4,3,0,3,4,0,1,7,2,2,0,5,0,0,0,0,3,4,3,2,0,2,1,1,1,0,7,0,6,1
chr10:68487144-68493570,2,0,5,2,0,3,1,3,2,0,2,6,2,1,3,2,2,1,2,0,0,0,2,1,6,0,3,6,0,0
chr1:629306-629417,19,7,0,1,0,2,4,21,7,3,3,16,1,4,5,0,3,6,7,3,1,9,2,20,7,14,14,0,19,1
chr15:63553715-63563008,2,1,1,1,1,1,2,3,2,3,3,1,2,0,1,2,6,2,2,1,3,1,0,3,0,1,1,3,0,2
chrM:12843-13046,6,3,3,2,4,4,2,12,6,5,16,7,7,4,6,1,7,3,7,2,5,14,8,4,8,8,5,3,15,7
chr5:170878097-170896115,0,0,2,4,2,2,3,0,0,2,3,2,2,10,2,0,3,1,2,2,2,1,5,0,1,2,2,1,1,3
chr11:65505187-65505375,8,0,1,4,8,5,2,4,3,1,1,5,5,0,2,1,7,4,4,4,3,5,1,4,3,4,5,2,15,1
chr2:226864604-226867318,5,2,8,3,1,5,5,6,7,3,5,6,4,8,4,8,1,5,7,4,1,8,3,8,5,5,3,6,3,11
chr12:46239679-46243314,5,2,4,7,15,4,4,1,16,10,6,5,7,5,2,7,4,5,6,6,6,11,8,7,4,9,1,10,3,3
chr1:633914-634120,3,1,6,4,4,4,6,3,3,9,4,3,3,2,2,0,6,0,0,2,1,1,5,3,7,2,0,1,9,6
chr11:65499696-65499920,5,1,0,5,6,5,1,0,6,2,4,2,1,1,3,3,5,2,6,1,4,1,1,1,2,4,1,6,2,2
chr5:109713520-109716264,10,0,4,8,4,9,4,2,10,1,5,1,3,7,0,3,9,2,6,1,1,5,7,2,5,4,3,4,3,3
chr6:154773989-154795139,3,1,2,4,2,2,4,1,1,0,0,3,1,3,1,5,3,2,2,0,1,1,1,2,4,0,3,3,1,4
chr9:93515667-93516269,8,4,1,6,0,4,0,4,4,4,0,3,2,4,3,1,5,1,5,1,4,3,1,1,1,0,5,8,1,2
chr2:134253095-134254644,2,1,5,11,1,4,1,6,1,4,1,2,5,9,3,1,13,4,5,4,1,4,3,2,9,12,9,1,10,7
chr11:73707420-73718890,2,2,2,6,4,3,2,2,5,3,7,5,4,3,4,0,2,2,3,0,0,4,3,0,2,4,1,4,3,3
chr7:156826605-156836885,5,2,5,8,7,6,2,2,6,8,8,6,9,8,7,3,14,13,1,7,3,5,11,5,9,3,7,9,7,5
chr11:65504097-65504274,0,1,1,1,7,3,1,3,1,3,1,1,0,0,2,5,0,4,4,3,4,3,2,0,2,0,0,3,5,1
chr11:65500864-65501205,8,5,1,7,10,1,4,5,11,5,3,1,4,3,0,3,4,3,2,4,4,3,3,0,6,4,3,5,15,4
chrM:9060-9184,12,10,9,4,58,10,10,4,8,11,11,2,12,21,9,19,9,12,15,25,0,8,26,8,46,11,0,28,11,2
chr11:65500525-65500608,1,4,3,4,1,2,2,8,3,2,1,2,2,1,2,0,2,3,6,3,1,1,3,1,1,4,6,1,3,2
chr5:140440119-140449305,2,5,0,3,4,1,0,0,2,2,2,4,4,2,0,2,2,1,1,0,1,2,3,2,4,2,1,1,0,1
chr11:65500535-65500623,9,1,1,5,3,7,3,4,4,3,3,7,4,0,2,1,7,2,8,7,2,4,1,8,1,10,14,1,13,3
chr22:21805850-21807846,2,0,3,2,2,1,1,2,3,1,0,2,3,0,0,0,4,2,1,3,0,3,2,1,1,1,1,0,2,2
chr2:199348701-199433514,4,1,7,1,25,13,1,5,9,4,7,27,4,0,4,0,9,6,8,2,1,1,2,7,6,4,9,2,5,1
chr14:49586675-49586878,16,12,9,7,24,6,20,16,13,7,24,4,11,8,11,17,9,17,27,27,5,23,22,9,9,44,1,27,25,12
chr15:64974602-64983593,8,0,2,2,4,3,2,1,4,0,1,1,2,3,1,1,3,4,0,1,2,0,2,4,2,3,0,8,2,2
chr18:32111754-32113860,7,2,6,6,8,3,5,4,10,4,15,4,7,10,6,2,8,10,3,9,1,4,7,5,8,10,6,10,5,4
chr8:102360071-102361626,1,3,6,5,3,6,0,3,6,5,2,3,6,8,6,5,7,1,9,1,0,3,2,1,7,6,3,4,4,11
chr9:125337018-125337591,10,2,9,8,14,12,5,11,10,5,9,10,6,5,12,4,13,2,2,8,1,3,10,4,1,5,6,2,6,5
chrM:15651-15709,2,3,1,2,4,0,3,0,2,4,2,2,5,0,0,0,2,0,0,0,2,2,1,2,8,0,0,5,5,1
chr2:178535732-178542361,6,2,1,4,5,1,0,1,2,1,3,2,1,1,3,1,2,0,0,2,1,2,3,2,3,3,2,3,1,3
chr9:86305192-86310017,5,5,2,5,18,3,4,4,8,11,3,4,5,3,6,4,6,3,0,4,2,6,6,2,4,4,11,17,3,7
chr1:22781421-22785076,4,0,0,0,0,1,1,8,3,7,1,1,2,9,1,0,6,0,4,3,0,1,1,1,3,2,4,2,4,7
chr4:177353308-177360677,2,3,7,3,12,8,6,0,3,4,11,4,6,6,2,4,11,4,20,5,3,9,3,4,7,4,5,8,8,6
chr14:34862044-34862322,5,3,2,6,4,1,2,4,5,1,1,6,1,1,4,2,4,1,4,2,0,3,2,1,3,4,5,0,1,5
chr14:105624405-105643131,1,0,143,0,7,8,0,0,799,23,5,8,0,134,0,0,46,0,6,45,0,0,0,0,2,34,0,0,54,33
chr3:170171373-170178938,3,3,0,0,6,0,2,7,4,2,4,2,1,1,0,2,3,3,5,4,1,2,0,0,1,2,1,5,2,6
chr7:102227367-102227669,6,5,2,2,2,4,2,1,2,1,5,8,1,1,2,0,5,4,2,3,0,0,1,4,1,3,4,1,3,2
chrM:4042-4131,4,2,0,4,3,2,2,12,5,1,1,5,3,3,1,1,13,7,5,6,3,10,1,3,8,4,5,2,4,0
chr14:49586734-49586865,13,6,1,7,7,6,1,10,6,7,15,6,2,2,9,3,5,1,9,16,0,6,4,4,5,17,10,1,8,7
chrM:5601-5813,1,0,3,0,0,2,1,2,4,1,1,0,1,2,1,0,6,2,8,3,3,2,1,3,2,3,2,3,6,3
chr4:139137630-139139497,2,3,3,1,9,2,1,3,5,1,4,1,2,2,0,1,2,3,3,1,0,1,2,3,3,3,0,3,5,6
chrM:11237-11290,9,1,0,1,3,2,1,17,4,1,2,4,1,4,1,0,11,10,10,8,0,9,3,4,6,3,5,0,8,1
chr3:119500695-119504021,2,3,6,1,7,4,1,2,6,1,3,0,1,2,3,1,4,1,2,1,1,3,6,1,3,3,1,5,5,3
chr17:46170855-46172232,18,11,3,11,8,19,7,5,6,6,9,2,6,10,5,5,12,9,6,10,10,4,15,6,5,12,3,10,5,7
chr6:158580940-158589782,5,4,1,8,5,2,2,4,8,4,2,5,5,5,2,1,6,4,8,2,2,3,4,1,8,3,2,5,3,3
chrM:15561-15690,2,1,2,1,4,6,1,4,0,0,3,1,1,4,5,4,1,1,8,3,7,5,3,0,5,2,2,6,5,3
chr11:65499661-65499767,3,5,1,8,2,6,2,0,6,7,1,4,1,2,3,0,4,3,2,2,2,2,3,3,4,3,0,3,15,0
chr13:100257595-100273346,3,1,3,3,2,2,2,6,3,2,3,11,1,0,3,1,2,0,2,2,1,1,0,1,9,0,1,2,0,1
chr14:49586733-49586864,12,6,1,7,7,5,1,11,6,6,14,6,2,2,9,3,5,1,9,16,0,5,4,4,4,17,10,1,9,6
chr5:123545417-123557564,29,20,44,58,1,39,14,11,1,28,27,24,31,25,25,20,22,15,34,18,8,23,33,33,23,1,18,31,36,53
chr20:34096657-34098633,2,1,3,4,9,7,0,1,6,4,12,5,2,2,7,1,5,0,4,2,2,1,2,1,4,3,1,6,9,2
chr19:8321500-8322286,2,1,2,0,0,1,2,1,2,7,5,0,1,2,0,1,5,2,3,2,1,3,3,3,2,2,0,0,4,4
chr22:46626751-46637960,5,6,1,2,3,0,0,2,5,0,1,2,6,6,3,5,2,1,5,5,1,0,2,2,4,2,0,1,3,4
chr19:45263113-45263367,7,3,4,4,5,3,2,1,1,2,4,4,2,1,1,1,4,4,1,1,0,4,1,2,3,11,5,5,5,4
chr17:16381925-16382152,2,1,1,4,3,2,1,0,4,2,4,3,4,6,1,1,2,1,2,0,0,1,3,0,2,1,0,2,1,2
chr7:135577796-135593192,6,2,0,4,3,4,4,1,0,2,3,7,2,11,2,5,5,1,3,4,1,0,1,3,4,1,1,1,3,6
chr11:32927157-32935435,10,10,2,24,1,15,2,18,20,13,1,11,8,19,9,6,12,6,8,3,8,9,4,16,6,10,5,1,8,13
chr2:36396614-36442735,4,1,0,10,1,6,5,4,1,4,2,6,9,1,6,1,6,3,1,0,1,5,2,4,3,5,7,3,5,9
chr11:65500548-65500636,4,1,2,2,1,1,2,0,3,3,3,6,0,2,0,1,1,4,1,5,1,1,1,3,0,1,3,2,1,2
chr12:120154970-120155719,12,5,22,24,9,11,7,15,8,12,19,14,10,19,12,20,15,9,11,14,10,8,18,5,12,12,13,17,4,6
chr6:52995621-52995790,1,1,5,1,7,2,1,0,2,3,4,0,6,8,5,4,3,4,4,5,0,2,3,1,1,5,0,4,7,3
chr3:47097955-47106120,5,2,2,1,7,5,0,2,6,4,7,5,4,0,5,4,6,2,2,2,3,3,6,0,4,7,2,5,2,6
chr15:41668828-41669958,17,24,7,30,18,20,5,15,1,19,6,7,23,18,8,1,30,8,21,14,14,2,7,9,10,2,4,1,13,13
chr3:63912588-63913225,10,2,3,4,4,9,4,5,4,2,4,2,2,0,2,4,1,2,1,3,1,3,4,0,2,1,2,7,3,5
chrM:6002-6216,4,0,1,3,2,0,2,2,1,2,5,2,1,0,0,2,0,4,4,0,0,1,1,1,2,1,2,1,3,2
chr6:52995623-52995788,4,4,2,2,4,1,3,1,2,0,4,0,0,3,1,1,4,4,2,5,2,3,2,1,1,4,0,4,1,0
chrM:3936-3974,6,2,1,2,1,2,1,12,3,1,2,1,0,2,1,0,2,5,5,2,0,3,0,0,13,6,4,1,7,4
chr1:116397956-116398756,2,2,1,2,1,1,3,1,0,2,2,1,2,2,3,2,2,1,2,3,0,5,1,3,1,3,0,2,1,1
chrX:140783175-140784659,175,47,4,38,38,25,41,106,93,25,202,48,36,34,57,12,50,48,34,28,28,20,41,80,27,198,22,1,120,44
chr17:20204333-20205912,51,1,4,6,15,12,1,25,1,12,27,16,2,13,17,1,24,7,26,14,12,1,13,32,5,3,7,1,5,1
chr2:110545069-110545631,3,3,1,2,2,1,3,2,2,0,0,0,1,1,2,0,3,1,0,0,0,3,3,0,2,1,2,7,4,2
chr14:49586657-49586849,8,2,4,4,1,1,4,7,4,3,4,3,3,0,3,0,4,7,3,6,1,6,2,21,7,5,6,2,7,5
chr11:65499781-65499937,1,1,6,7,2,1,2,7,2,3,2,5,2,3,1,3,1,5,5,5,1,4,0,3,4,11,1,2,14,3
chrM:4671-4757,7,5,7,5,6,2,2,18,3,4,7,11,4,2,6,1,10,1,9,7,3,7,5,14,35,5,4,1,7,2
chr2:207724800-207742342,1,2,1,0,3,1,1,3,2,2,1,2,4,1,5,0,3,2,2,0,2,1,2,0,1,2,1,3,6,1
