ID,CircRNACount-1032245-N,CircRNACount-1039868-N,CircRNACount-1042353-N,CircRNACount-1042745-N,CircRNACount-1043773-N,CircRNACount-1045386-N,CircRNACount-1045549-N,CircRNACount-1046191-N,CircRNACount-1046287-N,CircRNACount-1046349-N,CircRNACount-1046499-N,CircRNACount-1047291-N,CircRNACount-1047831-N,CircRNACount-1047912-N,CircRNACount-1048720-N,CircRNACount-1049983-N,CircRNACount-1050700-N,CircRNACount-1051316-N,CircRNACount-1054390-N,CircRNACount-1056166-N,CircRNACount-272577-N,CircRNACount-451368-N,CircRNACount-477022-N,CircRNACount-515975-N,CircRNACount-522638-N,CircRNACount-548142-N,CircRNACount-649867-N,CircRNACount-685749-N,CircRNACount-843725-N,CircRNACount-99272-N
chr12:123345258-123350441,1,3,1,1,5,2,2,0,2,2,3,3,2,0,0,2,4,1,1,0,2,1,4,1,1,4,2,1,2,7
chr16:4466153-4469465,5,5,1,3,6,5,5,3,2,4,3,3,6,2,0,2,2,0,5,2,3,3,10,2,2,6,5,1,4,3
chr2:235930765-235968623,2,1,4,1,5,3,2,0,4,1,2,1,2,3,4,1,2,2,4,3,1,3,1,1,0,4,1,3,0,2
chr1:35358925-35361789,7,8,7,1,10,7,8,6,6,7,6,11,4,9,3,8,6,4,7,6,7,6,11,5,5,9,6,10,9,10
chr1:15717893-15721388,5,5,3,7,9,1,8,2,2,6,4,12,4,6,1,7,6,3,7,7,7,1,9,6,5,11,3,5,7,8
chr16:53155926-53157541,5,4,5,0,6,9,1,4,3,5,2,4,7,2,2,5,1,2,2,4,2,6,1,5,2,4,5,3,3,10
chr9:107300141-107311737,7,3,1,3,5,3,1,3,4,2,2,3,3,0,2,3,4,4,5,2,5,3,5,2,1,6,1,5,5,7
chr13:24477701-24478276,2,1,0,2,1,1,3,2,1,2,2,0,1,3,0,2,2,2,3,1,2,1,2,0,0,2,1,1,3,3
chr9:19286769-19305527,1,0,1,1,0,6,4,1,2,3,2,0,3,1,0,1,1,3,2,1,4,3,3,2,3,0,1,0,2,3
chr2:189728660-189744788,2,7,5,3,11,9,6,5,3,2,5,4,4,7,1,5,2,1,11,6,4,3,9,6,5,4,3,5,1,8
chr11:27467017-27467360,5,1,3,2,2,1,3,3,8,2,9,4,4,6,2,5,9,1,2,2,4,3,6,5,3,3,4,1,5,6
chr8:37870420-37877551,5,9,4,3,5,2,9,3,3,5,3,4,4,4,3,5,5,2,7,4,2,2,5,3,5,4,5,1,2,10
chrM:6931-7119,58,50,17,18,29,37,34,26,24,27,53,45,25,26,52,32,24,20,57,28,31,33,33,16,32,34,53,21,52,44
chrM:5599-5800,5,2,4,2,5,3,12,7,7,6,7,3,6,6,18,1,3,3,7,11,4,9,6,7,5,8,8,6,8,11
chr1:116397956-116398756,3,3,3,2,5,3,5,2,2,7,5,6,2,1,2,3,1,2,2,1,1,2,3,0,5,12,2,2,4,1
chr1:204112915-204114605,2,0,0,0,2,5,3,2,3,1,0,3,2,1,2,2,1,0,0,5,2,2,3,2,1,3,0,4,0,2
chr16:47497399-47547548,3,2,0,4,1,0,5,2,5,4,5,6,3,6,3,5,2,0,6,3,1,3,5,2,0,4,8,1,2,2
chr3:49967470-49975392,2,2,3,6,3,4,4,2,2,1,4,2,5,5,3,3,3,3,7,4,4,2,1,2,1,4,0,2,3,2
chr12:124913419-124913646,3,3,3,1,4,2,2,1,3,4,6,0,1,1,0,1,1,2,5,4,0,3,5,3,2,2,3,1,2,2
chr14:105741507-105769270,18,0,52,1,5,72,0,0,0,10,40,0,1,25,0,60,2,1,22,27,0,0,0,0,18,62,2,0,1,2
chr14:49586793-49862669,0,3,4,4,2,8,5,0,5,3,3,1,2,2,7,1,2,3,6,4,6,5,2,2,1,4,5,4,6,3
chr7:35667434-35673278,3,5,6,3,5,13,11,13,8,4,11,11,9,5,4,4,4,8,4,6,3,3,9,1,4,11,6,7,8,10
chr9:125657651-125672643,4,1,4,0,3,0,1,4,3,3,4,4,0,3,1,2,1,4,4,0,4,0,4,1,3,2,2,3,2,3
chr18:12999421-13019206,10,11,12,11,17,21,21,13,15,13,11,14,1,12,9,10,10,5,20,8,2,7,15,1,11,1,17,9,15,27
chr15:63696124-63716473,6,10,6,4,6,4,2,5,4,3,4,9,4,5,1,0,5,1,4,3,3,2,8,3,3,3,2,4,6,5
chr2:207724800-207742342,1,4,2,2,5,0,5,3,2,3,1,1,3,4,3,2,4,5,2,3,2,2,6,5,4,6,2,3,0,1
chr4:76134175-76144473,8,7,5,1,8,7,7,6,5,2,6,9,7,4,1,4,8,5,12,5,6,4,5,7,4,8,6,5,7,7
chr3:50065031-50066502,3,3,1,2,8,4,8,2,4,1,1,6,4,4,1,6,6,5,3,5,5,2,11,3,7,7,7,3,4,9
chr6:145864388-145894977,1,2,2,3,6,8,1,1,2,4,2,4,7,1,1,4,2,2,6,3,1,4,2,2,3,3,5,3,5,4
chr7:102757854-102761411,6,2,1,1,3,5,2,0,2,0,3,3,0,2,1,1,0,0,0,2,2,3,4,1,5,4,4,4,4,4
chrX:101041317-101042312,3,6,5,2,8,7,5,7,3,2,5,4,4,1,0,8,3,3,3,2,0,2,1,3,1,2,3,1,3,3
chr3:3137260-3144710,3,5,0,1,0,1,4,0,1,4,2,6,3,3,1,2,3,0,3,2,2,2,3,4,1,3,4,2,3,5
chr1:99993537-99999415,3,2,2,0,2,0,3,2,0,1,0,1,1,5,0,4,2,0,1,0,1,1,3,4,1,3,2,0,2,5
chr2:172558708-172565073,3,1,3,3,1,2,1,2,0,2,1,6,6,2,0,2,1,2,2,1,0,0,5,0,0,1,2,0,0,5
chr8:140818277-140890769,8,4,1,2,4,9,7,3,5,3,4,10,6,2,4,6,1,1,9,4,3,3,1,4,5,6,5,2,3,1
chrM:9052-9198,3,2,1,0,5,2,0,0,1,2,4,3,2,0,17,2,0,3,3,2,0,5,5,2,1,4,6,2,3,1
chr8:18867674-18872733,4,1,4,3,5,3,17,4,1,1,2,3,3,4,1,3,1,2,5,3,3,2,2,2,2,2,4,2,3,3
chr18:9524594-9525851,13,7,5,2,1,1,4,9,2,6,3,13,16,1,1,11,5,10,1,4,1,6,2,10,5,1,3,1,1,3
chr11:65499634-65499734,16,14,9,18,4,12,20,8,13,12,7,6,14,6,15,10,9,5,2,7,2,9,15,0,11,3,4,3,17,1
chr6:72295937-72333835,0,3,0,1,5,3,1,3,0,0,2,0,1,2,0,0,4,3,0,1,4,3,2,2,1,3,1,2,2,1
chr11:65499609-65499755,15,6,11,25,6,1,20,6,4,14,13,9,12,6,2,14,5,2,8,5,4,4,10,5,9,3,7,8,13,13
chr15:80098416-80122800,5,7,1,1,9,13,1,4,3,5,3,4,7,2,3,10,3,2,2,4,4,1,3,4,12,1,3,3,3,12
chr7:100991705-101004436,8,15,1,1,17,0,10,8,8,16,15,0,0,7,1,1,38,0,17,12,0,0,8,4,15,76,17,0,24,2
chr11:36393846-36403378,2,1,6,2,6,3,4,7,2,6,1,2,2,4,1,4,2,1,9,2,2,1,5,8,1,9,6,5,3,5
chr1:230954333-230961303,6,9,8,3,7,4,9,7,15,10,10,12,5,14,5,4,6,8,11,9,5,7,16,8,5,11,8,7,7,10
chr2:144208603-144211579,2,1,2,0,4,2,3,3,2,4,4,6,1,2,6,4,0,1,1,0,2,6,3,3,2,2,2,3,5,3
chrM:7081-7275,1,0,2,3,1,1,6,3,3,4,1,3,1,1,15,6,3,3,3,3,2,2,0,3,2,6,2,3,3,3
chr6:145888020-145894977,2,0,1,0,2,4,2,1,3,2,4,3,1,1,3,5,3,1,1,1,4,0,1,4,1,2,2,2,1,2
chr7:100991819-100991986,39,28,5,4,34,10,7,15,14,17,28,16,3,7,17,3,24,31,43,27,16,11,7,6,29,68,31,3,24,5
chrM:3598-3789,6,18,11,2,13,4,16,21,15,6,10,6,10,10,41,10,15,11,21,1,3,7,14,8,8,30,13,15,11,15
chr4:186706563-186709845,19,14,8,10,14,14,14,7,16,7,12,6,7,6,11,15,12,5,11,10,15,2,11,9,4,24,11,14,3,12
chrX:21978875-21992712,5,3,3,4,7,7,12,2,4,3,2,5,6,6,2,2,4,1,6,3,1,2,3,3,2,2,10,5,1,7
chr1:59339958-59378837,8,11,10,5,19,14,17,10,8,12,20,7,14,11,3,12,7,1,11,11,3,11,16,3,7,13,10,11,9,25
chr1:95143891-95173889,7,6,9,10,9,9,16,1,5,9,3,8,10,5,4,13,6,3,4,14,7,2,15,2,7,11,5,10,7,13
chr4:1394590-1394865,5,3,0,5,3,0,5,4,4,0,5,5,0,1,7,2,1,2,0,9,3,1,0,0,5,10,4,0,1,5
chr11:65501909-65502163,3,2,0,0,1,2,2,1,1,0,4,5,1,2,1,0,1,1,5,0,0,2,0,3,0,8,2,3,2,2
chr11:65499660-65499712,7,3,1,8,4,4,4,0,6,7,2,3,3,4,2,6,6,3,0,1,2,1,4,2,7,0,4,4,7,7
chr11:61366045-61367998,11,11,4,4,11,8,16,5,11,12,7,15,11,6,6,13,8,6,14,7,9,8,15,4,11,1,12,9,10,21
chr20:47262288-47276795,1,3,1,3,1,2,5,1,2,3,2,0,2,2,1,2,4,1,1,1,0,1,3,1,2,2,3,7,1,1
chr21:41226266-41257326,2,2,0,1,1,0,5,1,3,3,1,2,1,1,3,5,2,1,3,5,5,2,2,2,2,5,1,1,3,8
chrX:73845425-73845724,3,0,3,0,3,1,1,2,0,3,4,0,0,3,0,3,6,1,0,0,0,0,4,0,0,5,3,4,3,2
chr6:82957312-83044659,1,2,1,2,3,2,3,0,0,1,0,4,2,1,4,0,0,2,4,2,0,1,3,1,0,2,2,1,0,3
chrM:7698-7970,2,2,4,0,4,5,6,3,1,3,2,3,5,3,15,4,7,2,9,4,3,1,6,4,5,4,2,9,9,2
chr3:119503532-119513719,1,1,0,0,0,2,2,1,1,2,2,2,1,1,3,1,2,4,2,5,2,3,2,1,1,0,0,1,3,2
chrM:7869-8019,4,0,0,1,2,0,6,2,1,1,0,4,2,4,9,4,2,4,2,2,0,1,2,2,1,0,1,2,0,1
chr1:35413972-35415714,1,1,2,1,2,6,2,2,4,4,3,0,0,1,3,3,3,2,1,1,2,3,1,3,2,1,1,2,1,4
chr1:206935486-206937188,0,4,2,0,3,1,3,2,1,2,2,2,0,1,0,2,2,1,2,1,3,0,1,2,3,1,4,3,2,1
chr13:100301460-100340259,2,2,2,0,2,2,3,2,0,0,0,3,2,0,0,7,5,0,2,6,0,0,2,1,1,2,1,0,3,2
chrM:10538-10604,6,9,7,1,9,6,3,6,4,1,10,10,6,6,9,11,15,12,4,5,0,0,5,3,9,5,8,6,12,6
chr7:77585543-77600806,2,7,0,0,0,3,3,1,2,2,4,3,3,0,3,1,1,1,3,1,0,0,6,1,3,1,0,2,1,4
chr10:72715111-72715902,3,0,3,2,2,5,5,1,2,0,2,6,3,1,2,3,2,1,5,2,0,2,2,5,0,1,1,0,3,3
chr15:58912563-58916999,3,5,5,4,5,6,4,2,3,4,5,2,6,4,0,7,7,4,4,3,5,3,4,11,3,5,4,8,3,3
chr19:49196440-49196874,1,2,1,3,1,2,5,5,5,1,2,3,2,2,0,0,0,0,1,0,2,1,1,0,3,3,1,2,0,2
chr1:155676548-155679512,33,11,23,3,23,21,24,11,15,15,28,26,17,22,16,22,28,23,20,18,15,27,7,27,9,18,21,16,19,38
chr6:35312302-35312772,2,3,2,0,0,3,7,1,0,1,1,0,1,0,1,2,0,2,3,3,3,3,4,2,0,1,2,4,0,0
chr7:80789306-80810701,2,3,0,2,8,5,4,1,2,3,3,5,3,3,3,1,4,2,4,6,0,1,3,2,3,3,1,3,5,5
chr11:65500547-65500613,9,6,5,10,6,5,14,7,6,3,7,19,8,5,3,1,6,10,14,17,3,3,4,5,8,3,13,11,6,14
chr17:30484214-30492753,5,2,3,1,4,4,2,2,7,1,2,2,4,2,0,3,2,1,4,2,1,1,3,2,0,4,1,1,1,2
chr7:158759486-158764853,23,32,20,15,47,61,52,37,38,20,32,33,28,31,30,42,29,24,22,42,25,22,44,18,15,39,17,29,29,49
chr5:168488602-168497348,4,3,4,6,9,7,7,2,4,5,6,8,1,2,0,5,2,6,7,5,2,1,6,2,3,10,3,2,5,12
chr2:8888018-8958642,1,1,0,1,1,2,2,0,1,2,4,0,3,2,1,2,2,1,7,0,1,1,3,2,1,4,3,3,4,5
chr6:167022409-167033971,2,4,1,1,7,4,0,0,4,0,2,1,3,2,1,0,1,1,1,2,2,2,6,4,1,1,1,2,0,2
chr5:145817894-145826200,19,17,19,9,9,19,22,14,22,12,13,18,9,6,9,25,9,12,11,17,10,7,12,17,17,10,14,16,20,20
chr14:49586734-49586865,7,5,9,5,5,3,1,4,3,3,11,6,4,5,4,4,4,3,13,13,2,4,4,1,5,8,7,4,5,7
chr16:85633914-85634132,8,5,5,3,12,7,24,5,15,1,9,13,8,12,20,5,16,6,11,9,4,12,11,1,6,15,8,17,1,8
chr3:56669700-56673725,2,1,0,0,1,1,2,0,0,2,4,3,4,2,2,2,2,3,0,2,1,4,1,1,0,7,1,1,3,1
chr21:39228500-39229436,3,4,4,0,8,7,2,3,2,6,3,4,2,1,0,3,4,6,8,2,1,3,4,0,1,6,2,4,3,9
chr2:115309239-115343912,2,2,2,0,1,1,4,0,4,1,2,4,2,1,2,2,4,0,6,3,0,4,0,6,3,5,3,1,5,3
chr5:65567513-65572286,11,8,3,1,6,20,2,7,8,1,7,1,1,8,0,14,4,7,9,2,2,0,1,1,0,1,0,5,5,0
chr19:13025021-13025552,1,0,2,1,3,2,1,2,0,3,2,2,4,2,1,2,1,1,2,2,0,1,3,2,0,0,2,1,0,3
chr16:4332215-4333519,7,1,2,7,3,3,3,6,6,4,4,4,6,5,9,2,1,1,4,4,4,7,3,1,2,6,1,7,7,5
chr18:49929512-49937397,12,5,2,3,7,2,8,8,9,5,7,6,6,3,4,4,7,7,9,8,4,3,5,2,7,7,5,4,6,6
chr1:24514314-24514567,5,3,2,0,3,3,18,6,4,1,11,6,5,6,3,6,5,8,7,3,3,9,6,4,4,5,3,7,7,4
chr2:109585126-109593119,6,2,2,2,4,8,3,2,0,4,7,2,3,2,3,1,7,3,5,4,7,1,1,4,2,8,4,1,2,4
chr8:102360071-102361626,4,5,4,2,6,12,10,8,8,3,5,7,4,10,5,14,2,8,4,7,4,2,8,5,10,12,4,11,6,10
chr1:7777160-7778169,1,3,4,1,3,3,8,2,5,2,12,3,2,7,7,3,4,4,3,5,0,5,5,3,2,6,4,6,1,1
chr16:69370483-69372355,2,5,7,6,7,3,10,3,3,2,7,6,2,4,4,3,7,6,5,4,4,4,7,3,4,7,4,4,4,8
chr6:170543601-170549113,1,3,2,2,3,5,1,4,3,3,4,5,2,3,1,4,2,0,3,3,1,1,1,2,0,3,1,1,1,5
chrM:6483-6679,2,3,4,1,3,1,3,3,3,3,0,3,1,4,8,1,1,1,3,0,1,2,7,2,1,1,7,3,5,5
chr9:125337018-125337591,6,9,1,3,14,22,16,6,4,4,9,1,9,5,5,15,9,8,8,13,16,6,11,5,4,15,5,14,10,19
chrM:9057-9192,1,1,0,0,0,2,0,0,0,0,2,6,0,2,14,3,0,0,7,4,0,7,4,0,0,9,9,2,3,2
chr3:47425485-47428670,4,3,1,5,5,6,7,2,2,3,1,3,4,1,1,3,1,0,4,2,3,2,4,2,2,3,6,6,3,4
chr11:65501566-65501772,0,3,2,1,2,1,3,5,2,1,1,1,2,2,2,3,0,3,1,4,1,0,3,3,2,5,3,2,0,2
chr17:4066447-4072756,2,3,3,2,7,1,8,3,4,3,4,2,3,3,1,5,3,3,1,3,1,6,7,5,3,5,2,2,4,10
chr11:65499694-65499767,4,8,2,4,2,2,3,3,2,2,5,3,4,3,6,5,2,4,9,5,2,5,8,1,2,4,5,6,4,9
chr11:72984088-72989097,1,3,7,2,7,6,7,4,2,5,5,7,3,2,2,4,6,3,8,8,7,5,4,3,2,9,6,6,4,3
chr18:24064140-24069271,5,6,5,0,3,3,8,2,4,2,6,6,5,7,1,4,6,5,1,2,1,6,4,3,4,1,0,1,4,4
chr7:100992703-101000697,2,4,0,0,2,0,0,2,1,3,0,1,2,2,3,0,2,2,4,0,1,2,1,0,2,3,1,0,5,1
chr4:147857553-147881932,3,2,2,3,5,13,1,2,4,2,4,2,3,10,1,5,2,8,3,6,5,2,1,5,5,1,1,5,6,3
chr9:16727797-16738485,1,2,4,1,7,5,4,7,3,2,4,2,3,6,7,6,2,2,8,7,7,5,3,3,2,2,1,1,1,4
chr7:92294889-92327900,13,8,7,7,15,11,1,10,6,6,17,18,1,9,5,11,12,8,7,8,12,4,11,3,9,1,12,10,12,22
chr19:1274441-1274627,4,4,0,8,12,5,25,3,3,2,3,9,7,25,14,10,2,11,10,7,8,5,17,5,2,16,3,8,5,8
chr7:135577796-135593192,3,1,5,3,2,2,3,2,2,2,2,2,1,1,1,2,3,2,3,0,1,0,2,3,2,2,1,0,4,0
chr1:219193082-219241308,3,3,2,5,3,3,4,2,4,4,2,0,3,5,6,1,2,3,0,5,2,1,1,0,2,3,1,0,4,4
chr3:155829688-155834041,0,3,3,2,3,4,5,4,3,0,3,1,4,4,4,4,0,0,7,3,2,1,6,3,1,10,1,3,2,5
chr11:65500053-65500122,4,7,2,0,3,3,2,0,3,2,0,7,1,6,6,3,3,3,2,0,1,1,5,0,2,3,1,2,2,7
chrM:8666-8818,4,2,1,0,2,1,16,9,2,6,3,1,4,3,21,10,9,0,8,8,4,6,2,9,3,6,2,1,5,3
chrX:53645311-53654131,3,1,2,0,4,2,2,1,1,0,0,0,0,5,2,3,2,0,1,0,2,2,2,1,3,2,2,2,1,3
chr8:22474954-22475624,1,2,4,1,1,4,3,0,2,0,3,3,1,1,0,3,3,4,1,4,5,5,4,0,2,2,4,4,2,4
chr20:48953556-48963898,3,2,5,0,2,3,0,2,1,1,4,8,5,4,1,2,3,6,2,3,2,7,1,2,4,5,1,1,5,3
chr15:40744047-40745259,1,2,1,0,3,1,3,2,1,1,0,0,1,1,0,1,3,3,0,2,3,2,2,4,1,2,1,3,2,2
chr16:31722626-31723353,5,5,4,2,6,7,5,0,4,0,6,8,3,6,6,4,4,1,7,8,5,5,1,2,5,3,2,4,8,14
chr13:102622877-102627924,4,2,2,1,3,5,2,1,1,6,0,5,1,4,1,4,4,1,8,3,3,0,1,3,1,7,1,3,4,6
chr13:60439688-60460540,6,3,4,1,2,4,4,5,4,1,2,4,3,1,4,2,7,1,2,2,4,4,2,4,5,2,2,4,1,6
chr5:73074742-73077493,25,26,18,14,46,27,47,24,20,1,36,41,36,30,16,24,32,29,30,29,12,1,32,25,16,32,33,30,25,47
chr4:78826037-78851056,1,3,0,3,3,7,4,5,2,5,4,4,3,6,1,5,6,1,3,5,0,3,5,4,7,5,1,2,5,5
chr15:32857015-32902040,1,0,1,1,1,3,3,0,0,2,2,1,2,1,2,1,0,0,5,1,3,1,2,0,2,2,3,3,2,2
chrX:44524002-44527365,3,6,1,3,7,8,2,2,2,2,8,5,5,4,0,7,4,4,7,3,4,3,8,2,6,5,5,5,8,7
chr20:35653528-35659014,7,4,1,1,4,6,3,4,6,1,4,5,10,5,2,5,5,4,1,0,4,3,2,3,8,5,2,2,3,5
chr18:32111754-32124845,2,2,2,2,2,1,2,1,3,0,1,3,3,0,0,2,1,0,2,1,1,1,2,3,4,1,3,1,3,2
chr11:65499691-65499837,6,5,3,7,1,1,1,1,3,10,3,6,2,2,5,6,7,4,2,6,3,3,3,0,5,8,5,4,7,8
chr7:30550636-30562128,1,7,6,1,5,11,10,3,8,0,5,2,5,2,4,6,5,1,2,4,0,3,5,3,3,7,0,4,14,5
chr10:72340789-72341170,2,0,5,0,2,4,3,1,0,1,4,3,1,1,1,4,1,2,1,0,3,1,2,1,0,2,2,0,2,3
chr8:100220279-100233537,3,5,1,0,3,3,1,2,1,1,1,3,0,7,0,2,4,2,1,3,5,1,1,3,4,4,3,1,1,3
chr10:34269657-34284245,3,6,0,2,5,5,5,2,2,4,4,6,2,3,2,5,1,2,8,2,2,2,0,0,3,5,4,5,2,3
chrM:5601-5813,4,1,3,2,1,3,12,5,13,7,9,4,8,9,30,2,12,2,3,8,4,8,7,11,5,17,9,12,8,8
chrM:9058-9184,2,5,2,0,4,2,0,2,4,0,7,4,3,1,2,1,2,1,8,1,1,4,6,1,5,8,1,8,10,2
chr14:49586789-49862620,2,1,4,1,1,3,2,1,4,1,3,6,1,1,2,2,2,2,4,2,1,0,4,2,3,3,1,1,2,4
chr1:145839890-145842477,1,0,5,3,4,3,7,1,4,3,1,3,5,2,0,6,3,2,5,3,1,1,6,3,3,3,4,5,3,4
chr12:50430495-50441643,2,3,0,1,3,6,3,0,0,0,2,3,3,0,1,0,2,2,2,4,0,0,1,1,0,1,1,2,2,5
chr17:77402059-77402703,3,0,2,1,4,3,4,0,1,6,0,4,2,3,2,1,4,1,4,4,4,0,2,0,1,4,2,3,4,4
chr1:160323431-160332557,4,6,4,2,3,2,7,5,2,3,5,6,1,5,0,5,5,3,5,1,4,8,6,2,1,6,4,3,3,3
chr3:47037666-47046621,2,0,3,2,0,4,3,6,3,1,1,2,2,3,1,1,9,0,2,5,4,1,4,4,2,2,1,4,3,1
chr5:145796442-145826200,22,23,18,17,17,17,32,10,14,18,10,12,26,7,6,22,2,12,12,11,6,4,18,12,12,26,18,21,8,16
chr14:49586741-49862825,5,6,4,6,1,4,20,4,3,5,6,11,5,0,8,4,7,10,7,9,8,3,8,1,1,15,2,8,2,6
chr12:116236821-116237705,5,1,2,0,3,3,6,1,9,1,3,3,3,1,1,2,1,0,2,1,0,2,4,1,3,6,1,0,3,2
chr15:44711513-44715563,5,3,3,3,1,0,2,1,1,2,2,3,4,1,1,0,1,0,1,2,2,1,1,0,2,3,3,2,1,0
chr11:65501760-65501949,6,4,2,5,2,3,10,2,5,1,7,5,6,4,3,2,3,2,6,3,2,0,6,1,0,9,4,3,6,4
chr2:70179532-70181997,2,2,1,1,2,5,6,1,1,2,3,2,1,3,0,2,1,2,2,5,4,2,6,1,1,0,1,3,3,2
chr2:45546732-45562756,2,5,3,4,5,15,8,3,5,2,2,3,6,5,3,4,9,3,5,7,5,6,4,5,5,4,5,4,4,8
chr11:86011030-86031611,4,6,2,1,5,8,7,2,10,5,3,12,7,5,3,7,4,4,4,10,10,8,5,3,5,12,4,4,5,11
chr3:171188702-171194635,1,3,3,0,5,1,13,1,2,3,9,5,1,3,0,3,3,0,6,3,2,1,3,4,0,5,4,4,3,2
chr12:19462510-19473355,2,4,2,1,2,1,3,6,3,3,5,7,0,9,3,9,4,4,3,5,1,7,5,1,3,8,1,8,4,5
chr3:179592644-179601790,3,3,1,0,0,2,3,4,3,1,3,3,0,1,2,1,2,2,1,0,1,2,0,4,4,5,5,2,2,5
chr17:1842803-1853189,4,0,0,0,1,2,6,6,2,3,3,3,2,2,2,1,5,3,6,2,1,0,6,5,1,2,5,0,0,2
chr7:83134250-83135656,0,2,2,3,2,3,7,1,1,2,3,7,0,0,1,1,1,0,4,4,1,0,2,0,2,2,0,3,3,1
chr9:6880012-6893232,9,10,4,6,10,10,19,6,9,7,12,11,13,12,4,7,9,9,4,8,5,7,14,10,5,9,8,10,13,17
chr14:73147795-73148106,4,1,2,1,0,3,3,0,1,0,3,3,2,2,0,1,4,5,1,1,1,2,5,0,3,1,2,2,1,2
chr2:99169550-99171429,3,4,2,0,8,3,3,1,2,2,7,6,1,6,2,4,9,1,3,4,2,4,4,2,2,7,2,0,7,10
chr1:247155566-247159813,24,34,27,22,17,13,48,28,22,22,7,22,9,20,17,32,25,21,29,22,14,17,34,18,19,28,19,16,22,18
chr9:137811461-137818138,0,2,3,5,2,2,4,6,1,4,3,8,5,2,1,5,0,2,1,2,0,0,5,3,5,2,3,1,0,3
chrM:7929-7975,1,3,0,1,4,1,5,2,1,1,3,0,1,2,3,3,5,2,0,3,0,1,1,4,2,1,1,0,2,4
chr7:24623663-24668660,4,4,0,0,1,4,1,2,3,2,0,1,1,2,1,4,3,4,4,3,4,1,4,0,1,6,4,2,1,2
chrM:9059-9172,5,2,1,0,2,3,0,1,1,0,3,0,3,1,5,2,0,0,8,0,0,3,0,1,1,5,7,2,5,3
chr15:94356137-94402019,13,1,1,6,12,1,1,3,7,6,1,9,6,7,1,1,7,7,8,13,1,3,6,6,6,1,13,7,7,11
chr3:155893518-155911279,2,1,2,3,3,2,3,1,1,3,2,0,1,2,3,2,1,2,1,3,0,2,1,2,2,3,1,3,1,1
chr2:207976651-207977586,5,7,4,1,5,5,12,8,3,5,12,11,5,4,9,13,2,0,9,7,3,4,9,5,5,5,5,7,12,11
chr18:58918271-58920633,4,0,1,5,4,4,5,3,3,1,2,4,3,3,5,2,2,2,0,3,1,2,2,2,1,1,3,2,1,4
chr3:51541498-51552063,4,12,13,12,14,1,1,10,6,3,11,17,13,5,2,10,11,13,12,15,11,7,14,8,14,2,4,15,16,13
chr21:36338775-36344707,11,20,11,8,14,31,26,20,18,11,18,28,13,17,13,15,21,13,11,13,10,21,19,16,9,22,8,12,14,21
chr11:118583809-118584644,7,3,3,0,2,5,5,4,3,4,4,9,2,2,0,0,1,4,2,3,3,5,2,3,2,7,1,1,2,2
chr21:36338779-36344707,10,6,1,4,11,12,16,9,13,6,7,8,5,12,8,16,16,10,10,10,12,7,7,10,6,10,6,5,15,12
chr6:87215903-87218731,15,12,7,9,16,31,1,10,7,16,15,10,16,16,11,14,5,7,1,14,14,9,21,2,1,8,18,13,16,1
chr7:155672867-155680908,24,22,15,20,24,1,1,16,17,14,25,21,1,21,7,28,18,16,18,13,1,8,32,11,18,17,19,21,23,32
chr11:120473050-120477526,3,0,1,2,7,2,3,1,2,5,3,0,1,5,0,3,2,2,2,1,1,1,2,1,1,4,2,2,1,3
chr4:139116649-139139497,4,3,3,1,5,4,4,1,2,6,2,3,2,4,6,6,2,0,4,6,5,2,9,3,2,4,0,3,3,5
chr20:35564373-35564521,1,1,0,5,2,2,6,1,2,2,0,3,0,1,2,2,2,1,1,1,0,0,2,0,0,7,1,2,4,2
chr16:69695136-69695379,1,1,0,3,5,4,5,1,2,2,1,4,1,3,2,2,4,3,0,2,1,3,4,3,1,3,2,1,3,3
chr20:21365421-21368590,1,0,1,2,2,0,4,3,3,0,4,1,2,2,0,0,2,4,2,1,2,3,2,1,2,3,2,1,2,4
chr6:107904629-107924932,2,2,2,0,2,4,2,1,1,1,1,3,1,0,0,2,1,0,2,2,1,0,3,2,1,1,1,2,3,3
chr14:49586765-49862640,9,11,2,20,3,14,4,0,3,13,6,3,4,6,12,3,2,1,7,3,18,1,8,9,1,7,5,4,8,13
chrM:15952-16082,4,4,0,4,3,1,3,3,9,2,6,5,0,2,3,1,3,1,6,2,0,1,3,1,3,4,0,4,7,7
chrX:140783175-140784659,112,75,61,71,159,190,216,70,78,102,114,135,158,88,233,153,155,49,123,141,1,54,131,51,139,275,71,121,128,179
chr14:49586801-49862778,2,0,2,5,5,2,3,0,3,2,2,2,0,1,0,3,0,4,5,8,6,1,2,1,1,5,2,7,0,3
chrX:135545423-135556300,4,4,5,1,5,7,6,0,4,7,3,3,5,2,1,4,3,4,2,4,4,1,2,2,3,5,5,5,2,9
chrM:14136-14215,4,3,1,1,0,1,4,2,4,2,6,3,3,1,6,3,1,1,2,4,2,3,2,0,1,4,1,2,6,3
chr2:232787151-232796222,4,1,2,1,3,5,4,2,2,4,3,4,4,4,1,5,2,0,5,7,4,1,0,1,1,2,4,5,4,2
chr4:184659340-184678394,1,2,0,0,3,3,5,2,4,2,1,2,3,5,0,0,1,0,4,2,1,1,5,1,1,4,2,2,2,2
chr7:22976210-22991139,2,1,2,2,3,3,6,2,4,0,1,1,1,1,2,5,2,1,3,2,3,2,2,2,0,4,1,3,1,2
