ID,1032245-N_bwa.ciri2,1039868-N_bwa.ciri2,1042353-N_bwa.ciri2,1042745-N_bwa.ciri2,1043773-N_bwa.ciri2,1045386-N_bwa.ciri2,1045549-N_bwa.ciri2,1046191-N_bwa.ciri2,1046287-N_bwa.ciri2,1046349-N_bwa.ciri2,1046499-N_bwa.ciri2,1047291-N_bwa.ciri2,1047831-N_bwa.ciri2,1047912-N_bwa.ciri2,1048720-N_bwa.ciri2,1049983-N_bwa.ciri2,1050700-N_bwa.ciri2,1051316-N_bwa.ciri2,1054390-N_bwa.ciri2,1056166-N_bwa.ciri2,272577-N_bwa.ciri2,451368-N_bwa.ciri2,477022-N_bwa.ciri2,515975-N_bwa.ciri2,522638-N_bwa.ciri2,548142-N_bwa.ciri2,649867-N_bwa.ciri2,685749-N_bwa.ciri2,843725-N_bwa.ciri2,99272-N_bwa.ciri2
chr6:149369909-149379518,2,0,2,0,2,3,2,0,0,3,0,3,3,2,0,2,5,2,5,3,0,3,4,0,0,2,2,3,0,0
chr1:151427823-151442205,5,3,3,3,2,6,6,0,5,3,0,2,5,2,0,3,3,2,7,2,0,2,4,3,2,0,4,7,2,5
chr7:30550636-30574881,2,4,3,3,4,2,7,0,3,0,4,6,5,6,8,11,3,6,4,7,8,7,10,6,2,12,4,0,3,10
chr2:168161787-168182090,2,3,3,0,8,3,14,5,3,0,5,5,4,6,5,7,5,0,3,3,2,0,6,0,2,7,4,6,5,6
chr8:98706467-98707311,9,4,7,7,8,15,7,9,10,3,6,20,15,8,7,8,10,2,12,10,0,7,11,11,3,7,9,7,8,8
chr4:153292982-153296036,3,0,0,6,4,0,4,2,0,0,2,2,0,0,2,0,3,2,4,5,0,2,5,0,0,5,3,2,4,0
chr7:8055436-8071131,0,2,2,0,6,4,2,2,2,0,4,0,0,0,0,3,4,5,3,0,2,0,5,2,0,4,0,0,3,5
chr11:85974708-85983973,2,4,0,3,4,2,7,5,0,7,2,0,2,0,0,3,0,0,5,5,3,4,4,4,4,2,2,4,4,0
chr3:134175609-134195182,0,2,0,0,2,6,7,2,0,2,4,4,4,3,2,0,3,4,4,0,0,0,4,2,6,6,2,2,3,2
chr20:33619517-33623296,23,23,17,14,16,14,23,12,8,11,23,27,14,19,14,14,13,10,17,14,4,17,16,0,17,22,20,16,17,36
chr5:77046347-77048272,0,5,5,2,4,6,10,6,2,8,2,3,4,7,0,3,2,0,5,6,3,4,6,0,3,5,2,5,7,9
chr4:150798081-150817257,5,12,6,2,9,14,7,6,7,14,11,5,9,7,2,11,12,5,2,11,4,9,8,4,5,9,15,6,6,15
chrX:24172715-24179770,0,5,3,2,5,4,2,7,0,4,0,3,5,0,4,3,2,0,3,2,2,0,8,2,5,5,6,2,2,2
chr7:32632543-32679130,0,5,0,0,4,0,2,2,0,3,0,2,2,0,3,3,0,0,5,2,3,0,2,0,0,2,3,2,5,4
chr2:23823258-23823569,5,7,4,2,7,7,7,6,4,4,12,7,9,7,0,6,4,3,12,10,2,8,9,7,2,14,2,4,0,10
chr15:43400044-43401850,2,4,0,3,6,4,6,5,0,2,0,2,0,2,0,4,0,4,3,2,0,0,5,2,0,3,2,3,0,8
chr7:22976210-22991139,0,0,0,2,3,5,7,2,0,0,2,0,3,0,0,7,2,2,4,2,0,2,4,3,0,0,0,3,2,0
chr5:69174877-69175537,0,7,6,8,6,6,10,5,4,3,8,2,3,2,0,10,6,3,16,5,5,3,9,4,4,12,8,11,7,16
chrX:101041317-101042312,4,6,5,2,9,9,10,11,5,3,6,4,6,2,0,9,5,4,6,3,0,2,4,3,4,3,7,0,5,7
chr5:84060300-84066606,6,15,12,3,13,11,12,13,14,8,14,12,15,6,18,12,7,8,9,19,9,13,8,6,3,16,4,7,11,24
chr16:74459682-74463479,3,0,0,3,3,3,0,5,4,2,0,3,4,0,5,2,2,3,6,3,0,3,6,2,3,10,0,0,4,0
chr3:12416704-12417154,0,0,0,3,3,3,2,0,3,3,3,3,3,0,0,3,2,0,2,2,0,0,0,3,2,3,0,3,0,2
chr5:32135572-32143880,19,19,8,8,7,22,8,12,15,9,18,23,13,15,6,12,13,6,11,12,8,15,15,7,8,7,9,13,13,20
chr9:19356972-19358160,0,6,0,0,2,2,0,0,3,0,5,2,5,5,0,3,3,4,10,2,2,0,4,4,3,7,4,3,3,6
chr17:47402132-47414919,3,3,0,3,6,16,6,5,7,4,7,6,6,4,8,4,4,6,4,4,4,5,5,0,3,8,7,6,10,4
chr1:20749723-20773610,5,8,2,6,7,5,10,6,3,3,4,0,6,0,5,5,4,2,4,5,2,4,7,4,6,3,5,3,6,9
chr15:69210316-69261329,0,0,0,0,0,2,3,2,0,0,2,0,3,0,0,3,2,4,4,0,2,0,6,2,3,2,2,0,0,3
chr2:64572946-64585545,5,2,2,2,5,5,3,4,0,0,4,2,2,5,4,0,2,6,3,5,0,5,4,0,0,8,7,3,3,4
chr10:126970702-126990603,0,2,0,2,2,3,5,0,5,3,0,0,0,3,2,4,3,0,4,0,0,3,5,4,6,6,3,4,3,0
chr2:32607455-32611582,3,2,0,2,0,4,5,2,3,0,2,3,2,2,0,0,3,2,2,0,0,2,0,0,2,7,3,2,4,3
chr22:38521608-38568289,0,0,2,0,2,3,2,2,5,4,2,2,0,2,0,0,3,2,4,2,0,0,2,6,0,0,0,0,0,0
chr10:92893349-92899644,3,5,3,0,3,5,3,2,2,3,2,5,0,4,2,2,3,2,3,0,0,0,3,3,0,4,7,0,5,2
chr22:27894555-27914347,5,2,0,0,5,12,5,3,13,2,8,10,8,5,10,12,12,7,9,13,3,5,8,4,10,14,4,9,6,11
chr8:134812610-134813169,2,5,2,2,4,7,3,4,2,3,3,3,8,3,6,0,0,0,2,3,2,4,2,0,5,3,0,0,2,4
chr2:61522611-61533903,51,25,30,20,48,53,55,44,37,29,47,66,37,28,16,33,37,33,36,27,22,33,52,20,25,56,41,33,46,64
chr5:36953618-36976402,9,10,2,9,11,14,13,7,19,7,7,15,8,13,5,12,14,6,13,7,6,7,14,6,7,13,14,12,9,20
chr3:71041328-71053773,14,22,10,2,14,14,15,12,20,4,14,16,8,12,11,13,14,16,18,19,12,5,14,9,15,23,14,12,14,11
chr9:6420912-6434173,5,6,2,4,5,5,7,3,3,0,4,3,3,2,0,12,5,2,5,3,3,3,8,0,2,9,5,3,2,7
chr13:28256292-28261458,3,3,4,2,5,0,12,5,0,6,5,3,7,6,8,9,6,6,11,5,0,2,3,0,6,7,5,4,9,7
chr8:97686668-97691188,0,2,3,0,2,2,6,3,3,0,3,2,2,0,0,0,2,0,4,3,0,0,4,3,0,0,4,2,0,0
chr1:28473554-28480604,0,0,4,2,0,3,4,2,2,0,0,0,0,0,0,2,3,3,2,5,0,5,3,0,2,2,2,0,2,0
chr12:57395749-57398198,2,5,0,0,4,2,3,3,0,0,0,2,0,2,0,0,0,0,0,2,2,2,2,3,2,3,2,0,2,0
chr6:100798713-100805880,0,0,0,2,5,5,3,0,0,3,0,0,7,3,2,0,0,0,3,2,6,0,2,2,0,0,2,0,2,6
chr8:73673107-73688813,11,14,9,5,8,13,9,9,14,4,13,16,9,9,8,8,13,9,13,13,10,16,14,8,8,9,9,8,10,24
chr8:121628714-121629340,2,6,4,0,8,4,7,3,4,2,4,5,3,5,3,2,3,0,6,5,0,3,3,4,0,2,7,4,3,8
chr7:43639449-43640649,6,10,6,5,6,10,8,3,6,3,6,6,12,8,7,9,3,6,9,7,5,2,8,6,6,7,7,7,8,20
chr15:90439332-90443478,7,8,3,0,8,20,14,13,6,3,13,7,6,7,0,17,10,2,16,13,7,7,9,12,9,19,4,9,9,18
chr10:110124017-110130486,5,6,5,6,4,9,7,3,3,2,0,2,5,2,2,7,7,2,10,4,0,4,3,0,5,8,3,2,6,8
chr7:30621393-30622462,2,0,3,0,2,0,4,4,0,2,4,4,0,3,0,3,0,2,3,4,0,3,0,0,2,6,0,4,0,6
chr9:135866456-135883078,2,0,2,0,2,2,2,0,0,3,0,0,3,0,0,2,0,0,5,0,0,2,4,2,2,2,0,2,2,0
chrX:51895053-51897271,2,3,3,0,4,3,3,4,3,2,2,0,0,0,3,0,2,2,0,4,3,4,3,0,0,0,2,0,4,2
chr1:151024611-151027327,0,0,0,0,4,5,3,2,0,0,0,2,0,0,3,2,2,0,2,0,0,3,5,2,2,2,2,2,0,4
chr16:66938037-66939358,3,6,5,5,4,0,6,4,7,5,3,3,2,4,2,3,5,2,11,3,3,3,11,3,4,8,5,3,2,7
chr3:183643480-183672484,5,4,2,0,3,4,5,3,7,7,0,5,6,3,3,6,4,2,2,5,3,0,8,3,2,0,8,3,5,6
chr3:71690010-71699708,0,0,3,0,2,4,3,3,3,0,2,2,4,5,0,0,0,0,2,0,2,3,0,5,2,2,0,6,2,2
chr11:96091892-96093517,12,12,12,7,19,19,20,22,12,16,23,19,19,18,14,22,9,13,28,19,10,10,22,15,6,23,21,18,18,14
chr1:155670320-155679512,5,7,6,4,6,9,9,4,3,6,4,4,8,7,3,3,4,5,6,3,2,0,6,0,0,6,2,5,4,16
chr11:36393846-36419303,0,10,3,4,0,0,11,3,10,2,0,6,3,2,0,4,4,2,7,0,7,2,10,6,6,6,8,0,2,0
chr1:236806144-236816543,3,9,2,0,11,5,5,3,3,0,4,7,2,4,2,10,3,4,3,7,3,2,7,3,7,5,3,4,2,7
chr6:13579451-13584225,6,4,0,2,7,6,13,2,7,3,9,9,3,5,4,11,5,7,8,5,9,5,6,16,3,9,9,6,4,12
chr18:21656861-21659343,0,2,0,3,2,2,4,3,5,0,0,2,3,0,0,5,0,2,3,5,0,2,2,3,0,0,0,0,2,2
chr15:62033441-62044255,0,0,0,3,0,7,5,0,2,3,0,3,3,0,2,2,4,2,0,0,0,2,3,0,0,0,2,4,0,7
chr13:112516440-112527484,4,2,0,6,4,8,6,4,4,2,2,0,5,4,0,3,0,0,4,2,4,3,4,5,4,5,9,5,4,2
chr3:16286342-16303592,6,6,0,0,5,9,7,3,3,0,2,8,2,2,3,3,4,4,8,0,5,0,7,3,2,10,4,3,2,5
chr14:73147795-73198129,0,3,3,3,0,0,4,2,0,2,2,0,2,2,0,6,3,2,0,0,3,0,3,0,4,3,5,0,5,2
chr3:195381009-195392147,3,2,3,0,4,2,0,0,0,4,2,2,3,0,0,3,2,2,0,0,2,0,0,2,0,0,2,0,2,3
chr15:51869217-51902036,4,7,0,0,5,0,3,2,0,0,2,5,2,5,2,2,4,0,5,4,3,0,5,4,2,5,2,2,6,4
chr6:158573420-158589782,3,6,6,5,10,8,9,5,4,4,9,0,5,0,2,6,5,11,2,4,4,5,6,8,3,7,8,5,7,9
chr3:56660731-56673725,4,9,8,2,11,12,14,7,12,5,7,2,10,4,4,12,4,5,5,5,6,0,6,4,4,8,5,4,4,11
chr3:47037666-47046621,2,0,4,2,0,5,3,7,4,0,0,2,3,3,0,0,11,0,2,5,5,2,5,6,2,3,2,4,3,0
chr1:171523221-171532961,4,4,0,0,0,5,9,6,0,2,4,2,0,0,3,6,0,3,7,4,4,0,0,4,7,6,3,4,3,7
chr2:23982896-23984831,3,3,0,0,0,4,0,0,3,0,3,2,0,4,0,4,0,2,2,2,0,0,0,2,3,3,2,0,2,6
chr14:79697630-79805190,6,4,2,0,5,3,5,2,7,0,9,2,2,0,9,11,2,4,0,6,3,5,9,0,10,8,3,5,6,7
chr2:172558708-172566933,2,7,4,3,6,2,11,4,2,3,3,5,7,9,0,3,0,7,4,4,9,0,11,2,2,4,3,4,9,10
chr19:40583398-40583717,0,3,0,3,4,3,3,3,4,0,4,7,0,9,0,2,3,0,5,3,2,2,2,0,0,3,3,3,4,4
chr14:35126735-35180777,4,2,0,0,3,0,2,5,0,3,2,4,0,3,0,3,0,0,3,0,0,0,0,0,2,4,3,6,0,6
chr1:30992390-30995220,0,7,3,3,3,7,11,5,0,3,3,0,3,4,0,7,6,3,2,3,5,3,7,6,7,7,9,8,5,8
chr6:3076764-3077935,7,8,6,4,4,5,23,4,8,14,6,11,9,6,6,8,3,5,8,13,8,6,10,5,7,20,12,5,3,16
chr14:31127785-31172122,2,4,0,3,3,5,3,2,0,2,2,6,3,3,0,0,0,2,0,0,3,0,0,2,2,5,0,2,4,2
chr13:75560753-75569507,8,11,8,6,14,12,23,9,10,9,10,4,12,9,4,10,14,6,13,10,10,10,12,8,8,22,3,7,7,9
chr1:169978085-170031975,5,3,4,4,7,8,7,5,12,6,0,4,6,6,5,9,11,0,5,12,3,7,0,8,0,5,4,4,8,12
chr8:42957094-42964474,6,2,0,3,6,5,7,6,9,3,6,10,2,4,5,7,7,4,7,4,4,2,11,5,3,3,5,3,6,11
chr5:43675511-43677806,6,4,2,0,4,3,4,4,3,0,9,2,4,4,0,4,6,3,3,2,3,5,2,4,4,3,2,4,0,11
chr10:49915917-49935142,4,9,6,2,6,3,8,2,8,8,7,9,6,6,4,5,3,9,13,8,16,3,7,5,0,13,5,14,8,10
chr7:92213195-92226682,5,2,0,2,2,2,0,2,2,2,4,3,4,0,2,0,2,2,4,4,0,2,3,0,4,4,0,0,4,0
chr4:150761783-150808398,4,5,3,7,5,5,7,2,4,0,7,9,7,7,2,3,7,0,6,9,0,0,3,3,7,6,3,0,7,12
chr15:85113873-85121014,22,11,19,10,12,31,21,19,29,22,19,27,22,14,9,38,14,8,17,11,18,14,21,20,7,19,28,14,20,34
chr3:197830770-197839397,0,3,2,0,0,0,0,0,4,2,2,2,0,4,2,3,2,3,0,3,2,0,0,0,0,5,3,0,0,6
chr6:110887505-110890356,9,10,5,11,15,12,19,13,9,4,8,9,13,12,6,13,7,6,10,8,3,7,21,7,4,17,11,11,5,17
chr22:32478981-32479275,16,13,16,2,29,16,16,20,10,8,30,28,12,17,8,10,12,16,24,24,11,15,23,10,20,28,21,16,20,22
chr11:129062280-129066868,3,2,0,0,5,9,7,0,0,0,5,2,2,2,0,3,2,0,0,0,0,0,0,2,3,4,0,2,3,7
chr4:139125164-139139497,6,6,8,2,6,6,9,2,7,2,6,9,4,10,6,9,5,4,4,7,3,4,6,8,0,14,4,7,9,9
chr20:48953556-48963898,5,3,5,0,4,6,0,3,3,3,7,10,7,5,2,3,5,7,8,8,3,10,2,2,5,8,2,2,6,6
chr6:75702645-75703072,10,16,11,11,13,26,16,12,15,6,13,10,13,9,12,14,15,3,6,12,6,5,18,12,3,21,10,12,9,28
chr15:63706780-63716473,3,2,2,0,0,2,7,2,3,2,0,4,0,4,0,0,2,0,4,3,2,2,3,2,3,0,0,0,4,4
chr3:49967470-49975392,3,4,3,7,3,6,6,4,2,2,4,2,6,5,4,4,6,3,11,4,4,2,0,0,4,6,2,3,4,3
chr1:42773563-42775479,3,3,0,2,3,2,3,0,6,2,0,4,0,5,0,3,3,0,4,4,0,2,3,2,2,6,4,4,0,5
chr2:147896301-147899898,19,28,17,14,28,33,22,14,27,13,26,29,18,14,14,32,17,17,19,19,13,13,24,19,18,22,27,17,12,25
chr2:32098796-32116212,2,0,0,0,3,0,4,0,0,0,2,2,2,0,2,0,0,0,4,3,0,3,4,3,2,2,0,2,0,2
chr22:38986298-39025349,13,10,0,0,7,4,15,11,8,8,0,3,7,10,0,12,3,4,0,2,0,0,0,13,6,14,0,5,5,12
chr18:9524594-9525851,30,15,19,9,14,26,30,14,28,10,28,28,25,16,10,19,13,18,18,14,6,17,21,26,11,30,15,21,21,21
chr1:48355670-48359770,10,7,2,2,4,7,9,5,8,2,5,6,5,7,6,6,6,8,9,7,7,10,7,4,3,9,7,7,2,10
chr1:95143891-95151419,32,32,32,17,27,42,53,24,47,44,21,28,48,36,27,55,29,13,42,29,19,25,43,35,33,59,47,29,28,73
chr5:137985257-137988315,76,72,67,49,101,115,124,66,79,44,110,116,81,91,39,87,103,76,91,61,74,74,99,85,51,127,79,85,110,156
chr7:27629371-27632445,3,2,2,3,0,2,4,3,8,2,2,2,0,3,0,3,0,0,0,3,0,2,6,2,0,5,2,0,3,2
chr1:20757166-20773610,9,6,8,10,17,11,9,10,11,5,7,15,12,20,10,11,7,8,15,17,6,6,14,9,4,10,12,9,12,10
chr7:158869855-158876691,4,3,5,3,6,4,9,0,0,0,2,2,0,2,0,4,3,3,0,6,0,2,5,0,3,6,3,4,2,3
chr1:88740988-88786213,2,4,2,4,0,6,7,3,3,3,3,0,0,4,2,2,3,2,5,3,2,2,3,3,3,2,2,2,3,3
chr3:170136419-170149244,3,0,6,2,5,4,14,2,2,4,4,4,5,5,5,9,10,5,6,5,2,2,3,4,5,5,6,5,0,7
chr7:22308339-22318037,24,24,9,6,14,12,9,8,12,19,10,14,13,16,5,18,7,6,11,16,3,7,19,9,18,17,15,7,12,27
chr10:110885253-110890670,2,3,2,3,0,2,5,3,8,2,6,4,4,4,4,4,3,3,3,6,0,0,2,2,0,4,6,2,0,0
chr4:55403236-55417985,3,4,0,0,0,2,3,0,2,0,0,3,0,3,6,2,4,0,2,3,0,3,3,0,0,4,2,5,7,0
chr5:145796442-145826200,33,33,27,23,20,26,41,15,22,23,15,19,31,14,14,35,6,13,22,18,13,8,30,20,15,33,25,26,11,30
chr10:101792839-101810314,5,11,6,0,8,7,7,4,11,6,9,8,5,4,5,16,5,4,17,9,3,10,7,3,6,11,13,4,9,13
chrX:53645311-53654131,3,0,2,0,5,4,4,2,2,0,0,0,0,8,3,3,3,0,2,0,2,3,3,0,4,3,2,2,0,6
chr21:37420299-37430400,2,3,3,2,0,3,2,0,2,0,5,4,4,3,4,6,0,4,3,0,0,0,5,3,2,9,10,3,0,5
chr12:94220016-94227235,2,2,2,0,3,2,0,0,4,0,0,0,0,4,4,0,0,2,0,2,2,2,3,2,3,3,0,2,2,3
chr4:105233897-105237351,9,15,9,4,10,10,17,12,17,5,13,11,6,8,7,18,6,8,18,16,9,11,4,14,9,15,11,13,5,14
chr14:91481576-91485730,2,2,0,4,4,5,6,3,6,4,4,7,7,3,0,5,2,5,0,5,6,2,6,2,7,3,5,0,5,6
chr15:74926766-74929232,9,5,5,6,5,8,7,5,6,3,13,5,3,5,0,0,4,2,3,5,2,6,9,4,4,9,9,5,2,7
chr11:102362896-102368548,0,0,2,0,6,3,2,4,0,3,0,2,6,6,5,4,5,3,3,3,2,2,5,3,0,3,0,3,2,5
chr20:47623911-47633636,2,4,0,0,2,6,5,0,2,0,4,4,0,3,0,4,5,2,0,0,3,0,4,0,0,4,3,0,6,2
chr11:73707420-73720899,5,6,4,5,2,5,2,7,5,6,7,7,5,5,5,5,2,2,4,9,5,2,5,4,7,9,3,7,9,4
chr3:129880309-129880562,5,0,0,0,0,2,6,0,0,2,5,2,0,4,2,2,0,2,3,3,6,3,3,0,3,3,2,0,2,0
chr20:63928335-63931022,0,3,2,2,2,5,3,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,5,2,0,2,2,2,2,0
chr10:126970702-127110354,4,2,0,2,0,0,2,5,0,3,3,0,4,0,0,0,2,0,6,4,0,0,3,3,3,3,4,2,0,0
chr2:171925537-171953001,5,2,6,0,4,8,4,4,4,3,4,4,2,3,0,0,3,6,6,3,4,3,9,4,0,8,3,3,7,3
chr17:62033787-62035608,14,3,6,8,8,13,9,6,8,5,4,5,10,3,3,6,3,5,15,3,2,6,9,9,5,14,5,7,9,10
chr8:42325970-42329214,3,3,2,3,4,4,4,0,0,5,0,2,2,3,0,4,3,3,6,0,2,4,5,0,3,2,0,2,0,4
chr13:41252645-41260915,0,4,0,4,2,2,3,2,4,3,0,2,2,0,2,4,0,2,6,2,3,0,3,0,5,10,3,2,4,6
chr15:72760407-72775097,2,0,0,0,2,3,7,2,0,2,2,3,0,0,2,5,0,0,3,4,0,0,3,0,0,0,0,4,2,3
chr2:173358712-173359491,5,3,0,7,3,6,7,0,4,2,2,3,2,3,0,7,6,2,4,3,4,0,5,7,0,10,2,3,4,7
chr8:37877109-37877551,18,24,11,20,21,27,35,18,19,12,13,15,20,14,4,8,12,20,21,18,10,10,24,12,15,25,18,15,22,26
chr17:79077430-79077864,0,2,3,2,2,2,4,2,6,0,4,6,3,0,7,4,3,2,0,0,3,3,5,4,6,4,4,0,3,9
chr10:15833630-15847943,3,2,8,2,7,7,3,4,3,2,8,5,8,4,3,4,4,3,3,6,5,3,8,7,2,5,7,8,6,6
chr1:155725382-155726019,0,6,0,0,4,5,3,0,0,3,4,6,0,8,0,4,4,4,5,5,0,6,8,0,0,2,0,5,3,2
chr9:33953285-33956146,3,0,0,2,3,2,3,2,5,0,5,0,0,4,0,0,2,0,4,0,0,4,2,0,3,5,2,0,2,0
chr1:59321536-59346398,4,6,2,2,7,8,15,5,5,7,7,5,7,8,3,4,2,4,7,4,0,8,5,5,4,10,3,5,5,12
chr3:43299754-43303792,2,3,6,3,5,18,17,6,8,7,4,6,6,0,8,4,6,3,11,12,7,10,7,9,4,6,3,9,7,6
chr12:42384940-42398994,3,2,2,0,2,2,5,5,3,0,0,0,0,0,0,2,0,2,0,3,0,3,0,2,0,2,2,0,2,0
chr18:54277703-54287411,0,0,0,0,4,7,0,2,3,3,0,4,3,5,7,5,5,0,0,2,0,0,2,6,4,2,0,3,2,5
chr13:46723221-46733998,0,0,0,0,0,3,5,0,0,2,3,2,4,2,4,2,2,0,3,0,3,4,2,5,0,7,0,4,0,0
chr15:58912563-58916999,9,12,13,7,19,16,16,10,8,7,18,16,14,14,5,20,22,10,10,17,8,19,14,25,15,19,12,21,16,21
chr4:42503450-42524847,4,0,2,0,0,2,0,0,2,2,2,2,6,2,0,0,0,2,0,0,2,0,0,0,2,2,2,3,0,5
chr2:30525587-30533314,6,9,4,5,0,5,11,3,8,3,4,5,4,2,7,4,6,6,5,2,4,4,4,2,6,3,4,0,7,8
chr9:95978061-96004701,6,3,0,0,6,5,11,2,4,6,3,5,7,9,9,2,6,3,4,7,4,5,5,7,7,9,5,2,2,9
chr5:168488602-168497348,5,3,4,8,10,12,7,4,5,7,8,10,7,6,0,6,4,7,9,6,4,0,7,3,5,11,4,3,6,15
chr9:122280443-122291840,4,3,0,0,2,2,5,0,5,0,6,4,0,0,2,4,2,4,5,4,0,0,7,3,4,2,2,3,4,7
chr22:46626751-46637960,6,8,7,2,5,5,5,6,2,3,9,10,2,6,0,2,10,4,5,3,2,3,8,0,4,4,6,7,2,4
chr5:131677703-131709272,0,2,0,0,0,2,3,6,5,0,4,5,0,0,0,6,3,3,2,3,3,0,3,2,2,2,0,2,3,3
chr6:18236452-18258405,12,2,0,3,6,9,8,0,6,5,2,7,10,3,3,6,3,4,3,7,0,4,6,5,4,6,5,4,6,14
chr12:116230533-116237705,27,41,39,24,45,48,46,26,41,33,40,36,43,42,25,42,29,32,30,21,35,18,57,37,26,66,35,39,30,68
chr7:24623666-24650712,0,5,3,3,0,4,3,4,2,2,4,4,2,2,0,0,3,3,2,7,3,5,3,3,4,6,2,2,5,0
chr3:51541498-51590559,2,5,2,6,2,6,9,3,5,2,3,7,8,2,5,4,0,5,3,3,0,4,6,5,3,3,5,5,2,6
chr1:247156406-247159813,87,121,77,59,101,54,121,53,91,82,77,66,54,77,11,117,79,53,116,91,50,32,102,67,91,138,92,54,68,95
chr5:123545417-123553147,2,3,0,0,3,3,2,2,3,3,0,0,3,0,3,2,0,3,2,0,2,2,3,2,0,5,2,2,2,3
chr18:47865059-47896809,9,9,2,5,8,8,9,7,5,4,2,7,4,11,5,10,4,4,8,3,8,5,8,4,4,12,6,12,8,9
chr13:40826506-40836885,2,3,0,4,3,7,4,2,3,0,0,3,2,4,2,2,3,6,3,6,0,2,2,3,2,6,4,3,2,7
chr12:55700899-55701154,3,4,3,0,2,7,4,2,3,0,2,9,2,0,17,5,3,3,0,5,5,6,6,3,0,3,5,0,4,4
chr1:42265115-42323827,3,5,2,0,2,0,3,0,2,5,3,3,0,2,2,2,0,0,0,3,2,2,5,2,0,3,3,2,3,4
chr18:44949881-44953340,6,10,6,0,7,9,14,2,5,3,7,10,4,8,7,8,4,9,9,11,5,4,6,3,7,6,8,6,3,10
chr10:94441896-94474783,7,9,5,4,7,12,7,8,7,5,3,8,7,10,2,7,4,5,10,6,6,0,9,0,2,10,3,7,4,7
chr1:13731000-13742157,3,4,2,3,2,0,4,0,0,0,4,3,3,0,5,3,2,5,3,3,4,2,3,5,0,3,3,2,3,3
chr5:36953618-36986301,3,2,0,0,2,3,2,0,3,2,4,0,4,0,0,2,2,0,2,0,3,0,0,2,0,3,0,2,2,3
chr1:173992755-173993135,3,4,0,0,7,7,5,7,5,0,5,5,3,0,3,6,0,4,6,5,3,3,3,5,0,7,3,5,3,10
chr2:239990074-240007370,19,13,10,10,13,19,17,9,10,6,13,12,7,17,3,15,6,11,16,11,9,8,18,7,5,15,9,13,14,13
chr6:87210451-87218731,11,8,11,3,9,12,10,9,11,7,13,12,15,11,7,7,6,5,12,12,7,4,11,13,6,9,10,6,10,14
chr19:14402597-14404562,2,0,2,0,3,0,2,4,0,2,3,3,3,4,0,0,3,0,0,2,0,3,3,0,0,4,3,0,0,7
chr12:45926142-45928859,5,8,3,4,6,3,8,5,3,3,7,7,4,3,2,9,3,2,3,11,4,5,11,3,2,8,5,4,4,8
chr1:119755427-119759989,3,5,4,7,0,2,3,5,7,4,2,0,3,5,0,4,2,0,5,3,2,0,6,6,4,5,3,3,0,10
chr15:50586392-50592626,5,2,2,0,2,3,3,3,2,3,3,3,0,0,4,2,4,2,4,0,0,0,3,0,0,3,0,0,3,3
chr12:69589485-69593613,4,3,0,4,7,5,13,4,3,3,6,5,2,5,0,11,5,3,6,0,3,3,2,5,3,3,5,5,6,6
chr1:230663141-230675124,0,2,2,0,2,2,4,0,0,0,3,2,0,2,2,2,0,2,2,2,2,0,3,0,0,4,0,0,3,2
chr7:155665175-155680908,0,0,2,2,6,9,5,6,6,3,6,4,5,4,2,3,0,6,5,4,6,8,0,5,2,6,6,5,2,5
chr4:75790150-75790797,2,3,3,0,3,0,2,0,4,0,2,4,4,0,0,0,2,0,3,2,0,2,0,2,0,5,0,3,2,4
chr11:73707420-73718718,17,14,9,4,13,19,25,14,13,8,21,25,15,17,3,15,16,14,18,14,11,21,20,10,13,16,17,21,12,28
chr13:21167988-21168399,15,7,7,0,8,9,8,4,8,4,6,3,7,2,0,10,4,0,9,2,3,5,6,8,9,11,9,5,6,9
chr16:19616114-19652090,5,2,0,2,0,0,2,0,2,0,5,0,0,0,0,0,5,5,0,4,2,0,7,2,0,3,0,2,3,5
chr17:12054889-12081530,5,4,3,0,2,17,4,4,4,0,7,0,0,0,0,6,0,3,0,0,3,5,6,6,6,0,6,3,5,8
chr1:75745806-75750546,2,0,0,0,3,3,0,2,2,2,0,2,2,2,0,2,2,0,2,0,0,0,6,0,0,2,2,0,4,0
chr2:40428473-40430304,22,11,22,15,28,27,50,11,27,17,33,30,15,16,34,22,21,17,17,26,17,14,26,29,10,30,15,20,13,50
chr2:43912432-43918398,0,2,2,0,0,2,3,3,2,0,0,3,2,0,0,0,4,2,2,0,2,2,0,0,2,2,2,0,2,0
chr6:160046498-160048543,5,2,4,2,2,5,9,4,6,7,3,4,9,8,6,9,4,4,12,6,3,7,8,8,6,6,3,3,7,7
chr9:112250929-112252788,2,0,0,2,2,0,3,0,3,3,3,3,2,2,0,2,4,0,0,3,0,0,2,0,4,2,0,4,0,4
chr1:65364635-65366196,6,5,2,4,9,5,8,2,3,0,4,3,0,3,2,4,4,4,4,7,3,2,5,0,2,2,4,4,3,6
chr10:35516523-35530243,0,0,0,0,2,2,2,5,3,0,2,5,0,4,2,0,6,3,5,3,3,2,4,0,0,5,2,4,0,0
chr2:190900564-190924593,14,14,12,11,14,18,23,4,19,8,14,12,17,15,7,19,5,11,7,4,6,6,23,7,5,10,4,13,18,20
chr17:55401469-55403868,3,5,2,3,3,2,3,0,4,0,2,0,3,3,2,3,0,3,4,0,0,5,3,0,0,4,0,0,0,7
