ID,1032245-P_bwa.ciri2,1039868-P_bwa.ciri2,1042353-P_bwa.ciri2,1042745-P_bwa.ciri2,1043773-P_bwa.ciri2,1045386-P_bwa.ciri2,1045549-P_bwa.ciri2,1046191-P_bwa.ciri2,1046287-P_bwa.ciri2,1046349-P_bwa.ciri2,1046499-P_bwa.ciri2,1047291-P_bwa.ciri2,1047831-P_bwa.ciri2,1047912-P_bwa.ciri2,1048720-P_bwa.ciri2,1049983-P_bwa.ciri2,1050700-P_bwa.ciri2,1051316-P_bwa.ciri2,1054390-P_bwa.ciri2,1056166-P_bwa.ciri2,272577-P_bwa.ciri2,451368-P_bwa.ciri2,477022-P_bwa.ciri2,515975-P_bwa.ciri2,522638-P_bwa.ciri2,548142-P_bwa.ciri2,649867-P_bwa.ciri2,685749-P_bwa.ciri2,843725-P_bwa.ciri2,99272-P_bwa.ciri2
chr19:49196440-49196874,2,3,3,2,3,0,6,3,3,2,2,2,2,2,0,2,0,4,0,0,2,0,2,0,2,0,3,5,2,0
chr7:22291175-22318037,25,26,20,20,21,57,29,19,12,32,59,22,22,30,24,16,23,10,21,22,15,8,40,25,33,26,42,18,23,25
chr12:19462510-19473355,3,4,2,3,5,5,8,8,10,7,6,4,5,8,4,0,10,4,9,0,2,2,4,4,11,9,4,5,3,7
chr14:76166663-76180849,2,3,0,2,4,9,2,0,4,3,5,0,2,5,0,7,2,0,7,4,7,0,4,2,5,2,2,0,4,0
chr14:80895718-80906081,0,2,0,2,0,0,5,0,5,2,10,0,2,4,0,0,2,2,4,0,0,5,5,0,4,2,3,0,3,2
chr9:97994631-97998678,0,0,4,0,0,2,2,2,3,2,2,2,0,11,0,0,0,2,0,0,2,0,2,0,4,2,0,0,4,3
chr2:190900564-190924593,0,15,11,8,16,31,26,11,17,9,15,15,16,17,6,8,3,8,6,10,16,9,19,7,18,7,12,8,19,12
chr2:210153495-210154611,2,0,3,9,7,12,9,0,6,7,5,2,3,10,3,3,3,0,6,4,6,5,7,0,4,3,3,3,6,4
chr9:96320998-96324169,3,2,2,2,3,3,7,3,0,3,4,2,5,2,5,0,4,2,0,2,3,0,5,4,3,4,3,3,0,2
chr12:57467333-57468224,2,0,2,0,3,4,0,0,5,3,4,3,6,5,0,2,3,0,3,2,3,3,3,3,0,0,5,0,0,4
chr4:87046166-87047594,23,16,9,8,17,28,17,16,14,25,32,17,14,30,13,7,26,11,18,19,23,7,23,11,23,19,27,28,19,16
chr1:20749723-20773610,6,3,2,6,6,9,7,3,5,5,12,4,8,9,3,2,0,2,0,2,3,2,10,4,5,0,3,4,2,3
chr22:29978442-29991670,7,3,0,2,0,5,3,0,2,0,3,3,2,6,0,0,0,0,0,2,0,0,4,0,2,3,0,2,0,3
chr1:32948222-32949774,16,9,9,8,13,22,19,16,14,12,21,17,19,16,11,8,16,12,12,5,12,11,14,9,5,11,15,13,11,10
chr6:170543601-170549113,4,3,0,3,5,3,7,3,4,6,6,3,0,9,4,0,2,2,2,3,0,5,5,0,0,2,5,2,0,2
chr13:21167988-21168399,4,4,0,2,0,5,8,9,10,8,9,0,0,5,6,4,2,4,9,0,3,0,14,4,7,10,9,4,3,7
chr21:44855210-44861271,9,7,5,3,7,15,0,9,8,15,16,11,3,9,7,3,10,9,4,9,3,7,8,5,15,10,8,7,6,8
chr1:153665220-153668557,2,0,0,0,2,4,0,0,2,0,3,6,3,5,3,2,4,0,2,3,0,0,0,2,3,4,0,0,2,0
chr11:66639700-66640123,2,0,4,0,0,0,2,2,3,0,6,4,2,6,5,0,3,2,0,0,0,3,6,4,0,4,4,2,0,2
chr15:41696075-41699159,5,3,4,3,2,7,5,0,7,7,10,8,8,11,2,7,3,3,6,3,6,2,7,4,8,2,4,0,4,5
chr17:29684563-29703062,7,3,0,0,0,6,7,8,9,3,12,8,8,11,2,6,2,0,0,2,7,3,6,2,2,5,3,2,2,4
chr7:152309966-152315338,3,14,8,10,11,10,18,6,8,7,19,7,5,15,9,6,7,4,4,3,6,3,8,7,14,5,11,6,5,7
chr7:100355143-100355804,0,3,2,6,0,7,6,3,2,4,13,6,6,7,0,6,2,0,6,4,6,2,3,0,2,2,6,4,2,5
chr9:16727797-16738485,5,5,0,3,4,5,10,4,10,6,5,10,5,8,3,5,3,5,6,0,5,11,0,2,16,5,4,2,10,3
chr2:63856306-63857936,3,15,4,13,8,10,19,14,12,18,15,16,15,10,6,6,12,9,12,12,12,6,17,8,16,14,20,5,13,6
chr12:104927973-104928694,3,8,4,12,13,15,21,6,4,11,14,11,9,14,3,5,4,4,11,10,0,4,14,9,9,21,6,9,6,9
chr1:224952670-225007544,2,4,0,2,0,3,0,0,2,5,4,2,0,3,0,0,3,0,2,0,0,0,4,2,2,0,3,2,2,5
chr12:120557282-120557682,8,5,8,6,12,12,11,6,4,8,19,11,7,16,5,7,9,2,8,6,7,5,10,0,10,11,10,10,7,4
chr1:25340474-25351693,2,0,2,0,0,0,0,0,3,2,2,3,6,3,5,4,0,4,0,0,3,0,2,0,2,3,2,0,0,0
chr3:57890041-57896932,2,0,0,0,0,0,0,3,2,5,4,2,0,4,2,0,6,6,6,4,2,0,4,6,3,3,3,0,2,0
chr13:60439688-60460540,7,8,2,4,3,3,6,5,5,5,6,7,9,9,5,6,2,4,2,0,5,6,3,0,9,7,7,5,6,6
chr1:36361221-36362656,3,2,0,0,0,4,4,0,5,4,3,3,0,2,0,5,3,5,3,5,0,4,4,0,2,4,4,8,2,4
chr4:73090667-73092300,23,19,27,18,26,47,29,26,20,28,43,23,30,41,30,18,22,17,32,24,25,24,31,21,49,27,32,28,28,23
chr21:46349012-46349820,7,5,4,3,3,2,7,0,0,5,9,5,2,3,4,3,3,3,4,4,10,2,0,0,5,7,6,6,6,2
chr5:79640851-79669028,0,3,0,0,4,6,4,2,0,4,0,3,0,7,2,5,0,0,4,0,4,2,2,3,4,3,4,4,7,0
chr3:171188702-171194635,3,0,4,0,0,0,7,3,5,2,6,0,4,4,3,2,5,3,6,2,3,3,4,0,2,4,5,0,2,2
chr1:113834910-113855049,3,8,2,4,8,11,8,0,6,10,8,11,6,13,9,4,7,5,3,5,7,6,6,3,4,7,0,5,4,11
chr5:95755396-95763620,51,27,34,33,27,42,61,46,45,36,71,30,53,57,31,49,13,14,27,37,27,22,57,29,49,28,41,22,35,38
chr12:108652272-108654410,29,22,19,17,23,44,40,15,35,51,47,41,42,35,29,23,33,28,21,19,32,42,24,18,46,27,45,43,36,20
chr4:177353308-177360677,5,12,5,5,5,0,12,11,5,14,12,8,10,6,2,0,0,10,14,2,5,7,8,11,10,10,12,5,4,8
chr8:94537103-94538346,4,2,0,2,0,3,3,0,0,6,2,0,2,4,3,4,2,0,0,0,0,3,0,0,3,2,2,0,0,2
chr18:54159765-54205157,0,2,0,2,2,3,4,2,5,2,2,2,0,0,0,3,3,0,2,2,6,0,5,0,2,5,2,0,0,3
chr9:35228015-35243364,0,5,0,4,2,4,2,6,3,5,0,6,0,3,3,3,0,0,0,0,7,3,0,0,2,4,9,4,0,2
chr1:247155566-247159813,35,46,33,34,45,30,57,42,39,48,51,50,33,45,33,46,34,41,46,37,38,36,60,23,45,63,50,27,0,22
chrX:155415575-155419562,4,2,0,0,3,6,3,3,4,0,0,5,3,7,0,2,0,0,0,0,2,2,4,0,3,0,3,0,0,0
chr11:36393846-36419303,2,4,6,3,2,5,5,7,3,8,4,0,6,5,3,2,0,4,2,2,2,3,0,4,4,0,5,2,0,3
chr7:22308339-22318037,11,25,9,16,13,16,9,16,14,15,29,15,17,19,8,12,17,6,9,12,15,11,14,13,22,7,18,12,12,17
chr2:202555252-202556531,2,0,2,0,3,4,3,3,2,3,6,5,4,0,0,2,0,3,3,0,0,0,4,0,4,3,0,0,3,2
chr6:107921797-107929514,3,2,2,5,3,5,3,2,0,5,5,5,2,5,5,0,2,4,2,0,0,4,3,2,5,2,6,5,5,2
chr10:91996369-92008275,0,0,0,0,2,2,0,4,0,0,4,3,2,5,2,0,2,2,2,0,0,0,0,2,2,2,0,4,0,2
chr1:206935486-206935698,0,5,2,7,4,2,3,0,0,3,2,0,3,3,0,0,0,0,2,4,2,0,0,0,3,2,2,2,0,0
chr4:61934840-61998265,6,0,6,9,6,12,10,5,3,9,15,8,6,11,7,6,4,4,5,0,10,9,13,6,6,7,2,0,6,6
chr13:75560753-75569507,12,3,10,9,7,15,20,9,9,8,11,7,11,21,5,5,10,7,7,5,11,5,11,6,17,5,7,12,11,8
chr17:67928355-67929487,2,0,0,2,2,3,2,0,2,0,4,3,0,2,0,2,2,3,0,0,0,0,2,2,4,0,3,2,0,0
chr16:19616114-19652090,3,0,4,2,3,3,0,0,2,2,2,3,2,0,2,0,3,0,0,5,3,0,3,2,2,0,0,0,0,0
chr15:100564692-100565265,2,3,0,0,0,0,0,3,2,5,3,3,2,2,2,3,0,0,3,2,2,4,5,0,4,5,0,0,3,3
chr6:75634707-75670720,0,3,0,0,0,2,4,2,0,6,3,0,2,4,2,0,0,3,0,2,5,2,0,2,0,6,0,0,2,2
chrX:119640692-119653040,3,3,0,0,0,4,4,0,3,7,9,4,2,3,0,5,0,3,2,5,2,0,4,2,3,2,0,4,3,0
chr1:155676548-155784089,5,5,6,0,5,9,4,9,5,8,11,7,9,6,0,3,5,5,6,5,8,8,4,3,4,6,11,3,6,4
chr1:161778244-161784096,2,3,0,0,0,0,2,0,3,0,0,3,2,3,0,2,2,3,2,0,2,4,3,0,0,2,2,2,0,2
chr8:37765526-37766355,8,6,8,3,8,13,12,7,11,7,14,13,7,17,4,4,11,5,6,4,10,9,7,7,8,14,16,10,17,4
chr19:45277923-45280734,3,0,2,2,4,6,4,0,0,0,4,0,0,0,2,0,2,3,2,2,3,3,6,0,2,5,3,4,0,2
chr8:51845661-51861246,0,4,0,2,4,2,3,4,3,0,2,5,2,6,0,0,0,0,2,4,5,2,0,0,8,3,10,0,3,3
chr11:114580132-114583021,11,7,7,8,6,4,5,9,4,6,12,2,10,8,8,4,8,7,12,7,9,4,5,8,11,11,10,2,7,16
chr11:85974708-85983973,3,4,4,3,0,4,7,7,5,6,4,2,5,10,2,0,2,4,0,6,3,2,9,2,5,0,2,4,3,2
chr18:44701175-44701832,0,0,2,2,2,3,2,2,0,2,2,0,0,0,2,0,3,2,0,0,3,2,3,0,2,5,2,2,0,0
chr3:169976946-169988359,14,8,9,15,11,26,15,12,17,19,19,15,14,19,10,10,14,7,17,15,16,12,15,10,14,19,26,12,13,15
chr17:62033787-62035608,9,3,4,3,7,9,15,9,8,8,10,3,9,12,4,11,5,5,7,12,14,7,9,7,4,5,16,5,6,6
chr9:111578796-111586165,5,3,0,0,0,2,5,0,2,3,3,2,8,4,2,2,2,0,5,0,3,0,5,0,3,4,4,4,6,0
chr9:18336332-18362182,2,8,0,4,3,2,4,4,0,0,4,0,4,5,8,0,0,0,2,2,0,0,2,3,3,4,2,2,3,3
chr15:100330889-100334180,2,4,0,5,4,0,0,3,6,3,6,6,8,0,3,0,3,2,7,2,6,5,0,2,2,4,3,0,4,3
chr1:200043774-200120955,5,7,4,3,4,7,4,3,0,6,7,3,4,3,3,5,4,0,7,5,3,0,5,5,5,0,4,2,5,2
chr3:12312380-12392752,5,6,3,2,3,4,2,0,4,4,4,3,3,5,0,2,0,0,4,0,4,0,7,5,3,2,0,0,0,0
chr10:32451592-32474023,0,0,3,0,2,0,3,2,2,0,5,0,0,6,0,2,2,0,4,2,3,0,3,0,3,2,0,5,2,2
chr18:62539681-62550460,6,5,2,0,3,7,5,5,7,3,12,7,5,7,2,3,9,7,4,4,2,4,7,2,8,8,4,5,4,0
chr3:170113360-170122744,0,2,2,0,3,3,6,2,5,0,3,2,3,4,3,0,3,0,0,2,2,3,3,0,6,3,4,0,2,2
chr13:48077153-48090418,2,6,0,3,3,4,3,0,2,0,2,2,2,4,2,3,2,2,0,0,2,0,2,2,4,3,5,4,0,5
chr14:102040236-102040673,9,4,11,5,9,18,24,11,4,16,19,14,7,15,14,11,0,10,9,3,3,17,7,9,6,15,11,9,8,2
chr3:188406112-188524787,2,3,0,0,0,2,2,2,4,3,3,3,3,0,0,2,3,0,0,2,0,3,2,0,2,0,0,0,0,0
chr12:29339851-29341816,3,2,3,0,0,4,4,2,4,4,0,3,3,0,2,0,0,0,6,3,0,0,4,2,4,0,3,4,3,0
chr2:44704283-44715353,3,4,2,2,0,4,2,4,0,3,6,3,2,7,2,0,2,0,0,0,2,2,3,3,0,0,0,0,3,0
chr6:135039573-135042126,2,9,0,3,6,8,4,3,3,5,9,6,4,8,2,3,5,5,0,6,6,2,6,0,7,7,11,4,6,2
chr11:108227595-108229323,2,0,0,3,3,10,8,3,0,7,6,8,2,9,4,6,0,3,2,0,6,3,3,2,4,2,5,6,5,2
chr9:18336332-18382646,5,5,2,2,2,5,3,2,0,5,5,4,4,6,2,2,4,0,3,0,0,0,4,2,5,5,0,0,0,2
chr18:49929512-49937397,17,9,8,0,4,10,11,6,10,11,7,12,3,9,7,5,8,4,9,8,4,5,7,3,10,12,10,2,7,5
chr4:75012425-75013150,6,4,4,0,6,6,4,4,4,4,5,6,2,4,0,2,7,7,8,0,0,4,2,0,9,7,7,2,6,5
chr18:9583117-9595102,6,9,10,3,10,23,14,9,5,13,14,13,14,9,11,7,5,4,6,6,9,4,8,9,10,10,12,4,8,6
chr14:79697630-79805190,6,3,5,2,0,7,6,0,0,7,6,2,3,3,0,0,0,2,7,0,3,5,5,2,4,6,2,6,5,2
chr14:89161701-89162969,0,0,4,2,5,7,6,5,3,2,8,2,3,6,3,4,2,4,3,3,9,3,2,2,5,2,5,3,2,3
chr2:58198594-58232112,3,18,13,12,10,28,21,7,12,13,26,10,14,14,7,12,5,7,10,9,10,9,21,10,15,7,12,9,14,8
chr18:24064140-24069271,5,5,0,4,4,7,15,9,8,12,16,4,8,12,0,6,5,2,9,7,8,5,14,5,9,5,10,9,4,2
chr11:86022367-86031611,7,0,2,0,4,3,3,2,2,3,6,2,0,3,5,3,2,3,2,0,3,3,2,2,8,2,0,9,9,3
chr6:13639563-13644729,3,3,0,2,2,2,0,4,8,0,7,4,5,4,2,0,0,2,0,0,2,0,5,2,4,2,0,2,3,0
chr1:197642711-197658369,7,19,16,10,8,15,17,14,17,13,25,26,11,23,17,8,5,11,16,2,11,23,24,10,10,24,18,13,17,13
chr17:51217334-51225209,0,0,3,3,2,2,2,0,5,4,2,2,3,5,0,0,2,0,0,3,0,0,7,3,0,2,0,2,2,0
chr9:4823548-4833228,3,2,2,3,2,6,3,2,3,4,4,5,6,6,0,5,3,6,4,0,3,2,4,0,2,3,5,3,2,2
chrX:150592605-150619139,4,11,3,3,8,8,3,6,0,7,13,6,3,9,7,0,4,2,8,2,0,0,3,8,3,6,4,5,5,3
chr16:28487456-28489386,0,2,5,4,0,2,5,4,5,3,2,2,0,5,2,0,2,3,4,4,0,3,0,2,2,3,5,2,4,0
chr4:42503450-42543986,2,0,0,0,2,2,2,0,2,0,0,0,4,2,3,0,0,0,0,2,0,3,8,2,2,0,4,4,0,3
chr15:63532647-63537156,5,3,9,4,0,4,3,6,6,3,5,4,0,4,4,3,4,0,3,2,2,2,2,3,7,2,3,2,3,0
chr13:40940921-40943925,0,3,3,0,3,5,4,5,0,3,3,6,0,2,3,0,2,2,6,2,4,3,2,0,3,5,5,4,2,2
chr1:179120190-179121867,3,0,4,5,0,4,4,2,3,4,3,3,0,5,0,3,0,3,6,0,0,0,0,0,5,8,3,4,0,4
chr17:47361378-47379253,0,0,2,0,4,5,0,0,3,10,3,0,0,6,3,5,3,2,9,3,3,5,5,2,2,0,5,0,6,2
chr7:98190728-98194572,4,6,7,6,5,12,7,8,12,10,17,13,13,11,10,11,4,3,12,6,5,5,7,5,9,12,8,12,5,6
chr4:82878730-82881937,5,3,0,3,2,2,2,3,2,0,4,0,3,10,0,0,0,0,0,3,7,0,4,0,0,5,3,3,3,3
chr22:45689712-45702847,0,2,2,2,0,6,3,5,4,3,3,0,0,8,0,5,2,0,3,3,3,0,4,3,4,2,3,2,3,0
chr2:69337898-69338565,0,0,0,4,0,0,2,6,2,4,6,5,3,3,0,2,0,3,2,0,4,0,5,0,8,2,3,3,0,3
chr3:197865423-197875775,29,22,23,12,31,42,31,25,25,32,53,29,24,52,14,14,19,18,26,18,15,8,28,15,24,21,34,17,17,11
chr11:85996826-86003451,6,17,18,8,6,20,16,11,18,14,27,15,11,20,6,7,9,9,6,7,7,22,12,5,19,14,19,7,17,10
chrX:80288906-80310233,2,3,2,13,2,9,6,8,7,4,7,4,7,8,3,8,4,0,6,3,5,2,13,0,10,4,4,8,9,14
chr14:35126735-35180777,2,0,2,0,0,3,2,0,0,3,7,3,3,2,3,0,0,0,2,3,3,0,5,2,7,0,5,3,0,0
chr9:92256680-92269983,0,2,0,3,3,0,2,3,0,2,5,0,0,2,0,0,2,2,2,0,5,0,2,0,3,0,3,0,2,2
chr3:128806372-128807671,2,3,3,2,3,4,0,2,0,2,2,3,0,5,3,2,0,0,2,0,2,2,3,2,2,4,0,0,2,0
chr11:73707420-73718890,3,3,2,5,4,8,5,2,4,0,8,7,4,12,2,2,3,4,6,4,3,4,2,0,5,4,8,7,5,4
chr4:77773081-77776392,13,10,4,9,11,13,15,8,11,9,17,9,16,22,11,9,9,7,6,10,10,11,15,3,12,13,10,13,10,9
chr5:74745678-74750667,2,0,2,4,6,7,5,3,0,2,9,3,4,4,3,4,5,0,2,3,0,9,0,0,5,6,0,0,2,4
chr22:38494630-38501280,0,2,4,0,4,7,5,3,0,2,6,7,2,4,0,4,0,0,3,0,6,3,2,0,0,2,0,4,0,0
chr7:55982210-55983868,3,3,0,3,3,10,0,3,3,5,5,2,4,3,2,0,0,0,5,2,0,0,0,0,4,0,5,2,4,3
chr15:85113873-85117839,3,2,5,0,0,5,5,0,2,5,6,6,3,2,2,3,0,4,0,3,4,4,4,0,3,2,0,3,0,4
chr8:132722040-132757294,0,2,4,0,3,2,5,0,0,0,8,3,4,2,0,4,0,2,4,2,2,2,0,0,4,2,6,5,0,2
chr3:49967470-49975392,4,2,0,3,3,8,3,6,7,2,4,6,3,7,4,7,6,2,3,2,3,2,6,4,5,4,6,5,4,2
chr12:1027748-1028572,4,5,0,4,2,2,6,2,3,3,5,3,4,3,4,5,5,2,5,5,2,0,5,2,7,5,4,4,4,2
chr5:73058433-73077493,9,3,7,5,3,17,5,9,7,12,11,4,8,8,6,2,6,10,10,6,5,2,8,3,4,8,4,2,9,4
chr1:45566569-45567020,0,2,0,0,0,4,4,3,2,2,4,0,0,2,3,2,2,0,7,0,2,0,5,0,3,4,5,0,5,2
chr1:77711747-77715868,4,2,5,3,0,6,9,6,8,6,6,4,3,7,3,3,3,2,2,0,2,2,9,4,4,4,7,5,4,0
chr6:161048616-161049979,0,3,2,0,2,3,0,0,3,0,0,0,5,3,2,3,0,2,0,2,2,5,3,0,5,0,0,3,4,0
chr10:5794885-5800705,9,13,8,12,5,17,23,16,12,24,19,12,13,22,7,8,6,12,12,8,13,13,15,7,23,17,20,11,17,5
chr15:43398038-43401850,0,5,3,3,5,4,4,0,0,0,2,0,3,2,2,2,0,0,2,0,0,0,5,2,0,0,2,0,2,3
chr13:99238427-99244624,13,8,6,5,9,16,20,8,8,10,20,19,12,19,11,13,6,6,14,18,14,11,9,9,11,10,15,9,19,7
chr10:110881233-110890670,9,3,4,0,10,9,7,5,7,7,12,13,6,11,8,0,0,0,5,3,0,6,2,3,11,11,9,4,6,4
chr1:51827796-51834170,3,5,9,2,5,4,2,0,5,2,4,12,8,6,2,5,4,0,3,4,0,2,7,3,10,7,3,5,8,4
chr5:73078180-73082825,4,3,2,2,0,2,5,2,4,7,6,3,3,6,0,4,3,0,2,0,6,0,6,2,8,2,3,5,6,3
chr1:206935486-206937188,0,5,3,7,2,4,3,3,3,0,2,4,0,7,0,3,0,2,0,4,0,0,7,2,0,3,3,2,0,2
chr22:43039780-43046573,6,0,2,2,2,7,2,5,2,2,8,0,0,3,4,2,5,0,4,2,0,3,2,4,2,3,4,3,2,0
chr6:131145285-131169273,2,3,0,3,0,5,2,2,3,3,0,7,3,2,0,2,2,4,0,2,3,2,2,0,3,0,2,0,0,3
chr14:30715924-30734858,0,5,0,2,0,3,0,3,2,3,4,7,0,4,3,0,4,3,3,0,2,2,6,2,3,2,3,0,4,2
chr1:61694697-61696534,0,3,2,0,0,0,2,3,0,2,2,3,0,3,0,3,4,0,0,2,0,0,0,3,2,0,4,3,0,2
chr16:74459682-74463479,7,0,5,4,2,7,0,5,3,5,12,5,2,4,2,4,5,0,0,4,2,4,9,3,3,2,4,3,5,2
chr3:172251260-172310881,3,6,7,11,6,9,6,6,4,9,8,8,12,7,7,2,0,3,13,5,8,5,7,0,3,5,6,8,8,6
chr7:105073619-105078963,0,3,0,2,2,2,2,2,3,5,0,3,5,2,3,2,0,3,0,3,2,5,2,0,0,0,0,2,3,0
chr17:56848696-56856625,0,5,7,2,4,6,6,4,4,6,6,7,6,3,2,2,5,5,4,4,4,7,4,0,6,3,6,4,0,3
chr11:85974708-86031611,2,0,0,4,0,5,4,2,8,0,10,4,5,6,3,0,3,3,2,0,3,0,3,5,4,4,0,4,0,4
chr16:11020193-11126146,8,8,5,3,8,2,12,5,5,7,4,6,14,8,8,6,4,3,6,3,6,3,8,3,8,9,8,8,7,6
chr3:56627037-56628614,8,4,2,3,10,11,6,6,4,9,17,4,7,10,6,8,8,3,10,8,13,8,11,11,14,10,7,5,11,6
chr2:99169550-99171429,3,4,0,4,5,8,5,8,6,8,11,5,6,11,3,5,2,4,10,3,4,5,6,2,8,10,13,6,9,3
chr7:27785163-27800090,5,0,0,0,0,5,0,4,0,4,0,3,0,2,0,0,2,0,2,2,2,0,4,3,2,4,0,0,4,2
chr3:155829688-155834041,0,4,0,2,7,4,4,2,5,5,10,2,2,5,3,0,3,2,4,0,0,2,0,3,7,2,4,0,2,5
chr6:144781922-144803147,5,3,4,7,3,12,3,3,5,7,13,8,8,16,7,2,4,2,4,3,6,4,6,8,5,6,5,6,5,7
chr2:26364302-26375148,0,3,3,2,0,4,2,2,0,5,8,2,0,0,5,7,3,0,2,0,2,0,0,2,3,5,7,0,0,4
chr2:202755538-202759353,2,0,2,4,4,5,4,4,4,5,2,6,3,9,5,0,3,2,5,3,3,2,7,4,0,4,3,2,2,3
chrX:150736595-150737448,8,0,5,4,4,10,6,0,0,8,9,8,4,10,2,5,5,5,2,5,3,2,7,0,5,9,5,8,5,4
chr11:33286413-33287511,109,90,85,67,115,194,124,102,119,132,163,122,124,173,70,77,85,57,89,94,100,68,132,91,117,97,119,86,88,92
chr10:67988663-68014186,0,2,2,2,2,6,3,2,2,2,0,0,2,5,2,3,0,2,0,0,2,2,2,0,5,0,0,0,2,0
chr20:32366384-32371874,10,7,4,6,2,10,12,5,7,9,10,10,13,11,5,6,4,10,7,4,8,8,13,4,6,16,16,9,5,7
chr12:128814775-128815070,3,2,3,3,6,9,8,2,2,5,11,12,0,6,4,5,3,2,7,0,5,3,6,2,7,6,6,5,3,0
chr3:134175609-134195182,4,2,3,3,2,5,2,6,0,2,7,2,2,3,2,4,2,3,2,3,0,4,3,5,2,0,4,6,0,2
chr6:87215903-87218731,13,12,18,15,18,30,18,15,21,25,27,18,20,40,14,11,13,14,10,7,20,27,20,15,27,10,28,13,29,21
chr7:11061791-11111467,0,2,3,4,0,0,2,5,0,2,2,2,0,0,2,0,0,2,2,0,3,0,2,0,2,4,0,0,2,0
chr2:109564366-109593119,7,0,6,4,8,8,12,2,4,8,12,4,6,10,3,4,4,3,7,2,5,3,2,3,10,6,9,2,0,4
chr12:116096669-116111512,4,3,3,6,5,9,8,10,10,6,13,12,4,11,7,3,6,4,8,8,3,5,7,0,4,7,11,9,6,3
chrX:107840670-107854704,3,2,6,6,6,6,4,0,4,0,4,0,3,4,2,5,3,0,3,2,4,0,2,2,4,2,0,0,0,3
chr5:61472681-61473037,4,4,4,4,3,16,10,9,3,5,18,3,15,10,5,8,4,2,6,6,3,3,8,4,7,3,8,4,6,7
chr3:183643480-183651276,0,4,5,8,11,7,10,0,4,7,4,5,5,14,3,4,3,6,6,6,7,3,7,0,7,2,4,2,5,0
chr3:57242856-57248351,9,2,0,0,3,5,3,4,8,6,7,3,2,3,3,8,4,4,3,4,4,0,2,6,8,5,3,7,3,3
chr1:172555869-172557794,4,4,3,0,3,0,2,0,0,5,8,0,2,5,2,0,0,3,3,7,3,0,7,3,8,2,3,0,0,2
chr19:12679457-12680325,0,0,0,0,0,4,4,4,2,0,4,3,2,4,2,4,2,0,0,0,0,0,0,2,0,3,2,4,2,2
chr7:70762870-70771644,4,4,3,0,0,4,2,0,3,2,3,3,4,5,3,0,0,3,6,6,3,0,2,0,3,5,0,0,0,0
chr3:71041328-71053773,27,18,12,9,12,6,18,15,11,20,21,20,11,19,7,9,14,12,22,14,11,7,10,4,25,26,20,9,13,8
chr19:23831597-23833112,0,5,0,3,0,2,2,4,0,0,9,3,5,5,2,7,0,0,4,6,0,4,5,6,0,0,3,2,0,7
chr14:50150008-50153173,3,3,0,0,2,2,4,2,2,2,0,3,0,4,3,0,2,2,3,3,0,2,5,3,0,2,0,0,0,2
chr11:119273868-119274953,0,2,0,2,2,0,4,4,2,2,6,3,3,0,3,2,0,0,3,2,2,4,3,3,7,3,6,0,0,0
chr8:116655856-116658980,2,5,0,0,2,3,4,3,0,3,5,3,0,3,2,0,0,0,0,3,0,3,3,0,2,3,2,3,2,0
chr1:70292388-70315566,5,0,3,4,8,13,3,5,7,13,11,7,5,12,3,10,5,5,7,5,2,3,0,5,11,5,10,11,10,11
chr11:108301648-108304852,0,0,2,0,2,0,0,0,3,6,2,2,2,4,0,2,5,2,2,0,0,3,0,3,2,0,2,3,0,0
chr2:44209210-44218537,2,2,4,3,3,4,5,7,5,9,11,2,4,6,0,3,8,5,5,2,3,3,9,2,6,4,4,5,3,6
chr5:61472681-61494410,0,3,6,4,2,4,2,2,2,11,3,3,4,9,0,4,3,2,2,2,2,0,3,0,6,0,2,2,0,3
chrX:148661908-148662768,2,2,0,2,3,6,2,0,2,3,2,0,2,14,0,5,3,0,0,2,3,2,7,0,0,3,3,3,2,0
chr9:19286769-19305527,5,3,2,0,2,3,0,2,2,0,3,4,5,3,3,0,4,3,2,3,4,0,0,0,2,4,5,2,0,0
chr2:61112522-61118116,4,4,2,3,5,2,2,3,2,3,3,3,4,8,0,0,3,0,2,2,4,3,0,3,6,6,5,3,4,2
chr5:84060300-84066606,8,4,6,5,9,15,10,14,6,14,31,13,12,19,10,8,7,3,7,5,5,20,10,5,14,6,14,4,15,12
chr15:51451645-51453641,2,0,2,0,0,5,2,3,0,4,3,2,2,2,0,3,0,3,6,2,2,0,0,0,3,0,6,2,2,3
chr16:19616114-19647882,4,4,8,2,6,8,3,0,5,3,3,3,3,6,4,5,4,2,4,4,6,0,4,2,4,6,0,2,4,3
chr3:37121492-37149038,2,0,0,3,3,2,3,3,0,2,4,2,0,0,0,0,0,0,2,0,0,2,5,2,2,2,3,2,0,4
chr4:38089932-38103157,13,6,9,4,6,6,10,0,12,7,12,14,9,12,5,4,15,5,9,3,4,0,10,3,7,7,7,15,5,8
chr13:77719532-77753358,0,3,0,5,4,12,3,5,4,5,6,3,3,6,3,0,3,3,6,3,5,0,2,0,2,4,6,6,3,0
chr1:155676548-155679512,57,30,41,20,35,86,58,50,31,58,97,95,77,59,40,35,43,45,64,29,34,52,15,31,51,44,96,28,59,45
chr1:151166934-151167414,3,4,0,2,2,2,7,4,6,4,4,8,5,3,2,0,0,3,4,0,2,2,4,0,5,6,7,2,4,0
chr12:50427762-50429090,0,2,0,3,0,0,2,4,0,4,0,4,0,0,3,2,0,0,7,6,5,4,2,2,0,0,5,4,0,5
