ID,X1032245.N_bwa.ciri2,X1039868.N_bwa.ciri2,X1042353.N_bwa.ciri2,X1042745.N_bwa.ciri2,X1043773.N_bwa.ciri2,X1045386.N_bwa.ciri2,X1045549.N_bwa.ciri2,X1046191.N_bwa.ciri2,X1046287.N_bwa.ciri2,X1046349.N_bwa.ciri2,X1046499.N_bwa.ciri2,X1047291.N_bwa.ciri2,X1047831.N_bwa.ciri2,X1047912.N_bwa.ciri2,X1048720.N_bwa.ciri2,X1049983.N_bwa.ciri2,X1050700.N_bwa.ciri2,X1051316.N_bwa.ciri2,X1054390.N_bwa.ciri2,X1056166.N_bwa.ciri2,X272577.N_bwa.ciri2,X451368.N_bwa.ciri2,X477022.N_bwa.ciri2,X515975.N_bwa.ciri2,X522638.N_bwa.ciri2,X548142.N_bwa.ciri2,X649867.N_bwa.ciri2,X685749.N_bwa.ciri2,X843725.N_bwa.ciri2,X99272.N_bwa.ciri2,,CircRNACount.1032245.N,CircRNACount.1039868.N,CircRNACount.1042353.N,CircRNACount.1042745.N,CircRNACount.1043773.N,CircRNACount.1045386.N,CircRNACount.1045549.N,CircRNACount.1046191.N,CircRNACount.1046287.N,CircRNACount.1046349.N,CircRNACount.1046499.N,CircRNACount.1047291.N,CircRNACount.1047831.N,CircRNACount.1047912.N,CircRNACount.1048720.N,CircRNACount.1049983.N,CircRNACount.1050700.N,CircRNACount.1051316.N,CircRNACount.1054390.N,CircRNACount.1056166.N,CircRNACount.272577.N,CircRNACount.451368.N,CircRNACount.477022.N,CircRNACount.515975.N,CircRNACount.522638.N,CircRNACount.548142.N,CircRNACount.649867.N,CircRNACount.685749.N,CircRNACount.843725.N,CircRNACount.99272.N,
chr19:14402597-14404562,2,0,2,0,3,0,2,4,0,2,3,3,3,4,0,0,3,0,0,2,0,3,3,0,0,4,3,0,0,7,1.766666667,2,0,1,1,3,0,2,3,0,2,3,3,3,4,0,1,3,0,0,2,1,2,2,0,1,4,1,1,1,7,1.766666667
chr12:45926142-45928859,5,8,3,4,6,3,8,5,3,3,7,7,4,3,2,9,3,2,3,11,4,5,11,3,2,8,5,4,4,8,5.1,4,4,2,2,3,3,6,3,3,3,5,3,2,2,1,6,3,2,2,12,3,2,7,3,2,6,3,4,3,4,4.362295082
chr1:119755427-119759989,3,5,4,7,0,2,3,5,7,4,2,0,3,5,0,4,2,0,5,3,2,0,6,6,4,5,3,3,0,10,3.433333333,1,3,1,5,0,0,1,4,3,3,1,0,2,3,1,2,1,0,3,2,2,1,3,3,3,2,1,1,0,5,2.679234973
chr15:50586392-50592626,5,2,2,0,2,3,3,3,2,3,3,3,0,0,4,2,4,2,4,0,0,0,3,0,0,3,0,0,3,3,1.966666667,4,2,2,0,2,3,3,3,2,2,3,3,0,1,3,2,4,1,4,1,1,1,2,1,0,3,1,0,2,3,1.966666667
chr12:69589485-69593613,4,3,0,4,7,5,13,4,3,3,6,5,2,5,0,11,5,3,6,0,3,3,2,5,3,3,5,5,6,6,4.333333333,4,1,1,3,6,3,12,3,2,1,1,3,1,1,0,9,4,2,4,1,2,1,1,4,2,2,3,3,6,4,3.677595628
chr1:230663141-230675124,0,2,2,0,2,2,4,0,0,0,3,2,0,2,2,2,0,2,2,2,2,0,3,0,0,4,0,0,3,2,1.433333333,0,2,1,0,2,1,3,1,1,0,2,1,0,2,2,2,0,2,2,2,2,0,3,1,0,4,0,1,2,2,1.400546448
chr7:155665175-155680908,0,0,2,2,6,9,5,6,6,3,6,4,5,4,2,3,0,6,5,4,6,8,0,5,2,6,6,5,2,5,4.1,1,0,2,2,5,6,4,3,5,3,4,1,4,2,2,3,1,5,5,3,6,6,0,3,2,4,5,5,0,4,3.657377049
chr4:75790150-75790797,2,3,3,0,3,0,2,0,4,0,2,4,4,0,0,0,2,0,3,2,0,2,0,2,0,5,0,3,2,4,1.733333333,2,2,2,0,2,1,1,0,3,0,2,3,4,0,1,1,2,1,2,2,0,2,1,2,1,5,0,3,2,4,1.716939891
chr11:73707420-73718718,17,14,9,4,13,19,25,14,13,8,21,25,15,17,3,15,16,14,18,14,11,21,20,10,13,16,17,21,12,28,15.43333333,12,13,9,2,9,14,20,13,11,8,17,22,15,13,3,15,12,14,15,13,10,18,16,9,9,14,13,21,9,18,14.18743169
chr13:21167988-21168399,15,7,7,0,8,9,8,4,8,4,6,3,7,2,0,10,4,0,9,2,3,5,6,8,9,11,9,5,6,9,6.133333333,11,5,2,1,6,6,4,3,3,3,3,3,4,1,0,5,3,1,2,1,1,4,4,5,7,6,7,4,6,6,5.034972678
chr17:12054889-12081530,5,4,3,0,2,17,4,4,4,0,7,0,0,0,0,6,0,3,0,0,3,5,6,6,6,0,6,3,5,8,3.566666667,7,5,3,2,1,18,2,0,0,0,6,4,1,4,1,4,0,6,4,4,1,4,7,8,5,4,5,1,8,5,3.779781421
chr2:40428473-40430304,22,11,22,15,28,27,50,11,27,17,33,30,15,16,34,22,21,17,17,26,17,14,26,29,10,30,15,20,13,50,22.83333333,14,6,18,13,22,21,33,8,20,10,30,25,14,13,23,16,14,13,10,17,14,8,19,17,5,23,13,16,10,45,19.96448087
chr6:160046498-160048543,5,2,4,2,2,5,9,4,6,7,3,4,9,8,6,9,4,4,12,6,3,7,8,8,6,6,3,3,7,7,5.633333333,4,1,2,2,2,5,3,4,4,5,2,2,6,6,2,5,3,3,9,4,2,4,5,4,3,5,3,1,5,4,4.666120219
chr9:112250929-112252788,2,0,0,2,2,0,3,0,3,3,3,3,2,2,0,2,4,0,0,3,0,0,2,0,4,2,0,4,0,4,1.666666667,2,0,0,1,2,1,3,0,1,3,2,3,2,1,1,2,3,1,0,2,1,0,2,0,3,2,1,3,0,3,1.584699454
chr1:65364635-65366196,6,5,2,4,9,5,8,2,3,0,4,3,0,3,2,4,4,4,4,7,3,2,5,0,2,2,4,4,3,6,3.666666667,2,3,2,3,7,3,7,2,3,0,4,2,0,2,2,4,3,4,4,3,2,0,3,1,0,2,4,4,2,5,3.224043716
chr2:190900564-190924593,14,14,12,11,14,18,23,4,19,8,14,12,17,15,7,19,5,11,7,4,6,6,23,7,5,10,4,13,18,20,12,4,8,10,5,8,1,11,2,10,4,5,5,8,5,1,10,5,3,3,2,1,5,14,5,0,1,0,7,12,13,8.852459016
chr5:145764931-145826200,7,13,10,7,5,8,11,5,8,7,16,9,5,5,2,17,5,11,11,8,5,5,20,3,4,16,10,5,3,10,8.366666667,4,10,7,4,4,6,5,5,5,4,7,6,2,3,2,13,3,7,7,5,4,2,14,3,3,11,8,5,1,5,6.956830601
chr8:18799295-18804898,0,18,16,0,20,20,34,14,31,26,14,27,16,16,29,35,15,12,25,18,12,17,28,24,0,20,21,15,9,35,18.9,0,8,2,0,5,5,24,4,6,20,5,8,13,3,20,10,12,1,11,9,10,4,6,14,0,11,5,9,6,15,13.63770492
chr2:40428473-40430301,0,0,4,0,2,2,7,0,2,0,4,2,2,2,8,3,3,2,0,0,0,3,6,2,0,0,2,2,6,6,2.333333333,1,0,2,1,2,2,5,0,2,1,2,2,1,1,6,2,2,2,1,0,1,3,4,2,1,2,2,1,4,4,2.153005464
chr2:64551443-64553409,4,4,0,2,0,5,2,0,6,3,3,2,3,6,0,2,3,0,6,3,0,2,5,2,0,3,4,2,5,0,2.566666667,4,4,1,2,0,4,3,0,4,2,1,2,3,5,0,0,2,0,6,2,1,2,4,2,1,0,3,2,5,0,2.369945355
chr19:8455405-8463686,8,2,7,6,5,7,14,5,2,6,14,12,3,4,7,4,2,6,9,9,7,13,11,8,9,7,7,7,7,6,7.133333333,3,1,2,3,4,5,7,1,1,6,1,8,2,3,3,2,2,3,4,4,3,7,6,5,4,1,3,3,3,4,5.330054645
chr1:77717867-77725762,3,7,0,2,0,4,5,0,0,4,0,5,8,0,0,12,5,2,2,6,0,2,3,4,5,6,0,3,2,7,3.233333333,1,6,1,2,1,4,3,1,2,3,0,3,7,0,2,10,3,2,2,6,0,3,3,2,4,6,0,3,1,6,3.069398907
chr6:7176655-7189322,20,24,18,25,22,23,33,21,18,27,18,35,16,32,15,22,14,14,24,30,12,18,29,16,21,33,27,25,23,40,23.16666667,15,1,1,18,20,17,1,14,3,24,1,30,16,28,9,1,11,10,1,23,11,1,1,12,17,1,20,21,16,29,17.88797814
chr1:32030298-32033334,2,3,2,0,4,3,8,2,3,2,3,0,0,4,3,5,0,0,3,3,0,0,6,4,2,5,0,4,2,4,2.566666667,2,2,2,0,2,3,7,1,3,2,2,1,1,2,3,5,0,1,2,3,0,1,6,3,2,4,1,4,1,2,2.419125683
chr18:58918271-58920633,5,4,0,5,7,5,8,3,3,0,2,5,6,4,10,5,3,3,0,3,3,3,5,3,3,3,5,2,2,7,3.9,4,0,1,5,4,4,5,3,3,1,2,4,3,3,5,2,2,2,0,3,1,2,2,2,1,1,3,2,1,4,3.21147541
chr5:74745678-74750667,0,4,2,0,6,4,10,3,4,3,8,0,2,5,4,4,5,2,2,3,0,0,4,3,3,5,5,4,2,5,3.4,0,0,1,0,2,2,8,1,4,3,4,1,1,3,3,4,2,1,2,2,1,1,1,3,2,5,4,3,1,4,2.859016393
chr9:37126312-37127263,3,4,0,2,3,7,10,0,5,0,4,7,3,0,4,4,4,6,0,4,2,2,7,4,2,3,3,4,3,6,3.533333333,3,2,1,2,3,5,1,1,4,0,4,5,3,0,1,3,3,5,1,2,2,1,4,2,2,2,3,2,2,6,3.025136612
chr7:35667434-35673278,5,6,8,4,6,14,15,17,9,7,13,13,10,6,6,5,5,9,6,8,5,3,12,2,7,17,7,9,9,13,8.533333333,3,5,6,3,5,13,11,13,8,4,11,11,9,5,4,4,4,8,4,6,3,3,9,1,4,11,6,7,8,10,7.598907104
chr12:32598497-32601423,3,5,2,0,2,0,4,8,6,0,0,8,2,5,2,4,2,3,5,6,5,4,4,3,0,5,3,3,3,5,3.4,3,3,2,0,1,1,4,7,4,1,0,4,2,3,1,3,2,1,4,5,5,3,2,3,0,2,3,3,3,5,3.039344262
chr1:213077696-213117410,2,4,3,0,3,6,2,0,3,0,4,6,3,3,2,4,2,2,2,0,3,4,4,0,3,3,3,3,4,11,2.966666667,2,1,3,1,3,3,2,0,2,1,4,6,1,2,1,3,2,1,2,2,2,3,4,1,2,3,3,3,3,10,2.753551913
chr3:111913319-111920419,4,5,3,2,6,8,4,3,4,3,3,3,3,2,9,9,6,3,4,5,0,4,2,2,5,6,6,6,0,8,4.266666667,2,4,2,2,6,5,3,3,4,3,3,3,3,2,8,6,3,1,1,4,0,4,1,2,3,3,6,3,0,8,3.774863388
chr5:128138597-128152805,3,0,4,2,7,5,4,3,2,3,2,0,8,0,0,8,4,2,3,6,0,2,4,3,2,0,2,2,0,11,3.066666667,2,1,4,1,6,3,4,2,2,2,2,1,7,1,0,7,3,2,3,3,0,1,4,2,2,1,1,1,0,9,2.820765027
chr17:42727635-42730918,0,3,2,0,2,2,11,2,2,2,0,2,4,2,2,4,5,2,3,4,0,0,2,3,2,0,3,3,6,4,2.566666667,0,3,1,0,2,1,10,1,0,1,1,1,3,2,2,2,5,2,3,3,1,0,1,2,1,0,3,2,4,3,2.287978142
chr19:3660966-3662001,3,4,0,0,2,0,8,0,3,2,2,2,3,2,2,4,4,0,4,6,0,2,5,0,0,0,8,0,3,0,2.3,2,4,0,0,1,1,6,0,3,2,2,1,3,2,2,2,3,0,4,5,0,0,3,0,1,0,5,1,2,1,2.086885246
chr9:33351560-33352719,6,9,4,2,6,5,13,4,3,4,4,11,5,5,3,7,2,5,6,10,2,4,5,4,4,8,6,3,4,6,5.333333333,4,7,4,2,5,5,10,2,1,3,4,11,3,5,3,6,0,4,4,5,2,1,4,3,4,5,3,1,2,3,4.612021858
chr11:119284969-119285566,2,2,0,0,3,3,3,3,0,3,0,3,2,2,5,0,2,3,3,3,0,5,6,4,0,2,2,2,0,3,2.2,1,2,0,1,2,3,2,3,1,3,0,2,2,2,4,0,1,2,2,3,1,2,2,3,1,2,2,1,0,2,1.970491803
chr19:18537601-18538436,7,10,12,8,26,20,22,7,15,13,9,17,15,12,16,21,10,5,9,19,10,11,15,9,10,19,15,11,15,17,13.5,4,7,9,8,18,13,14,4,11,9,9,10,11,9,10,16,7,4,3,10,8,7,8,9,7,14,11,8,12,14,11.51639344
chr2:196912882-196922186,0,0,0,2,2,3,2,6,4,0,3,5,3,0,3,4,0,0,3,3,0,2,2,4,3,7,5,2,2,6,2.533333333,1,0,0,2,0,3,1,4,2,0,3,4,2,1,1,3,1,0,3,2,1,1,2,2,1,5,4,1,2,4,2.205464481
chr10:113876521-113884380,3,0,3,2,3,7,2,0,5,0,0,3,3,2,2,0,5,0,0,2,2,2,4,0,0,3,0,0,4,0,1.9,1,1,3,2,2,5,2,1,5,0,1,3,2,2,2,0,3,1,0,2,2,2,4,0,1,2,0,1,3,1,1.850819672
chr9:16435555-16437524,4,3,4,4,9,14,9,5,5,5,6,5,5,6,25,8,15,3,9,8,8,2,7,2,6,3,3,2,4,11,6.666666667,3,3,3,2,6,13,9,4,3,3,3,5,4,2,16,8,9,3,7,4,8,2,4,2,5,2,2,1,4,7,5.797814208
chr8:18867674-18872733,7,3,5,4,6,6,21,4,3,4,3,7,6,6,3,7,0,3,6,5,7,3,8,5,3,3,6,6,6,4,5.333333333,4,1,4,3,5,3,17,4,1,1,2,3,3,4,1,3,1,2,5,3,3,2,2,2,2,2,4,2,3,3,4.267759563
chr14:30670256-30675065,4,4,5,0,5,9,5,5,8,2,4,6,0,4,4,6,7,3,6,7,5,9,7,2,4,14,4,6,7,8,5.333333333,1,3,4,1,2,5,4,4,7,1,4,5,1,4,4,5,4,3,6,5,5,7,3,1,3,11,3,5,4,6,4.693989071
chr14:76166663-76195972,2,0,0,0,5,0,6,0,3,2,0,4,0,0,3,2,0,2,0,8,2,2,4,0,0,5,5,3,2,2,2.066666667,2,0,0,1,5,1,5,1,1,2,0,3,1,1,2,2,0,1,0,3,2,2,2,1,0,5,4,2,2,2,1.919125683
chr4:51863437-51877854,4,4,8,0,3,12,11,8,3,5,7,8,5,5,4,9,13,2,5,6,6,3,7,7,7,12,7,6,11,10,6.6,3,4,5,1,3,9,10,7,3,4,7,8,5,5,3,6,11,1,5,4,6,2,6,1,5,9,4,5,10,7,5.960655738
chr5:123545417-123557564,87,104,70,72,87,130,96,48,73,81,70,103,81,84,41,97,83,53,79,73,56,58,112,70,66,99,72,67,88,152,81.73333333,1,71,51,57,65,97,70,40,54,63,56,69,1,60,27,72,59,39,49,54,41,45,83,1,41,67,48,47,66,1,66.04480874
chr4:150415438-150491035,3,2,0,4,6,8,3,0,4,3,4,0,5,3,6,0,4,3,5,5,3,2,2,0,2,2,2,0,5,3,2.966666667,1,1,0,2,4,3,3,0,2,3,4,1,5,3,2,0,3,2,5,4,1,1,1,0,2,1,2,0,4,2,2.524043716
chr12:116230433-116237705,3,2,2,0,4,8,7,6,5,0,3,2,2,6,0,3,9,5,7,4,6,4,8,9,3,10,2,6,5,4,4.5,3,1,1,1,3,4,5,5,2,1,2,1,1,3,1,2,7,4,5,2,5,3,3,6,1,5,1,4,4,3,3.745901639
chr7:140702866-140704963,0,2,0,4,2,3,0,6,2,0,0,0,6,0,0,2,2,2,0,3,0,4,0,3,2,2,0,5,4,8,2.066666667,0,1,0,4,2,2,0,1,1,0,1,2,4,0,0,2,2,2,0,3,1,4,1,3,2,2,1,4,4,7,1.968306011
chr4:61934840-62044549,6,4,7,4,14,12,5,9,0,6,9,8,8,0,12,6,0,6,5,8,3,3,3,4,0,4,2,5,4,9,5.533333333,4,2,4,3,12,11,0,7,1,3,8,7,7,0,2,5,0,6,2,7,1,1,1,2,0,2,1,4,4,9,4.713661202
chr2:106158058-106166083,5,8,5,7,6,13,7,2,5,6,12,9,5,7,3,7,10,7,6,4,3,6,12,6,5,7,9,8,6,15,7.033333333,2,2,0,4,4,7,4,1,0,4,4,7,2,3,1,2,6,0,2,2,2,4,7,2,0,3,5,4,5,7,5.148087432
chr3:130930416-130941699,5,2,0,4,2,5,7,2,0,4,0,2,7,4,3,0,4,4,2,0,0,2,2,0,2,0,0,3,5,8,2.633333333,4,2,0,3,2,5,5,2,1,3,1,1,5,4,2,1,3,2,1,1,0,1,2,1,0,1,1,1,2,8,2.403825137
chr21:29326059-29329693,0,2,2,5,0,3,3,0,0,0,3,0,2,2,0,0,0,2,4,4,3,0,0,2,3,2,0,2,5,8,1.9,0,2,2,4,1,1,3,1,1,1,2,1,2,2,1,0,1,2,4,4,3,0,1,2,1,2,0,2,4,8,1.916393443
chr2:176296860-176337577,6,6,7,5,6,9,7,4,3,10,8,6,5,7,8,6,3,2,5,11,2,8,4,5,5,6,8,5,5,8,6,2,2,3,3,1,0,1,1,1,4,3,4,3,3,2,4,2,0,1,2,1,4,2,2,1,2,4,1,0,2,4.049180328
chr16:53873786-53888951,7,14,13,8,14,17,15,13,8,8,14,23,16,17,10,10,14,9,9,24,11,16,9,9,20,11,14,16,15,22,13.53333333,5,12,11,7,11,17,11,13,6,8,12,18,13,15,8,9,10,6,8,1,8,14,8,1,17,8,12,12,12,17,11.95956284
chr1:155853276-155853806,15,18,10,8,11,11,22,8,13,13,8,5,12,9,7,10,12,7,8,13,14,5,17,12,19,11,8,10,17,15,11.6,13,11,10,5,6,7,15,5,8,11,7,5,7,5,6,5,10,2,7,8,12,3,11,9,15,6,5,9,10,10,9.878688525
chr16:69695136-69695379,0,0,0,3,5,6,5,0,2,2,0,4,0,4,3,2,4,3,2,2,0,3,5,4,0,3,3,2,3,3,2.433333333,1,1,0,3,5,4,5,1,2,2,1,4,1,3,2,2,4,3,0,2,1,3,4,3,1,3,2,1,3,3,2.384153005
chr1:23030469-23050520,8,9,5,6,7,9,13,6,13,8,16,6,14,9,10,13,14,6,3,7,9,11,15,9,9,13,13,7,12,19,9.966666667,5,6,3,4,6,8,11,4,11,7,11,4,13,6,8,11,6,5,1,4,1,8,11,3,4,10,6,4,8,15,8.409289617
chr16:29833733-29834066,8,6,4,3,5,2,7,4,3,0,5,8,7,6,5,8,2,7,4,2,0,5,4,8,2,5,3,0,5,8,4.533333333,7,6,3,3,3,2,6,2,2,0,4,6,1,5,4,6,2,6,4,1,1,3,3,6,2,4,3,1,5,8,4.090710383
chr4:6994184-7001251,3,2,0,2,0,5,9,3,5,2,3,6,5,4,0,2,0,0,3,4,7,0,5,3,5,7,2,4,5,6,3.4,2,2,0,2,0,4,5,3,2,1,3,3,5,3,0,1,0,0,1,2,5,1,3,1,3,5,2,4,2,3,2.842622951
chr11:120473050-120477526,4,0,0,2,7,4,6,4,3,6,3,0,0,6,0,3,2,4,3,2,2,0,3,3,0,4,3,3,2,5,2.8,3,0,1,2,7,2,3,1,2,5,3,0,1,5,0,3,2,2,2,1,1,1,2,1,1,4,2,2,1,3,2.455737705
chr8:140347757-140360193,0,0,0,0,4,3,5,0,2,3,0,4,4,4,0,0,2,3,0,2,5,4,3,0,2,4,5,3,2,2,2.2,1,0,1,0,4,2,4,1,1,3,1,3,2,2,1,1,1,3,0,2,5,2,3,0,2,2,2,2,1,2,2.003278689
chr2:88857271-88857415,13,10,10,19,17,12,8,7,2,0,10,37,11,12,2,5,4,6,9,13,6,10,23,0,5,17,9,8,9,26,10.66666667,6,5,8,13,8,6,7,4,1,1,5,20,5,5,1,1,2,3,4,7,3,7,17,0,0,13,5,4,5,13,8.355191257
chr1:117402186-117414831,14,13,6,5,13,15,25,14,12,10,18,24,17,19,5,12,25,21,11,14,15,26,18,17,10,18,12,12,12,23,15.2,10,11,3,2,11,11,3,10,10,9,1,21,9,16,3,1,1,19,9,12,1,2,13,3,9,2,1,11,9,16,11.64262295
chr12:122340753-122341697,9,5,0,4,6,9,9,4,4,5,9,8,6,3,6,7,7,0,9,6,6,0,8,7,7,8,6,3,7,8,5.866666667,8,5,1,2,5,6,7,5,4,4,7,7,4,3,6,4,6,0,7,2,6,1,6,6,4,6,2,2,6,6,5.243715847
chrX:150793691-150816078,0,2,0,0,6,3,5,4,2,0,4,4,4,4,2,4,5,3,2,6,3,0,6,2,2,5,4,2,5,0,2.966666667,0,1,0,1,4,2,3,2,1,1,3,3,4,3,1,2,3,1,1,3,2,0,5,2,2,3,1,1,3,0,2.458469945
chr7:92294889-92307656,3,6,6,0,0,6,15,2,2,5,7,5,0,2,2,4,0,3,5,6,0,0,4,3,2,0,5,4,6,7,3.666666667,3,5,4,1,0,1,1,1,1,4,7,5,0,1,1,3,1,3,1,6,1,0,4,3,2,1,5,4,3,7,3.158469945
chr5:176943335-176958154,21,24,12,17,23,27,45,11,11,16,15,21,25,19,26,21,22,10,16,25,12,22,41,13,26,20,20,20,13,40,21.13333333,15,11,8,11,14,19,28,6,9,12,14,12,19,10,17,12,13,6,12,14,9,14,28,10,12,14,14,14,12,26,17.5431694
chr6:13632370-13644729,3,7,4,9,12,11,17,9,10,4,10,9,17,9,3,14,10,3,8,5,7,8,15,9,10,8,6,6,6,12,8.7,3,6,4,8,10,6,11,6,8,3,6,6,13,8,2,11,9,2,7,5,6,6,12,8,8,6,5,5,6,11,7.814754098
chr12:69251129-69262562,0,3,3,3,4,3,7,5,6,4,13,5,7,7,4,6,7,3,13,5,3,5,6,5,6,9,5,12,0,11,5.666666667,1,2,3,3,1,2,6,5,4,2,9,4,6,4,3,6,5,3,11,3,2,4,6,5,6,1,3,9,1,11,5.027322404
chr10:32543300-32584304,7,5,4,6,7,12,5,0,7,3,9,9,0,4,0,3,7,4,3,3,0,7,4,5,9,5,3,10,7,14,5.4,4,2,1,4,3,3,1,0,4,2,6,3,0,2,0,1,2,1,2,1,1,6,1,4,4,2,2,3,3,4,3.924590164
chr14:73147795-73148094,9,0,3,3,5,4,10,0,6,3,5,7,4,10,0,6,8,2,3,7,2,2,11,4,6,7,5,4,5,7,4.933333333,6,0,3,2,3,3,6,0,5,2,0,6,3,7,1,3,7,1,3,6,0,2,10,2,5,4,4,1,3,6,4.212021858
chr10:124681607-124682379,8,5,7,5,11,6,17,6,4,8,11,8,8,2,5,8,5,3,7,6,9,6,7,10,0,10,10,2,7,5,6.866666667,8,4,6,5,6,6,12,4,4,7,9,5,7,2,4,4,5,3,5,4,8,6,6,9,0,9,10,2,6,3,6.26010929
chr2:47378953-47379969,17,8,9,5,8,12,15,11,9,3,14,12,8,14,3,13,4,6,8,8,6,9,10,9,6,18,7,6,7,17,9.4,9,5,6,4,7,8,9,9,6,3,11,7,6,6,0,10,2,3,4,5,5,6,8,1,5,15,6,4,5,14,7.875409836
chr9:5968019-5988545,3,4,2,3,3,5,5,2,7,5,5,6,5,4,6,4,7,3,0,7,7,4,2,2,4,2,7,2,2,3,4.033333333,1,2,2,2,1,3,3,2,5,2,5,3,2,3,4,4,3,2,0,3,6,3,2,2,2,1,3,1,2,2,3.295628415
chr18:49363161-49379758,8,6,0,3,10,8,5,2,0,2,4,3,8,6,0,7,3,0,3,3,0,3,4,5,0,0,4,8,4,10,3.966666667,4,5,0,3,8,6,4,2,1,2,2,3,8,3,1,5,2,0,1,2,1,2,4,2,0,1,2,6,2,9,3.507650273
chr21:36338779-36344707,10,6,4,7,16,16,17,9,17,6,10,9,8,15,12,22,22,15,14,12,13,10,10,15,7,18,7,6,18,19,12.33333333,10,6,1,4,11,12,16,9,13,6,7,8,5,12,8,16,16,10,10,10,12,7,7,10,6,10,6,5,15,12,10.8579235
chr5:177619078-177632738,3,4,2,3,0,0,0,2,4,3,6,2,2,3,0,5,3,0,2,0,0,5,9,2,4,0,3,0,4,2,2.433333333,1,3,1,3,1,1,1,1,3,2,3,1,2,3,2,5,1,1,2,0,0,4,5,1,4,1,3,0,2,2,2.203825137
chr15:75411492-75413045,5,6,2,0,6,2,9,3,2,5,6,0,3,3,0,4,0,0,6,4,0,5,3,2,0,6,5,4,5,8,3.466666667,4,6,2,1,2,1,4,2,0,3,6,1,3,3,1,3,0,0,4,3,0,4,3,2,0,5,4,3,4,5,3.056830601
chr17:2394043-2395454,2,6,3,0,0,0,4,2,2,0,0,0,0,0,3,3,0,2,6,2,3,3,0,0,2,2,2,2,3,0,1.733333333,2,6,2,0,1,1,4,2,2,1,0,1,0,1,3,3,2,2,5,2,3,3,1,1,2,2,2,2,2,1,1.848087432
chr11:34957384-34978182,7,4,7,0,9,10,3,10,7,6,9,10,5,5,5,3,7,5,6,2,6,8,10,9,7,9,5,9,7,11,6.7,2,2,4,0,3,9,3,4,4,3,4,1,3,1,2,2,2,3,5,0,2,3,4,1,0,3,2,6,5,5,4.847540984
chr3:15411245-15415942,3,2,2,2,2,3,3,3,0,3,2,7,2,4,2,3,0,0,0,2,0,0,0,3,0,4,0,3,5,9,2.3,3,2,1,2,1,3,1,3,1,3,2,6,1,4,1,3,0,0,1,2,1,1,1,3,1,3,0,2,5,8,2.23442623
chr1:42265115-42311110,8,8,3,6,8,16,7,10,7,7,6,3,0,4,0,11,8,7,4,11,2,2,7,5,6,10,3,3,2,11,6.166666667,5,5,2,3,4,14,4,3,2,2,4,1,1,3,0,8,3,4,2,7,0,1,2,3,3,7,1,2,0,8,4.838797814
chr9:14146689-14179780,2,2,0,0,3,4,4,0,0,0,5,3,5,3,4,8,5,0,6,2,2,0,5,4,2,4,3,5,0,7,2.933333333,2,0,0,1,3,1,4,0,0,0,3,3,3,1,3,3,4,0,5,0,1,0,2,2,2,2,2,5,1,4,2.425136612
chr10:48401612-48410168,4,9,9,8,12,13,10,2,3,7,8,10,3,5,8,9,7,5,4,9,0,2,9,4,4,6,3,8,9,6,6.533333333,3,8,6,7,8,8,7,1,2,7,4,8,3,5,9,7,5,4,2,7,1,1,6,4,4,4,2,3,7,1,5.680874317
chr12:116236821-116237705,7,3,2,0,4,11,8,0,11,5,5,7,6,2,2,2,7,0,3,3,0,4,4,2,4,8,2,0,6,6,4.133333333,5,1,2,0,3,3,6,1,9,1,3,3,3,1,1,2,1,0,2,1,0,2,4,1,3,6,1,0,3,2,3.248087432
chr5:139600372-139623461,5,0,3,0,5,5,4,3,2,2,0,7,4,3,0,4,2,2,3,4,2,7,6,2,2,8,0,2,5,7,3.3,4,0,1,0,2,4,2,2,2,0,0,5,2,1,1,2,1,0,1,4,1,2,2,1,1,4,1,2,2,5,2.578688525
chr5:43675511-43704400,4,3,5,4,8,5,8,4,6,5,3,4,8,5,8,4,5,2,4,5,3,3,9,3,6,7,4,3,2,11,5.033333333,3,2,4,3,5,4,7,2,6,5,2,1,7,5,3,2,2,2,3,1,3,2,9,1,3,5,2,3,1,8,4.295628415
chr20:18297985-18306393,4,0,4,0,3,5,8,0,3,0,5,0,4,8,2,5,0,0,6,2,4,0,5,4,0,3,3,4,5,8,3.166666667,3,0,4,0,3,2,8,1,1,1,5,1,4,6,1,5,0,1,3,2,4,0,5,2,1,3,2,4,4,7,2.969945355
chr17:59353215-59353526,4,5,0,0,11,3,11,9,6,3,7,6,2,8,6,7,10,9,6,16,2,6,4,17,8,12,4,7,7,6,6.733333333,3,4,0,1,8,3,7,5,4,2,3,3,0,6,1,7,7,5,3,13,2,4,4,13,5,8,3,5,4,4,5.667759563
chr5:79640851-79669028,5,0,4,0,3,6,3,0,0,4,2,2,2,2,0,0,3,3,0,3,2,0,4,0,0,6,0,2,4,2,2.066666667,3,0,4,0,2,3,2,0,1,2,2,0,2,2,0,1,2,2,1,3,1,1,4,0,0,2,1,2,1,1,1.787978142
chr18:2890561-2892486,5,0,3,2,5,11,10,2,2,0,2,2,0,3,5,4,3,2,3,2,5,5,8,0,0,5,5,8,6,8,3.866666667,5,1,2,2,1,1,2,2,2,0,1,2,1,2,2,2,3,1,2,1,4,4,6,0,0,3,4,6,4,6,3.145355191
