ID,X1032245.T_bwa.ciri2,X1039868.T_bwa.ciri2,X1042353.T_bwa.ciri2,X1042745.T_bwa.ciri2,X1043773.T_bwa.ciri2,X1045386.T_bwa.ciri2,X1045549.T_bwa.ciri2,X1046191.T_bwa.ciri2,X1046287.T_bwa.ciri2,X1046349.T_bwa.ciri2,X1046499.T_bwa.ciri2,X1047291.T_bwa.ciri2,X1047831.T_bwa.ciri2,X1047912.T_bwa.ciri2,X1048720.T_bwa.ciri2,X1049983.T_bwa.ciri2,X1050700.T_bwa.ciri2,X1051316.T_bwa.ciri2,X1054390.T_bwa.ciri2,X1056166.T_bwa.ciri2,X272577.T_bwa.ciri2,X451368.T_bwa.ciri2,X477022.T_bwa.ciri2,X515975.T_bwa.ciri2,X522638.T_bwa.ciri2,X548142.T_bwa.ciri2,X649867.T_bwa.ciri2,X685749.T_bwa.ciri2,X843725.T_bwa.ciri2,X99272.T_bwa.ciri2,CircRNACount.1032245.T,CircRNACount.1039868.T,CircRNACount.1042353.T,CircRNACount.1042745.T,CircRNACount.1043773.T,CircRNACount.1045386.T,CircRNACount.1045549.T,CircRNACount.1046191.T,CircRNACount.1046287.T,CircRNACount.1046349.T,CircRNACount.1046499.T,CircRNACount.1047291.T,CircRNACount.1047831.T,CircRNACount.1047912.T,CircRNACount.1048720.T,CircRNACount.1049983.T,CircRNACount.1050700.T,CircRNACount.1051316.T,CircRNACount.1054390.T,CircRNACount.1056166.T,CircRNACount.272577.T,CircRNACount.451368.T,CircRNACount.477022.T,CircRNACount.515975.T,CircRNACount.522638.T,CircRNACount.548142.T,CircRNACount.649867.T,CircRNACount.685749.T,CircRNACount.843725.T,CircRNACount.99272.T
chr1:99993537-99999415,3,2,0,2,3,2,0,0,0,2,0,2,0,6,2,3,4,0,3,0,4,0,2,2,2,0,0,3,2,0,3,2,0,2,3,1,0,0,0,2,0,2,1,4,2,3,2,0,2,0,3,1,2,1,2,1,1,3,1,1
chr14:99257471-99257836,3,0,0,0,2,0,0,0,3,3,0,0,0,4,2,0,7,2,2,0,0,5,4,0,5,4,0,2,2,2,2,0,0,0,2,0,0,1,3,3,0,0,0,2,2,2,6,1,2,1,0,3,2,1,6,3,1,2,2,2
chr9:6420912-6434173,3,5,3,16,6,7,6,2,5,5,4,3,5,6,3,0,13,3,4,0,3,0,2,2,0,4,3,3,4,6,2,5,3,13,5,4,5,0,4,5,4,3,5,3,3,0,9,2,3,0,2,0,2,1,1,1,2,1,4,5
chr15:85113873-85121014,9,5,10,4,8,17,5,7,7,10,6,11,0,7,3,2,15,0,8,2,9,11,7,4,3,9,8,18,6,10,8,4,9,4,4,11,3,5,7,6,5,8,1,6,2,2,10,0,5,2,6,8,4,3,3,5,6,12,4,8
chr8:60741259-60743097,9,2,3,10,7,9,0,8,5,10,7,19,7,7,5,3,12,0,19,6,8,3,5,6,9,5,3,11,12,4,3,1,2,7,5,8,0,4,2,7,4,14,3,3,3,2,5,1,1,4,4,1,3,5,6,4,2,7,6,2
chr9:86305192-86310017,8,8,5,6,27,7,5,7,10,17,7,7,6,3,7,5,8,5,4,4,3,10,10,4,8,9,13,26,6,7,5,5,2,5,18,3,4,4,8,11,3,4,5,3,6,4,6,3,0,4,2,6,6,2,4,4,11,17,3,7
chr19:5604583-5604936,12,7,8,0,5,3,4,5,11,5,16,6,2,11,6,0,7,4,3,11,5,6,2,7,6,17,7,13,9,2,5,4,8,1,4,3,3,4,10,3,12,5,1,9,3,1,5,2,3,6,4,5,2,6,4,13,3,9,6,2
chr1:247155566-247159813,45,27,34,56,0,31,23,0,27,33,42,34,16,56,28,30,46,26,31,38,23,55,38,11,55,37,42,29,32,30,17,16,16,34,15,17,13,18,10,15,16,14,3,20,14,8,28,18,15,19,16,20,24,4,27,16,21,16,17,21
chr12:116230533-116237705,23,11,40,21,27,22,9,10,32,14,26,22,11,22,16,12,19,19,22,20,10,11,24,9,12,23,14,60,26,22,13,6,29,13,21,16,7,8,21,9,20,14,7,15,13,11,13,12,15,17,6,8,21,8,10,17,8,39,18,19
chr10:84417771-84425893,8,4,22,14,19,14,6,7,19,4,15,15,14,18,4,6,13,14,9,12,5,11,5,3,10,9,11,11,12,16,4,3,17,10,1,10,5,5,14,4,8,12,8,16,4,1,9,9,9,5,2,8,4,3,8,1,5,7,10,13
chr2:173358712-173359491,6,7,7,5,13,7,5,3,0,4,4,9,6,15,5,2,22,3,6,5,0,5,6,2,4,0,0,29,0,0,4,5,6,5,9,7,4,1,0,4,3,6,3,12,4,1,17,3,5,3,0,4,3,2,3,1,0,2,0,1
chr5:177536358-177539147,15,8,0,8,7,4,5,4,7,7,9,6,3,9,5,4,12,10,9,9,3,12,9,4,15,13,7,20,9,6,7,7,0,5,2,1,2,3,1,4,6,5,3,6,3,4,6,9,3,6,2,5,8,3,12,8,3,10,5,5
chr9:33948374-33953474,8,2,0,0,4,4,0,5,0,0,2,11,0,0,3,0,3,3,7,2,4,6,0,0,5,3,3,6,0,4,5,2,0,1,3,3,0,3,0,0,2,10,1,0,3,1,3,3,7,2,2,2,1,1,4,2,3,3,1,3
chr2:109585126-109593119,4,2,3,3,9,2,0,0,5,0,3,0,0,2,0,4,3,2,5,0,0,2,0,0,2,0,0,4,2,2,1,2,1,3,6,2,1,1,2,1,3,1,1,3,1,2,3,1,2,1,1,2,0,1,3,0,0,3,2,2
chr9:37126312-37126942,12,9,10,9,19,7,0,3,15,5,7,0,4,4,3,0,3,2,5,4,6,9,8,12,0,9,6,13,3,8,7,6,7,4,14,4,0,3,11,5,6,1,4,2,1,1,3,1,5,4,4,7,6,10,0,4,4,9,2,7
chr11:129123446-129164427,0,4,4,4,4,0,5,7,0,3,4,4,4,8,2,4,2,0,7,7,5,2,3,0,12,4,4,14,3,3,1,4,2,4,4,1,5,4,1,2,4,3,3,7,2,1,2,1,6,5,4,2,2,1,12,3,3,11,2,3
chr6:145864388-145894977,3,2,2,0,0,0,0,0,2,0,2,0,0,4,4,0,0,3,2,0,0,3,0,5,4,5,5,3,3,4,2,2,1,1,0,1,0,1,1,1,2,0,0,3,4,0,0,2,2,0,1,2,1,4,4,5,5,3,2,3
chr21:41226266-41257326,3,0,0,0,4,4,2,0,4,7,5,0,5,0,4,2,0,4,0,4,2,4,0,0,2,2,0,2,2,7,2,1,0,1,3,3,2,1,4,1,4,1,5,0,3,2,1,3,1,4,1,3,0,0,2,1,1,2,2,7
chr22:50372020-50394135,7,6,2,7,10,4,5,3,15,6,3,2,11,4,6,4,8,4,7,7,3,5,6,2,3,0,2,3,7,11,4,4,2,5,7,4,2,2,11,5,1,2,9,3,4,2,2,2,4,5,1,3,3,1,1,0,2,0,5,10
chr12:69800209-69801721,18,10,27,11,36,15,12,11,17,17,27,12,22,29,19,23,17,20,19,18,6,0,21,11,11,19,17,64,22,10,14,9,18,9,27,10,10,8,16,15,18,11,18,23,17,1,14,15,15,13,6,19,15,11,9,16,13,41,17,10
chr18:32111754-32113860,13,3,7,7,12,7,8,7,19,5,18,8,10,17,10,6,14,18,7,13,2,9,15,5,11,16,7,19,6,7,7,2,6,6,8,3,5,4,10,4,15,4,7,10,6,2,8,10,3,9,1,4,7,5,8,10,6,10,5,4
chr12:100282943-100298175,6,5,13,6,9,9,0,6,11,8,10,7,10,7,5,10,11,8,4,6,5,7,10,2,7,6,6,23,5,6,3,3,8,2,4,6,0,4,9,4,7,5,3,3,2,7,6,3,2,4,3,3,7,1,4,3,2,17,0,6
chr8:94664697-94665196,0,4,5,4,15,7,2,9,2,3,4,4,5,12,3,0,13,3,12,9,4,12,0,0,6,4,7,13,8,3,0,3,4,3,10,1,1,3,0,1,1,4,5,8,2,1,10,1,6,3,2,1,0,0,3,1,2,2,6,2
chr2:238182065-238185287,7,4,5,4,16,11,5,3,9,7,12,11,3,6,15,4,6,6,4,2,6,8,7,4,6,8,2,18,4,10,3,4,5,4,9,7,5,2,5,4,7,5,2,6,10,2,5,4,4,1,3,8,2,1,4,2,1,7,2,7
chr20:35714185-35725155,9,4,24,16,14,15,0,12,19,12,18,47,5,19,8,11,21,6,10,14,5,8,10,3,8,8,10,24,13,8,5,2,19,12,12,14,1,10,14,10,13,39,4,16,7,9,17,6,9,13,3,8,9,3,6,8,9,19,9,7
chr2:199308760-199328910,12,0,2,0,12,7,0,3,3,3,8,13,0,0,6,0,7,0,21,0,0,0,4,0,2,2,3,3,5,3,9,0,2,0,13,6,1,3,3,1,6,11,0,0,5,1,7,0,14,0,1,0,4,1,2,2,3,2,2,3
chr4:109491327-109494856,6,3,0,0,2,2,4,4,3,2,5,5,5,4,0,0,2,7,6,5,2,6,4,0,0,8,8,0,8,4,5,2,0,0,2,2,4,4,1,1,4,4,4,4,1,0,2,5,6,5,1,4,3,0,0,7,4,1,7,3
chr2:196912882-196923125,3,4,4,6,3,8,5,0,6,5,0,7,5,13,0,3,2,3,3,3,2,14,4,0,3,3,2,84,4,7,2,4,3,5,3,6,2,1,7,2,1,5,3,9,1,3,1,3,2,3,1,6,4,0,2,2,2,66,2,6
chr18:21765772-21779685,31,27,7,26,22,21,15,13,20,20,27,9,34,30,21,35,18,30,21,17,5,23,17,11,12,12,28,34,14,35,25,19,6,23,19,1,13,10,1,16,24,8,28,2,19,29,15,1,2,16,4,1,13,11,11,8,26,1,11,1
chr16:58559804-58560362,3,4,3,3,2,2,0,2,2,3,0,3,0,2,2,0,4,0,3,3,0,6,0,3,3,2,4,5,5,2,1,2,3,3,1,2,0,2,2,3,1,2,1,0,2,0,4,0,3,1,1,6,2,3,3,1,4,4,5,3
chr19:12928342-12928847,30,13,14,9,28,22,13,10,12,15,37,21,20,20,9,9,15,16,18,21,7,14,12,11,20,19,32,30,14,5,24,11,6,4,19,19,10,8,11,14,26,16,14,14,5,7,13,12,17,12,7,9,11,10,16,16,22,26,9,4
chr4:48684673-48710698,6,2,2,0,3,3,0,5,3,0,2,6,6,6,3,0,4,3,3,2,0,0,0,2,2,0,3,7,3,3,6,1,2,1,2,3,1,4,2,0,2,5,4,5,3,1,4,2,2,0,0,0,0,1,1,0,2,5,2,3
chr2:95148885-95153259,4,2,7,2,3,5,0,4,5,0,0,2,0,0,4,4,3,0,0,0,2,0,0,5,4,3,2,4,6,9,3,2,6,2,3,3,0,4,4,0,0,2,2,0,3,3,3,1,0,0,2,1,0,5,4,3,2,4,6,6
chr1:169978085-170031975,5,0,3,7,4,7,0,0,4,2,4,5,3,2,2,0,3,0,8,4,0,5,0,2,5,4,2,4,6,8,3,1,0,4,3,7,0,0,3,2,4,4,3,2,2,0,1,0,5,4,0,3,1,2,3,4,2,2,4,4
chr2:68490190-68545312,28,4,9,2,3,5,8,5,15,5,23,6,0,5,8,4,2,13,8,3,4,6,10,2,15,5,5,9,15,10,21,3,8,0,1,3,7,3,9,4,16,5,0,5,7,1,1,9,2,2,1,4,7,2,13,2,5,1,1,5
chr10:84417771-84477664,2,0,4,3,0,4,3,3,3,0,3,4,5,3,0,0,4,4,2,2,0,2,0,0,0,0,0,3,0,2,2,0,1,2,0,2,3,2,3,0,2,3,3,2,0,0,3,2,1,2,0,2,0,1,1,0,0,3,0,2
chr7:98190728-98194572,8,8,11,11,13,15,8,8,2,7,16,8,11,19,5,8,18,7,6,18,4,8,6,5,2,5,14,9,4,7,7,5,10,1,10,13,7,7,2,5,1,5,6,18,1,7,17,7,5,13,4,7,6,5,2,4,13,8,4,5
chr6:87210451-87218731,9,5,5,8,4,4,0,9,4,4,12,12,9,7,3,8,11,3,8,4,3,7,9,9,7,4,3,14,10,5,5,3,2,5,4,3,0,2,2,2,7,7,6,1,2,1,7,2,1,2,2,4,7,7,3,4,2,11,6,4
chr16:68266593-68275249,3,4,0,6,7,2,2,3,4,5,5,6,0,4,0,3,5,3,0,0,0,2,0,0,3,3,3,8,4,0,2,3,0,6,5,2,2,3,4,1,4,5,0,3,0,1,5,3,1,1,0,2,0,0,3,2,2,7,1,0
chr9:14639896-14680162,4,3,0,3,0,9,4,0,6,3,4,0,0,6,2,4,0,0,0,2,14,0,4,0,3,3,2,8,4,3,4,3,1,1,0,7,4,1,4,2,4,1,1,5,2,3,0,1,0,2,8,1,1,1,2,3,2,8,2,2
chr22:45729425-45740538,14,8,9,22,15,18,7,8,10,20,15,17,17,24,11,6,16,14,9,6,7,5,18,4,17,10,7,13,14,13,7,6,8,14,2,1,4,6,8,17,1,14,16,18,8,6,1,12,7,4,7,3,16,3,15,8,6,1,13,8
chr9:33996223-34017189,0,0,2,2,8,3,0,0,2,0,2,5,5,2,0,0,0,6,2,0,4,7,5,0,2,0,5,5,2,6,0,1,1,1,6,3,1,1,2,0,2,4,3,1,1,0,0,3,2,0,2,6,4,1,2,1,4,4,2,4
chr10:5785142-5800705,3,2,8,14,7,4,4,4,0,6,11,6,2,12,3,9,15,3,8,7,2,6,7,2,7,2,2,7,5,7,2,2,7,11,5,3,4,2,1,5,7,5,1,10,2,4,9,1,5,3,1,3,5,2,5,0,2,3,2,3
chr6:2263601-2273417,5,8,3,0,3,5,0,7,0,4,2,2,4,6,2,2,4,3,2,4,0,8,0,4,2,3,5,8,4,2,3,7,1,1,1,2,0,3,1,2,1,0,3,5,1,1,3,2,2,2,0,6,0,2,2,1,2,5,3,1
chr4:10097711-10103986,6,5,3,2,5,5,5,0,8,6,7,4,9,5,3,4,10,4,6,0,3,5,5,5,9,13,4,12,8,2,3,4,2,2,4,1,3,1,5,4,6,2,8,3,2,3,9,2,4,1,2,3,5,2,8,8,2,5,5,0
chr19:58392976-58393487,3,0,5,9,3,17,4,3,3,8,9,6,5,9,6,7,12,5,2,6,0,4,10,0,4,5,2,7,0,2,2,0,4,5,3,11,1,3,1,5,5,5,4,7,4,3,11,5,1,5,1,1,8,0,2,3,2,1,0,2
chr17:59731421-59738947,5,5,6,9,11,11,4,13,12,6,9,11,4,8,9,5,9,0,7,5,5,5,15,6,9,8,6,13,8,12,3,4,6,6,8,9,2,10,11,5,7,10,2,8,7,4,7,0,5,2,4,3,10,5,8,5,6,11,5,6
chr14:99458279-99465813,39,16,20,52,51,44,9,15,27,20,42,18,27,59,19,32,26,22,30,30,11,29,20,15,21,17,24,45,28,25,31,13,15,42,41,34,7,11,19,15,26,14,22,44,17,24,22,16,23,24,8,22,15,15,20,13,19,34,23,20
chr4:186706563-186709845,106,27,16,42,16,44,18,44,37,42,15,28,33,32,16,15,44,20,60,16,21,16,34,17,32,15,17,52,28,14,60,22,12,36,15,31,13,32,26,31,14,25,22,12,15,11,25,9,39,11,12,9,21,12,29,12,11,42,19,11
chr9:19356972-19358160,3,4,2,3,3,6,0,4,6,0,0,0,3,0,2,3,6,0,0,0,2,0,2,0,0,0,2,4,3,0,3,2,2,2,1,5,0,3,5,0,0,1,2,1,2,3,4,1,0,0,1,1,2,1,2,1,2,4,2,0
chr8:140347757-140360193,3,2,2,4,3,5,0,0,5,5,7,4,3,8,2,2,6,0,6,5,2,0,2,0,0,2,0,6,6,2,2,1,0,2,3,2,1,0,3,4,4,4,1,5,2,1,5,1,3,1,2,0,1,0,1,2,0,5,5,2
chr4:41013583-41014398,6,0,4,3,0,0,0,2,2,4,2,2,4,7,2,0,8,3,5,3,0,0,2,4,3,0,3,5,0,0,5,0,0,3,0,0,1,1,2,2,2,2,4,7,1,0,7,3,4,2,0,1,2,4,1,1,3,5,1,0
chr8:61680968-61684188,7,8,9,24,34,29,9,12,12,13,15,7,32,25,5,16,20,22,22,12,10,15,7,12,21,26,5,51,17,8,3,6,3,12,21,20,6,5,8,5,6,4,16,13,5,7,10,13,13,6,8,7,4,8,13,12,4,26,11,5
chr16:53873786-53888951,15,3,17,5,5,13,2,5,7,5,7,7,7,10,4,4,8,2,7,10,2,3,5,3,7,7,5,8,10,4,12,2,15,4,4,11,2,5,6,5,6,6,6,8,4,4,7,1,6,1,2,3,5,1,7,7,5,6,7,3
chr13:41865736-41868477,6,4,19,20,14,14,3,7,8,2,22,10,11,16,15,2,12,5,4,18,6,3,14,3,36,0,3,4,0,2,4,4,13,18,10,11,2,2,7,1,14,8,8,11,12,1,9,2,4,13,5,2,11,1,32,0,3,3,0,2
chr10:101672915-101676436,4,2,5,4,3,5,0,4,4,2,5,3,3,4,5,2,4,4,8,6,7,3,2,2,0,0,2,7,6,0,3,2,5,1,3,3,0,3,2,2,5,3,1,4,3,1,4,4,7,5,5,2,2,2,1,1,1,6,5,1
chr10:84438512-84477664,7,2,13,5,12,6,7,5,6,3,8,5,23,9,3,7,5,4,5,0,3,15,5,0,3,5,8,15,8,12,4,2,9,4,8,4,4,5,6,2,6,4,19,6,3,4,4,3,3,1,2,12,4,0,2,3,6,12,7,9
chr18:2890561-2892486,5,4,3,2,0,3,0,4,5,2,0,2,0,2,6,4,3,0,3,2,0,0,0,0,0,5,0,0,3,3,3,3,2,2,0,2,0,4,2,1,1,1,0,2,4,4,2,0,2,2,0,0,0,1,1,3,0,0,3,3
chr1:26729651-26732792,40,11,11,15,18,21,14,16,33,22,30,15,19,39,19,12,33,20,17,12,5,21,9,17,21,20,21,28,14,21,35,10,7,10,14,18,8,12,26,19,28,9,16,34,17,10,26,18,9,10,5,15,8,15,19,16,16,23,12,16
chr12:28305649-28307749,3,2,0,8,6,8,4,2,4,2,2,4,5,5,5,6,3,2,3,2,2,0,0,3,5,3,3,7,3,4,3,2,0,6,4,8,3,1,4,2,2,3,3,3,5,6,1,2,2,2,2,0,0,3,4,1,2,5,3,4
chr9:125337018-125337591,16,4,15,9,16,16,5,16,13,6,13,15,8,5,15,4,17,5,5,12,13,4,13,4,12,7,9,24,9,7,10,2,9,8,14,12,5,11,10,5,9,10,6,5,12,4,13,2,2,8,1,3,10,4,1,5,6,2,6,5
chr5:123545417-123575963,0,2,2,2,3,0,0,2,5,3,0,8,4,3,0,0,2,2,3,2,2,3,2,0,0,2,0,4,0,3,0,2,2,1,1,0,0,1,3,2,1,7,4,3,0,0,2,2,3,2,1,2,2,0,0,2,0,1,1,3
chr1:31915895-31919658,18,8,8,13,26,8,21,18,17,15,23,5,13,15,4,17,18,7,6,7,13,20,15,10,21,12,12,13,23,19,13,8,6,8,17,4,13,8,8,10,13,2,5,10,4,13,10,6,3,5,12,16,11,9,10,6,11,10,12,13
chr19:23358430-23362725,23,31,3,11,33,36,13,11,13,24,32,16,31,46,14,18,21,5,17,36,69,21,18,25,30,33,13,49,10,17,11,15,0,6,24,23,8,6,5,7,17,9,18,27,10,13,11,2,10,21,38,13,10,16,14,22,9,33,6,10
chr11:86011030-86031611,9,2,5,5,10,7,2,2,2,7,3,2,5,9,5,5,5,0,3,5,7,4,7,2,6,4,2,10,5,4,6,1,5,3,9,5,2,1,1,4,2,2,3,8,2,5,5,0,2,1,7,4,6,1,4,2,1,9,3,3
chr10:96944113-96952196,2,0,5,4,2,3,0,2,2,6,4,2,0,5,0,0,4,0,0,3,0,4,2,0,0,0,2,2,0,2,2,1,3,4,2,3,0,2,2,2,2,2,0,4,1,1,3,0,0,2,1,2,1,0,1,0,2,2,0,2
chr8:141253989-141254629,33,13,12,36,24,56,10,28,20,17,23,13,39,35,13,18,23,6,17,26,33,20,26,13,18,13,13,7,45,37,21,11,7,26,18,43,9,22,12,12,17,12,28,25,10,13,20,5,11,19,23,12,20,9,14,8,11,5,35,30
chr19:34430576-34434968,3,6,14,9,10,10,4,6,8,9,18,15,7,13,8,7,9,3,5,7,4,6,6,5,6,13,15,8,9,5,1,5,14,10,14,9,5,5,7,8,17,9,7,12,10,7,7,3,4,7,4,7,5,4,4,11,11,7,9,4
chr6:160397979-160410846,5,0,0,9,5,0,0,4,2,13,4,17,10,0,0,0,7,11,4,7,0,0,4,0,4,3,2,0,0,3,3,0,1,6,3,0,0,3,1,13,3,15,8,1,1,1,5,8,3,7,1,1,3,0,3,3,2,0,1,3
chr2:58198594-58232112,8,5,7,6,3,12,3,8,10,0,7,3,3,10,3,4,14,10,4,9,4,7,5,7,14,5,0,10,6,30,5,2,2,3,2,5,1,3,4,1,4,2,0,5,2,3,10,5,0,7,0,3,3,7,4,3,0,6,4,16
chr7:77585543-77600806,3,5,5,0,6,7,0,4,8,0,6,7,5,10,4,4,10,5,3,4,4,0,0,2,0,6,5,6,11,5,2,3,3,0,4,3,1,3,4,1,3,2,2,3,1,3,4,2,0,0,4,1,0,1,0,4,1,1,4,2
chr5:36982165-36986301,13,3,10,9,10,11,3,0,3,4,11,3,0,10,5,7,7,3,12,9,11,7,6,3,8,10,2,8,11,9,10,2,3,5,5,8,3,0,2,2,10,2,0,6,3,1,4,3,7,7,8,5,4,3,6,6,1,6,7,4
chr1:247157000-247159813,3,3,2,8,2,2,0,0,0,6,4,9,0,6,4,2,3,3,2,3,0,4,4,0,5,2,3,2,0,0,1,2,1,7,1,1,1,0,1,6,2,6,0,5,3,1,3,3,2,1,1,2,2,0,3,1,2,2,0,1
chr3:33684359-33696933,10,4,6,5,3,7,0,2,2,3,2,2,8,6,0,2,9,2,2,0,3,6,3,0,6,0,0,6,6,0,2,4,6,2,3,6,1,1,1,3,2,1,6,6,1,2,7,1,1,1,2,3,2,0,4,1,1,3,4,2
chr2:88857271-88857415,5,3,5,2,7,7,0,6,5,2,2,0,0,4,3,4,4,2,5,29,0,2,13,0,2,6,2,0,8,7,2,1,2,1,0,4,0,4,2,1,1,1,0,3,1,3,3,2,3,15,0,1,10,0,1,3,1,0,4,3
chr13:28174272-28177935,0,3,4,0,4,11,0,3,3,6,9,6,2,4,0,2,4,2,0,4,0,0,0,2,8,7,3,3,4,4,0,3,4,1,2,11,0,2,3,6,6,4,2,4,1,1,3,2,1,4,1,0,0,0,4,6,3,2,4,2
chr1:30992390-31007102,2,0,0,6,4,8,0,3,7,4,5,2,8,8,6,0,7,0,0,4,4,3,0,2,7,0,3,4,2,3,2,0,0,3,4,4,0,2,4,2,5,2,5,8,4,0,6,0,0,4,4,2,0,2,7,0,2,3,2,3
chr6:158583954-158589782,5,7,12,17,12,13,3,6,12,8,20,20,7,8,19,6,18,5,4,9,3,5,12,9,5,8,8,25,9,8,3,4,7,11,7,8,2,5,8,1,1,13,5,3,13,2,10,3,2,8,2,4,7,6,5,6,7,2,7,1
chr5:154029489-154034967,3,0,5,5,4,2,0,0,8,3,2,2,2,5,0,0,3,4,4,0,2,2,4,2,3,2,2,8,0,3,2,0,3,3,3,2,0,0,6,3,2,1,1,3,1,0,3,3,3,0,2,2,2,0,2,1,2,6,1,3
chr19:3660966-3662001,4,6,2,0,8,4,0,2,7,2,2,12,7,5,0,5,4,2,2,5,0,5,10,0,2,9,7,6,2,7,2,5,2,1,6,2,1,2,7,1,2,6,4,4,0,4,2,1,1,4,1,3,8,1,2,7,5,5,2,4
chr4:139137630-139139497,2,4,3,0,11,3,0,3,5,0,4,0,4,3,0,0,3,3,4,0,0,0,2,3,3,5,0,5,5,7,2,3,3,1,9,2,1,3,5,1,4,1,2,2,0,1,2,3,3,1,0,1,2,3,3,3,0,3,5,6
chr13:100257595-100273346,4,2,3,3,5,2,3,9,4,5,4,12,0,0,3,0,4,0,3,2,0,2,0,0,10,0,0,3,0,0,3,1,3,3,2,2,2,6,3,2,3,11,1,0,3,1,2,0,2,2,1,1,0,1,9,0,1,2,0,1
chr10:126970702-127000307,7,2,0,5,4,2,3,6,0,2,4,2,2,3,7,0,2,0,4,4,5,3,3,2,0,0,2,5,4,3,7,2,0,4,2,1,2,5,0,2,4,1,0,3,7,0,2,0,1,2,4,2,3,1,1,1,2,5,3,3
chr3:172251260-172262083,2,2,4,3,6,9,2,4,3,0,10,8,4,3,5,0,11,2,4,5,2,6,3,2,12,5,3,9,8,4,1,1,4,3,1,1,2,3,1,0,9,5,4,3,3,0,10,2,1,5,1,4,3,2,11,4,3,5,1,3
chr17:67945409-67975958,26,12,29,19,30,37,13,20,35,18,57,22,18,8,25,6,49,21,34,21,15,27,49,15,28,17,20,52,46,29,20,7,18,13,16,25,10,11,23,11,30,15,14,5,17,2,36,16,24,14,2,15,30,10,14,7,13,26,32,18
chr16:53155926-53157541,4,0,3,3,5,0,2,5,5,3,3,0,0,0,2,0,0,0,4,3,2,4,16,2,3,0,0,4,4,2,4,0,2,2,2,1,1,2,4,2,3,1,0,0,1,0,0,0,1,3,1,2,13,2,2,0,0,3,3,2
chr2:8908621-8958642,6,14,16,5,8,11,7,15,7,14,18,5,21,4,14,5,11,12,13,7,14,14,6,12,15,15,7,21,9,33,6,9,13,3,5,8,7,8,6,12,15,2,15,3,9,4,10,10,11,5,12,13,4,8,13,13,4,14,7,26
chr7:156756393-156826744,4,0,5,5,9,3,0,0,5,0,3,2,6,7,0,2,3,7,3,3,0,0,2,0,5,0,3,2,0,4,1,1,3,4,6,2,1,1,4,1,2,2,5,4,0,1,2,3,2,2,0,0,1,0,3,0,1,0,1,4
chr16:53141179-53157541,20,7,6,7,21,14,6,10,6,4,5,10,11,3,8,6,17,4,16,14,2,11,97,7,0,7,4,17,22,27,13,5,3,6,12,6,5,7,3,2,4,7,6,2,7,4,12,3,10,1,1,11,1,6,0,5,2,11,17,1
chr1:42265115-42278672,13,2,2,3,4,0,4,4,12,5,8,5,3,8,6,2,6,0,7,3,3,2,8,0,10,3,0,10,11,4,10,2,1,2,2,1,4,3,8,2,7,3,3,6,6,2,4,0,5,2,1,2,8,0,7,3,1,8,10,4
chr5:171183195-171205612,10,0,15,12,11,5,0,11,8,6,6,4,20,7,9,4,0,6,3,4,4,7,6,3,14,6,3,5,5,8,7,0,10,10,4,3,1,10,5,3,5,3,13,5,4,2,1,3,2,2,3,3,6,1,13,4,1,1,4,6
chr7:23611171-23611553,10,6,10,5,6,9,2,14,11,7,5,4,9,12,3,3,5,7,4,6,12,6,5,2,7,8,3,17,7,16,6,3,9,4,4,7,0,12,9,6,5,3,8,10,3,3,3,6,2,3,7,5,5,2,5,2,2,13,4,14
chr2:54982515-54987698,12,6,6,17,11,14,6,8,17,12,17,16,7,0,4,10,17,5,8,7,6,2,6,0,16,8,7,9,17,14,9,3,4,12,8,9,4,4,8,6,12,13,4,1,4,8,11,4,8,5,1,1,6,1,12,6,5,5,10,11
chr4:55411614-55417985,38,12,17,14,40,10,11,14,32,19,17,12,25,19,17,33,14,16,15,14,13,26,19,21,20,32,12,40,27,23,29,11,13,10,6,7,2,8,1,14,2,8,21,1,11,9,10,11,9,1,1,20,15,14,12,7,8,7,1,1
chr11:14771937-14789242,3,9,5,5,5,7,2,4,3,2,3,3,9,3,5,2,7,4,7,0,2,2,6,7,10,6,6,8,0,12,2,1,5,3,3,4,2,3,2,2,2,3,4,1,2,2,4,3,2,0,2,2,5,4,5,2,1,1,1,9
chr9:33971651-33973237,9,4,7,6,3,9,0,3,6,5,7,14,4,4,0,5,10,10,5,4,3,8,5,3,12,0,14,0,5,7,2,1,5,1,1,1,1,2,4,0,5,7,0,2,1,2,3,6,2,3,1,2,1,0,3,0,5,1,2,1
chr2:199380364-199433514,8,0,2,0,18,12,2,12,6,0,7,15,2,0,0,0,9,2,10,5,3,2,2,0,6,8,7,3,0,0,3,0,0,0,9,5,2,5,6,0,0,12,1,0,1,1,5,1,7,1,2,2,2,0,2,3,3,2,0,0
chr14:32090502-32117287,21,3,26,12,22,24,19,15,8,15,20,12,31,35,8,9,22,22,11,16,7,18,11,4,13,8,7,19,7,26,11,3,13,7,11,10,8,5,3,4,8,9,20,18,4,4,7,13,9,7,3,11,8,1,9,4,4,13,3,17
chr15:64974602-64983593,8,0,3,2,6,5,3,2,9,0,2,0,4,7,0,0,3,5,3,0,2,0,4,6,3,3,0,10,4,3,8,0,2,2,4,3,2,1,4,0,1,1,2,3,1,1,3,4,0,1,2,0,2,4,2,3,0,8,2,2
